"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000175868","Calcb",-1.2022688265168,1.65055746681545e-05,0.65137297087725
"unknown.6991","2610001J05Rik",-0.952221451101218,0.00311279516183488,1
"ENSG00000127129","Edn2",-0.900030201257464,0.00199288766721886,1
"unknown.1752","Defa15",-0.879400314472116,0.0105823437135153,1
"ENSG00000108010.2","Glrx3",-0.86304242937646,0.00803690984074708,1
"ENSG00000005194.2","Ciapin1",-0.841142041982534,0.00610570137641807,1
"ENSG00000148346","Lcn2",-0.826848216007171,0.00119517599233721,1
"ENSG00000157551","Kcnj15",-0.737265418929194,0.0329931659930188,1
"ENSG00000158710","Tagln2",-0.730095936706918,0.0307870052663785,1
"ENSG00000067141.4","Neo1",-0.724155083939917,0.0191870266840324,1
"ENSG00000155926.3","Sla",-0.712336201568181,0.0220190703503997,1
"unknown.1473","Smr2",-0.697147980678894,0.0532900067701538,1
"ENSG00000136689.1","Il1rn",-0.634532620269651,0.080507735245114,1
"ENSG00000184381.1","Pla2g6",-0.631208831571714,0.062973123344081,1
"ENSG00000102265","Timp1",-0.624405894783177,0.0126049836933151,1
"ENSG00000171401.2","Krt13",-0.623027332475308,0.0566652007462527,1
"ENSG00000186007","Lemd1",-0.612270290471545,0.0711642833127921,1
"ENSG00000125741.4","Opa3",-0.595079024600816,0.114255272573041,1
"ENSG00000143476.2","Dtl",-0.5671629533117,0.124919266182925,1
"ENSG00000189001.1","Sbsn",-0.561501649288933,0.0397513967998556,1
