"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000104722","Nefm",1.16885279637995,7.85063650241622e-05,0.65137297087725
"ENSG00000091664.1","Slc17a6",1.07628840255182,5.87789885581976e-05,0.65137297087725
"ENSG00000091664","Slc17a6",1.07169971667365,0.000120352668207369,0.65137297087725
"ENSG00000160460","Sptbn4",1.06086921157504,0.000100586093569071,0.65137297087725
"ENSG00000107165.1","Tyrp1",1.04599016916754,8.40803878708332e-05,0.65137297087725
"ENSG00000152192.1","Pou4f1",0.965963207252702,0.00110867224786511,1
"ENSG00000151615","Pou4f2",0.961874941132151,0.000534125476486421,1
"ENSG00000137766","Unc13c",0.943287054620447,0.000131371546589472,0.65137297087725
"ENSG00000137766.1","Unc13c",0.92752243609175,9.49965525818812e-05,0.65137297087725
"ENSG00000185664","Pmel",0.908306224374916,0.000740838170487512,1
"unknown.713","Car6",0.866082050052517,0.00667410571809154,1
"ENSG00000277586","Nefl",0.851922188271102,0.000263500413447994,1
"ENSG00000277586.1","Nefl",0.799302309856355,0.000443364091589439,1
"ENSG00000120215","Mlana",0.790929077885887,0.00198879673672966,1
"ENSG00000168314","Mobp",0.781159863702351,0.0114566330565985,1
"ENSG00000089169.1","Rph3a",0.771587975174466,0.00720644486941647,1
"ENSG00000152192","Pou4f1",0.759781390182106,0.00104264065796297,1
"ENSG00000107165.2","Tyrp1",0.738766958514378,0.00138815283290795,1
"ENSG00000136235","Gpnmb",0.734202933370259,0.00592545506873505,1
"ENSG00000185774","Kcnip4",0.733818799301306,0.00972250680411379,1
"ENSG00000184408.3","Kcnd2",0.718566957515601,0.0104095451958496,1
"ENSG00000164175","Slc45a2",0.718112668827475,0.0352420267815149,1
"ENSG00000185774.2","Kcnip4",0.70797909492783,0.0234885181684816,1
"ENSG00000089169","Rph3a",0.706144770516125,0.00305464414347348,1
"unknown.5082","Gm2102",0.702071268235805,0.0209792366665374,1
"ENSG00000107165","Tyrp1",0.698576838944381,0.00180032922704721,1
"ENSG00000055732","Mcoln3",0.697146789729983,0.0209792366665374,1
"ENSG00000091428","Rapgef4",0.6932941959411,0.010611827808947,1
"ENSG00000168993","Cplx1",0.692422470157272,0.00568307835035946,1
"ENSG00000137766.2","Unc13c",0.687187489617009,0.0014564156604624,1
"ENSG00000100285","Nefh",0.686434022273983,0.00437117030824941,1
"unknown.9566","Gm16532",0.681521456395361,0.0112762038394134,1
"ENSG00000168993.2","Cplx1",0.677537090035156,0.00950351745513502,1
"ENSG00000147434.1","Chrna6",0.666766273180557,0.0222985357642387,1
"ENSG00000102195.1","Gpr50",0.666410469234866,0.0210869540350624,1
"ENSG00000168314.1","Mobp",0.652043130097268,0.0141709510102565,1
"ENSG00000135903.2","Pax3",0.638242794305195,0.0396089720485007,1
"ENSG00000114279","Fgf12",0.615983583233317,0.0193374825348691,1
"ENSG00000164089.1","Etnppl",0.615335825684344,0.0209706210297642,1
"unknown.2073","6720468P15Rik",0.612513283800492,0.0530039217160501,1
"ENSG00000114279.1","Fgf12",0.611961407111354,0.0293029315689026,1
"ENSG00000198108.1","Chsy3",0.608152779301009,0.0887834008626463,1
"ENSG00000148798.1","Ina",0.607944989867923,0.0363073020664936,1
"unknown.2836","4930435M08Rik",0.607606694068019,0.0959245560273669,1
"ENSG00000172137","Calb2",0.605549430197867,0.0130782205906487,1
"ENSG00000168243","Gng4",0.602136503874294,0.0543914841376598,1
"unknown.4241","AI854703",0.601554741019446,0.0661535104819198,1
"ENSG00000186487","Myt1l",0.58760698469602,0.0519114034014441,1
"ENSG00000196353","Cpne4",0.587403220776644,0.0711642833127921,1
"ENSG00000077498.2","Tyr",0.583697587350081,0.0327904290862755,1
