,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0071345~cellular response to cytokine stimulus,58,6.621004566210045,5.578444350976842e-14,"CD86, CXCL9, IL1RN, ZFAND6, SERPINE1, IL1RAP, CXCL13, IFIT1, CXCL5, TRIM6, MYC, ANKRD1, IL13RA1, CCR2, ZBP1, EDN2, GPR35, IL1R2, ADIPOQ, OSMR, PRLR, EREG, CSF2RB2, TRAF6, IL1B, IRF7, GM4951, CD44, CALCA, CCL12, SAA3, CSF2RB, ADAMTS12, SBNO2, CCL7, CCL5, STAT4, HAS2, CCL2, STAP1, PCK1, CCL21A, CCR1, VCAM1, IFI204, IFI205, FN1, TRPV1, IFI202B, IIGP1, SELP, CXCL10, CXCL11, FABP4, LEP, LCN2, F2RL1, NANOG",593,542,17152,3.095200462965844,2.0955681634404755e-10,2.0974950759672926e-10,1.9691908558948247e-10
1,GOTERM_BP_5,GO:0048513~animal organ development,196,22.37442922374429,4.355540457477675e-13,"SERPINE1, SCX, DMP1, LDLRAD4, IKZF3, SOX21, LCE1A1, MYC, HOXA3, C3AR1, PROK2, SOX4, HOXA4, RSAD2, ACTN1, LCE1I, LCE1H, ESCO2, LCE1F, RC3H2, EREG, RUNX1, MIP, NINJ1, SF1, SPRR2F, SPRR2H, FUT10, ADAMTS12, CRHR1, PIK3R6, PRDX4, ALX3, HOXC4, HOXC8, CCL21A, SLAMF1, SPRR2D, CCR1, CDSN, SETDB2, FZD6, FN1, LIF, EIF2AK2, PRG4, GDF3, CYP26A1, COL1A2, NOX4, COL9A3, NANOG, HOXD3, LPCAT1, TFCP2L1, MEOX2, CHRDL1, GJE1, SPRR2A1, ANKRD1, TIMP1, CCR2, EDARADD, EDN2, TSC22D3, AW551984, WNT9B, RHOH, WNT9A, SERPINB5, VAV1, MLF1, PSMA6, MMP13, B3GNT5, IL1B, TNNT2, FJX1, CD44, SEZ6, FSTL3, EPCAM, NPY, GCNT2, SPP1, MFN2, HAS2, GCNT3, BID, CDKN2B, KRT13, CENPF, SNX19, KRT17, PRKRA, F2RL1, RHAG, CIAPIN1, CRLF1, CD86, SEMA5A, RTKN2, HP, TNC, OTP, AHR, CXCL13, FGF2, CXCL14, PLAU, CLEC5A, MACROD2, AGTPBP1, ADIPOQ, PRLR, COL4A1, APLNR, IAPP, ADAM8, CLEC4E, FKBP4, GCM2, NOTCH4, IL4RA, TACSTD2, SLCO1A6, LTBP1, SPTA1, EFNB2, SBNO2, SLCO1B2, NLRP3, SMYD1, STAP1, WNT2, STIL, VCAM1, VDR, PTCH2, MSN, TRPV1, INHBA, KIF18A, BMP1, SERPINB6B, TRP53, COL5A2, BCL3, SP5, TAB1, IL7R, FBN1, ITGB1, BNC2, ONECUT2, ITGB3, PLEK, CXCL5, BMP15, CASP4, ACP5, UTY, ADAMTS6, UGT1A1, NPY5R, PLAUR, UTF1, PTBP3, GREM1, VCAN, RP1, CREB1, PALLD, NRG4, MYOD1, TRAF6, DPPA2, ITGA8, EFHC1, DSG2, CASQ1, DOCK2, CDH17, DNAH5, CCL5, CCL2, KCNJ1, E2F8, CTHRC1, IFI204, EYA1, PRRX1, MYO1E, LEP, GLA, CRYGF",593,3520,17152,1.6105472941897898,1.6376322520272881e-09,8.188416060058029e-10,7.687528907448097e-10
2,GOTERM_BP_5,GO:0060326~cell chemotaxis,37,4.223744292237443,1.2384628351241248e-12,"SEMA5A, CCL12, CALCA, CXCL9, SAA3, ITGB2, SERPINE1, FPR3, FPR2, CXCL13, FGF2, TREM1, CXCL14, CXCL5, CCL7, CCL5, SPP1, C3AR1, CCL2, STAP1, CCL21A, SLAMF1, CCR2, CCR1, EDN2, VCAM1, GPR35, VAV1, GREM1, CXCL10, CXCL11, IL1B, SAA1, F2RL1, ADAM8, S100A9, S100A8",593,261,17152,4.100353420816292,4.6565862277248016e-09,1.2242270846420431e-09,1.1493408534006416e-09
3,GOTERM_BP_5,GO:0050900~leukocyte migration,40,4.5662100456621,1.3023692389808972e-12,"ITGB1, CCL12, CALCA, CXCL9, ITGB3, ITGB2, SERPINE1, FPR3, FPR2, CXCL13, TREM1, CXCL14, CXCL5, CCL7, CCL5, SPP1, C3AR1, CCL2, STAP1, CCL21A, SLAMF1, CCR2, CCR1, EDN2, VCAM1, GPR35, MSN, VAV1, GREM1, SELP, CXCL10, CXCL11, LEP, TRP53, IL1B, F2RL1, ADAM8, S100A9, S100A8, TLR2",593,303,17152,3.8183649730909006,4.8970338895060195e-09,1.2242270846420431e-09,1.1493408534006416e-09
4,GOTERM_BP_5,GO:0030595~leukocyte chemotaxis,30,3.4246575342465757,3.5185447011184036e-11,"CCL12, CALCA, CXCL9, ITGB2, SERPINE1, CXCL13, TREM1, CXCL14, CXCL5, CCL7, CCL5, SPP1, C3AR1, CCL2, STAP1, CCL21A, SLAMF1, CCR2, CCR1, EDN2, GPR35, VAV1, GREM1, CXCL10, CXCL11, IL1B, F2RL1, ADAM8, S100A9, S100A8",593,196,17152,4.427160408851568,1.3229713335949358e-07,2.64594561524104e-08,2.4840925589895933e-08
5,GOTERM_BP_5,GO:0007159~leukocyte cell-cell adhesion,50,5.707762557077626,8.659190484473544e-11,"ITGB1, CD86, ITGB2, TNFSF13B, ITGAX, VSIG4, SOX4, HAVCR2, CCR2, RSAD2, IGFBP2, RHOH, VAV1, RC3H2, APBB1IP, FCGR4, TRAF6, IL1B, ADAM8, CLEC4E, DOCK2, S100A9, CD44, S100A8, SLFN1, IL4RA, WAS, PIK3R6, STX11, SPTA1, DPP4, EFNB2, CCL5, HAS2, CCL2, NLRP3, ICOS, CCL21A, SLAMF1, VCAM1, MSN, SELP, CENPF, TRP53, LEP, BCL3, F2RL1, IL7R, CD244, FERMT3",593,509,17152,2.8412686317449487,3.25585700955422e-07,5.3624697021889136e-08,5.034446289555017e-08
6,GOTERM_BP_5,GO:0002687~positive regulation of leukocyte migration,24,2.73972602739726,9.983321254075104e-11,"CCR1, CCL12, CXCL9, EDN2, ITGB3, SERPINE1, CXCL13, CXCL14, CXCL5, SELP, CXCL10, CXCL11, CCL7, TRP53, IL1B, CCL5, C3AR1, CCL2, F2RL1, ADAM8, CCL21A, CCR2, SLAMF1, TLR2",593,130,17152,5.339836554676352,3.753729600486367e-07,5.3624697021889136e-08,5.034446289555017e-08
7,GOTERM_BP_5,GO:0007166~cell surface receptor signaling pathway,135,15.41095890410959,1.6650930161742848e-10,"SEMA5A, IL1RN, SERPINE1, HP, SCX, IL1RAP, LDLRAD4, CXCL13, FGF2, MYC, C3AR1, SOX4, IL13RA1, ZBP1, IL1R2, IGFBP3, CD180, ADIPOQ, CNPY1, PRLR, EREG, FCGR1, BTC, DEPDC1B, COL4A1, ADAM12, COL4A6, ADAM8, CLEC4E, CFD, NOTCH4, HTRA3, CSF2RB, FPR3, FPR2, ADAMTS12, LTBP1, CRHR1, MTDH, EFNB2, LPXN, NDN, PMAIP1, STAP1, ADAM6A, WNT2, CCL21A, SLAMF1, CCR1, STIL, TNFRSF9, FZD6, LIF, INHBA, GDF3, IIGP1, CXCL10, CXCL11, COL1A2, BMP1, TRP53, LCN2, NANOG, HOXD3, TAB1, FBN1, FERMT3, ITGB1, CXCL9, ONECUT2, ITGB3, ITGB2, PLEK, PIK3CD, CHRDL1, CXCL5, BMP15, TRIM6, ITGAX, PMEPA1, CD38, UTY, BCL2A1A, NEO1, ILKAP, CCR2, CD53, IGH-VJ558, FGFBP1, EDN2, NPY5R, GPR35, KREMEN1, PLAUR, WNT9B, WNT9A, OSMR, GFRA2, VAV1, GREM1, CSF2RB2, CREB1, TRAF6, IL1B, ITGA8, IRF7, MS4A2, CDH17, CD44, TLR2, TNFRSF22, CCL12, NLGN1, WAS, SEZ6, AKAP7, FSTL3, ACVR1C, CCL7, CCL5, P2RY1, STAT4, GCNT2, CCL2, S1PR2, BID, CTHRC1, CDKN2B, EYA1, PRRX1, MYO1E, LRG1, IGLL1, LEP, F2RL1",593,2278,17152,1.7141156631286578,6.26074587173342e-07,7.825937176019139e-08,7.347222933869034e-08
8,GOTERM_BP_5,GO:0002685~regulation of leukocyte migration,27,3.0821917808219177,2.2730394022637248e-10,"CCL12, CXCL9, ITGB3, SERPINE1, CXCL13, CXCL14, CXCL5, CCL7, CCL5, C3AR1, CCL2, STAP1, CCL21A, SLAMF1, CCR2, CCR1, EDN2, MSN, GREM1, SELP, CXCL10, CXCL11, TRP53, IL1B, F2RL1, ADAM8, TLR2",593,172,17152,4.54041334954312,8.546624997718411e-07,9.496253502790675e-08,8.9153656555455e-08
9,GOTERM_BP_5,GO:0002526~acute inflammatory response,23,2.6255707762557075,6.197534823927207e-10,"REG3B, ORM1, IL1RN, VCAM1, UGT1A1, NPY5R, SAA3, HP, FN1, DEFB1, TRPV1, SERPINA3N, MRGPRA3, C3, FCGR1, IL1B, CCL5, SAA1, NLRP3, ADAM8, CCR5, A2M, S100A8",593,130,17152,5.117343364898171,2.330270335693108e-06,2.3302730937966298e-07,2.187729792846304e-07
