,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_CC_5,GO:0009897~external side of plasma membrane,33,3.767123287671233,1.621210633531084e-06,"ITGB1, CD86, NLGN1, CXCL9, ITGB3, ITGAX, ICOS, CCR5, SLAMF1, CCR2, CCR1, IGH-VJ558, VCAM1, KLRA7, TNFRSF9, TRPV1, OSMR, FCGR1, SELP, CXCL10, CD200R4, CD200R1, IGLL1, FCGR4, CD69, IL7R, MS4A2, MS4A1, CD44, H2-D1, CD244, TLR2, TNFRSF22",571,340,15239,2.590331719377769,0.0008037979072986756,0.0008041204742314178,0.0007992568423308245
1,GOTERM_CC_5,GO:0070062~extracellular exosome,138,15.753424657534246,3.9865551752674174e-05,"SEMA5A, TXN1, CD86, IL1RN, CD84, GDA, SERPINE1, HP, PLOD2, DEFB1, TM7SF3, LOC100038947, PLAU, VSIG4, TOR3A, SLC15A2, IGFBP3, ACTN1, IGFBP2, ADIPOQ, SLC6A14, NCCRP1, NAIP2, FCGR4, TAGLN2, FKBP4, ATP6V0D2, DSC1, S100A9, CFB, H2-D1, DSC2, S100A8, CFD, PSMD13, CFI, TACSTD2, LTBP2, FBLN2, DPP4, C3, SEC14L3, PRDX4, PCK1, A2M, SLAMF1, NR2C2AP, VCAM1, GOT2, GFPT1, DNAJC11, FN1, MSN, SERPINA3N, CP, PTPRD, UEVLD, FIBP, BST1, COL1A2, CPD, LCN2, DYNLRB2, SERINC2, FBN1, FERMT3, ITGB1, ARF3, SIRPB1A, LAD1, SLC35F6, ITGB3, ITGB2, QPRT, DMKN, AKR1B8, WISP2, LASP1, CHL1, PDDC1, ACP5, CD38, ANXA8, TIMP1, CTSF, YWHAG, CTSC, GAL3ST4, HAVCR2, CD53, GLRX3, MYOF, PLAUR, WNT9A, PTGR1, SERPINB8, SERPINB5, PSMA6, DDAH1, IL1B, PMP2, DSG2, 2310030G06RIK, DOCK2, MS4A1, CD44, AHNAK, WAS, CAPG, PRELP, H2-Q2, SBSN, GNA14, EPCAM, SPP1, GCNT3, BID, SIAE, ZFP420, CCT4, CD209E, SEPT11, MDH1, CYP4A31, ERAP1, KRT13, TUBB4B, MYO1E, LRG1, FABP4, KRT17, IGLL1, APOC2, PI15, SAA1, SSBP1, GLA, TPT1",571,2674,15239,1.3773301180073536,0.0195794902965741,0.0098866568346631,0.0098268585070341
2,GOTERM_CC_5,GO:0044459~plasma membrane part,127,14.49771689497717,0.00041440163013136224,"CD86, NCF1, GPR65, AQP9, C3AR1, A630033H20RIK, SLC34A2, MRGPRA2A, SLC15A2, IGFBP2, CD180, SLC6A14, CYBB, ATP1B4, SYTL2, FCGR1, MIP, FCGR4, CLDN8, SLCO2A1, ADAM8, ATP6V0D2, H2-D1, TACSTD2, FPR3, SLCO1A6, FPR2, OLFR749, CRHR1, MTDH, SPTA1, DPP4, SLCO1B2, CLCA1, SLC5A4B, ICOS, SLC38A5, SLAMF1, CCR1, VCAM1, VDR, TNFRSF9, FZD6, FN1, MSN, SLC16A10, TRPV1, CP, RAET1A, SELP, CXCL10, KIF18A, NOX4, IL7R, ITGB1, CATSPERG1, CXCL9, GPAA1, ITGB3, ITGB2, PLEK, SLC7A13, EDA2R, GJE1, MS4A4B, AU018091, ITGAX, GNRHR, CCR5, SLC18A1, NEO1, HAVCR2, CCR2, ABCC3, CD53, IGH-VJ558, KLRA7, KCND2, UGT1A1, NPY5R, GPR35, MYOF, PLAUR, WNT9B, RHOH, SYP, OSMR, SLC39A14, IL17RB, TLR1, APBB1IP, CD200R4, CD200R1, TRAF6, ITGA8, SLC29A4, DSG2, CASQ1, MS4A2, CDH17, MS4A1, CD44, TLR2, TNFRSF22, NLGN1, AHNAK, AKAP7, H2-Q2, GNA14, ACVR1C, EPCAM, P2RY1, HAS2, SCN7A, GABRE, KCNJ1, LRRC8E, CYP4A31, KCNJ15, MRGPRA3, CLCN5, IGLL1, ATP13A4, F2RL1, RHAG, CD69, CD244",571,2548,15239,1.3302236292604068,0.1858297715920551,0.0685144028483852,0.0681000012182538
3,GOTERM_CC_5,GO:0061702~inflammasome complex,5,0.5707762557077625,0.0010573873560078,"NAIP2, NAIP5, NAIP6, CASP4, NLRP3",571,13,15239,10.264717769096052,0.4082917609738727,0.1311160321449676,0.1303229916279617
4,GOTERM_CC_5,GO:0031226~intrinsic component of plasma membrane,75,8.561643835616438,0.0018066916038408,"ITGB1, NCF1, GPAA1, GPR65, ITGB3, AQP9, ITGB2, SLC7A13, EDA2R, MS4A4B, AU018091, ITGAX, C3AR1, GNRHR, A630033H20RIK, SLC18A1, NEO1, CCR2, CD53, ABCC3, SLC15A2, MRGPRA2A, UGT1A1, NPY5R, KCND2, GPR35, CD180, SLC6A14, PLAUR, CYBB, ATP1B4, OSMR, SLC39A14, IL17RB, TLR1, MIP, TRAF6, SLCO2A1, ITGA8, ADAM8, MS4A2, CDH17, MS4A1, TLR2, NLGN1, TACSTD2, FPR3, FPR2, SLCO1A6, OLFR749, CRHR1, ACVR1C, EPCAM, SLCO1B2, HAS2, CLCA1, SCN7A, SLC5A4B, ICOS, GABRE, KCNJ1, SLC38A5, LRRC8E, TNFRSF9, KCNJ15, SLC16A10, TRPV1, MRGPRA3, CP, RAET1A, CLCN5, ATP13A4, NOX4, F2RL1, RHAG",571,1413,15239,1.4165746390472258,0.5921800566131796,0.1792238071010135,0.1781397921387089
5,GOTERM_CC_5,GO:0005887~integral component of plasma membrane,70,7.9908675799086755,0.0040104360530664,"ITGB1, NCF1, GPAA1, GPR65, ITGB3, AQP9, ITGB2, SLC7A13, EDA2R, MS4A4B, AU018091, ITGAX, C3AR1, GNRHR, A630033H20RIK, SLC18A1, NEO1, CCR2, CD53, ABCC3, SLC15A2, MRGPRA2A, UGT1A1, NPY5R, KCND2, GPR35, CD180, SLC6A14, PLAUR, CYBB, ATP1B4, OSMR, SLC39A14, IL17RB, TLR1, MIP, TRAF6, SLCO2A1, ITGA8, ADAM8, MS4A2, CDH17, MS4A1, NLGN1, TACSTD2, FPR3, FPR2, SLCO1A6, OLFR749, ACVR1C, EPCAM, SLCO1B2, HAS2, SCN7A, SLC5A4B, ICOS, GABRE, KCNJ1, SLC38A5, LRRC8E, TNFRSF9, KCNJ15, SLC16A10, TRPV1, MRGPRA3, CLCN5, ATP13A4, NOX4, F2RL1, RHAG",571,1342,15239,1.3920854202499864,0.8637379911549175,0.2991875337394601,0.2973779317208747
6,GOTERM_CC_5,GO:0001533~cornified envelope,8,0.91324200913242,0.0042224047100327,"SPRR2F, LCE1A1, SPRR2H, SPRR2A1, LCE1I, LCE1H, LCE1F, SPRR2D",571,55,15239,3.881929629039962,0.8773900057945383,0.2991875337394601,0.2973779317208747
7,GOTERM_CC_5,GO:0098797~plasma membrane protein complex,29,3.3105022831050226,0.0143115466452389,"ITGB1, CATSPERG1, NLGN1, NCF1, ITGB3, ITGB2, H2-Q2, GJE1, GNA14, ACVR1C, ITGAX, SCN7A, NEO1, VCAM1, KCND2, WNT9B, CYBB, ATP1B4, OSMR, TLR1, APBB1IP, TRAF6, ITGA8, NOX4, ADAM8, MS4A2, ATP6V0D2, H2-D1, TLR2",571,482,15239,1.6057255597299636,0.9992149887353218,0.8873158920048163,0.8819490620128517
8,GOTERM_CC_5,GO:0030016~myofibril,16,1.82648401826484,0.0180076322360282,"GLRX3, AHNAK, ACTN1, TPM2, MYOM2, PSMA6, MYH1, SYNPO2L, PALLD, MYL1, TNNT2, MYOD1, ANKRD1, CASQ1, FLNC, SYNC",571,219,15239,1.949827667554319,0.9998782066040977,0.9924206210077774,0.9864180769291012
9,GOTERM_CC_5,GO:0008305~integrin complex,5,0.5707762557077625,0.0245466511650955,"ITGB1, ITGB3, ITGB2, ITGA8, ITGAX",571,30,15239,4.44804436660829,0.999995569772726,1.0,0.995959595959596
