,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0099537~trans-synaptic signaling,83,10.453400503778337,5.823246891442826e-29,"GABRB3, GABRB2, RAB3A, CLSTN2, KCNC4, RASGRF1, NPY2R, CELF4, HTR2C, GRIK1, GRM1, RPH3A, RIMS2, TRIM9, RIMS1, GRM5, CALB1, RIMS3, JPH3, NETO1, LRRTM1, KIF1B, CAR7, PPFIA3, UNC13C, LYNX1, CHRNB3, NPY5R, SYP, MAPK8IP2, SYN3, SYN2, MMP9, GABRG2, SYN1, SHISA6, GABRG1, ADCYAP1, CREB1, MAPT, NAT8L, RAPGEF4, GRIA1, SLC24A2, CHRNA3, CHRNA4, STAU2, NRXN1, CHRNA7, CHRNA6, SEZ6, OPRL1, CACNA1B, CPLX1, PCDH17, CPLX3, NEUROD2, GLRA2, GLRA3, KCNMB2, SLITRK5, SNCA, ASIC1, LGI1, NTRK2, GABRA1, SYT4, PTPRN2, SYT1, PLK2, HTR1D, PCDH8, ATP2B2, NETO2, SYT13, HTR5A, GRIN2B, DLG2, CAMK4, CNTN2, APBA1, APBA3, FGF12",593,570,17152,4.211757048608029,1.7958893413209676e-25,8.979446706604838e-26,8.609670528998218e-26
1,GOTERM_BP_5,GO:0099536~synaptic signaling,83,10.453400503778337,5.823246891442826e-29,"GABRB3, GABRB2, RAB3A, CLSTN2, KCNC4, RASGRF1, NPY2R, CELF4, HTR2C, GRIK1, GRM1, RPH3A, RIMS2, TRIM9, RIMS1, GRM5, CALB1, RIMS3, JPH3, NETO1, LRRTM1, KIF1B, CAR7, PPFIA3, UNC13C, LYNX1, CHRNB3, NPY5R, SYP, MAPK8IP2, SYN3, SYN2, MMP9, GABRG2, SYN1, SHISA6, GABRG1, ADCYAP1, CREB1, MAPT, NAT8L, RAPGEF4, GRIA1, SLC24A2, CHRNA3, CHRNA4, STAU2, NRXN1, CHRNA7, CHRNA6, SEZ6, OPRL1, CACNA1B, CPLX1, PCDH17, CPLX3, NEUROD2, GLRA2, GLRA3, KCNMB2, SLITRK5, SNCA, ASIC1, LGI1, NTRK2, GABRA1, SYT4, PTPRN2, SYT1, PLK2, HTR1D, PCDH8, ATP2B2, NETO2, SYT13, HTR5A, GRIN2B, DLG2, CAMK4, CNTN2, APBA1, APBA3, FGF12",593,570,17152,4.211757048608029,1.7958893413209676e-25,8.979446706604838e-26,8.609670528998218e-26
2,GOTERM_BP_5,GO:0007399~nervous system development,165,20.780856423173805,7.029838194468609e-22,"RAB3A, CLSTN2, MYT1L, HHIP, HDAC11, STMN3, KNDC1, FAIM2, RORB, SLC8A1, RIMS2, GRIP1, RIMS1, RNF112, SOX1, FGF9, TUBB3, KIF5C, KIF5A, TUNAR, EPHB1, SOX4, WLS, MED1, EPHA7, RBFOX1, DSCAM, APLP1, OMG, TBR1, SOX11, UNC5D, MAPK8IP2, ISL1, SOX10, POU3F3, BCAN, ADCYAP1, PCP4, OLFM3, UBE2V2, FKBP4, DDX6, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, SDC2, HPCA, CEND1, TRPM1, NEUROD2, SCRT2, EFNB3, MOBP, RACGAP1, NEUROD6, NDN, MBP, NPTX1, SCN3B, ASIC2, NKX2-2, SYT4, TFAP2C, TFAP2D, SYT1, BCL11A, PLK2, SCRT1, GRIN3A, DLG2, TRP53, CPE, CNTN2, CSPG5, CNTN3, CNTN4, CALM1, C77370, LHX9, ITGB1, GABRB3, PCSK2, GABRB2, TENM1, PIGT, NRSN1, GDI1, KCNC2, RASGRF1, ELAVL4, GRIK1, ELAVL3, GRM5, SHH, LRRTM3, LRRTM4, LRRTM1, DNER, NEFL, NEFM, NEFH, TIMP4, ACTL6B, DCC, PAX3, OLIG1, SEZ6L, PTBP2, DNM3, GAP43, CREB1, NRG3, DCT, TRNP1, DCX, MAPT, ARHGEF7, INA, RAPGEF4, CRP, SMARCD1, STAU2, ATL1, NRXN1, SATB2, KCNA2, SEZ6, CRMP1, ASCL1, CDC42, SLITRK1, SLITRK4, TBX20, SPOCK1, SLITRK5, NCAM2, CTNNA2, BID, BEND6, LGI1, NTRK2, MCOLN3, EGF, GABRA4, MCF2, KLHL1, ATP2B2, MIAT, HTR5A, POU4F1, POU4F2, TTLL7, RIT2, APC, PLP1, VWC2, RTN4IP1, CBLN2, NEUROG2, CDK5R1, CBLN1, 2900011O08RIK",593,2261,17152,2.110782362114989,2.168002099174119e-18,7.22667366391373e-19,6.929077180347894e-19
3,GOTERM_BP_5,GO:0050804~modulation of synaptic transmission,53,6.675062972292191,2.713812703239512e-20,"RAB3A, CLSTN2, KCNC4, RASGRF1, NPY2R, CELF4, HTR2C, GRIK1, GRM1, RIMS2, RIMS1, GRM5, CALB1, RIMS3, JPH3, NETO1, LRRTM1, CAR7, PPFIA3, UNC13C, NPY5R, SYP, MAPK8IP2, MMP9, SYN1, SHISA6, ADCYAP1, CREB1, MAPT, NAT8L, RAPGEF4, GRIA1, SLC24A2, CHRNA3, STAU2, NRXN1, CHRNA7, CACNA1B, PCDH17, CPLX3, NEUROD2, SNCA, ASIC1, LGI1, NTRK2, SYT4, SYT1, PLK2, ATP2B2, NETO2, GRIN2B, CSPG5, CNTN2",593,332,17152,4.617403848107438,8.369398376790656e-17,2.092349594197664e-17,2.0061860408698094e-17
4,GOTERM_BP_5,GO:0022008~neurogenesis,122,15.365239294710328,2.844096834343708e-16,"RAB3A, HHIP, HDAC11, STMN3, KNDC1, FAIM2, RORB, RIMS2, GRIP1, RIMS1, RNF112, SOX1, TUBB3, KIF5C, KIF5A, TUNAR, EPHB1, SOX4, MED1, EPHA7, DSCAM, OMG, TBR1, SOX11, UNC5D, MAPK8IP2, ISL1, SOX10, ADCYAP1, PCP4, OLFM3, UBE2V2, FKBP4, DDX6, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, SDC2, CEND1, TRPM1, NEUROD2, SCRT2, EFNB3, RACGAP1, NDN, NPTX1, NKX2-2, SYT4, TFAP2C, SYT1, BCL11A, PLK2, SCRT1, GRIN3A, DLG2, TRP53, CNTN2, CNTN4, LHX9, ITGB1, GABRB3, GABRB2, TENM1, PIGT, GDI1, RASGRF1, ELAVL4, GRM5, SHH, DNER, NEFL, NEFM, NEFH, DCC, PAX3, OLIG1, DNM3, GAP43, CREB1, NRG3, DCT, DCX, MAPT, ARHGEF7, RAPGEF4, CRP, STAU2, ATL1, NRXN1, SATB2, SEZ6, CRMP1, ASCL1, CDC42, SLITRK1, SLITRK4, TBX20, SPOCK1, SLITRK5, NCAM2, CTNNA2, BEND6, LGI1, NTRK2, MCOLN3, MCF2, KLHL1, ATP2B2, MIAT, POU4F1, POU4F2, RIT2, APC, PLP1, VWC2, RTN4IP1, NEUROG2, CDK5R1, CBLN1, 2900011O08RIK",593,1638,17152,2.1542991391220734,1.0271783423831948e-12,1.542960185564616e-13,1.4794206448490826e-13
5,GOTERM_BP_5,GO:0030182~neuron differentiation,109,13.727959697732995,3.0018680653008096e-16,"RAB3A, STMN3, KNDC1, FAIM2, RORB, RIMS2, GRIP1, RIMS1, RNF112, SOX1, TUBB3, KIF5C, KIF5A, TUNAR, EPHB1, SOX4, MED1, EPHA7, DSCAM, OMG, TBR1, SOX11, UNC5D, MAPK8IP2, ISL1, ADCYAP1, PCP4, OLFM3, UBE2V2, FKBP4, DDX6, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, SDC2, CEND1, TRPM1, NEUROD2, EFNB3, NDN, NPTX1, NKX2-2, SYT4, TFAP2C, SYT1, BCL11A, PLK2, GRIN3A, DLG2, CNTN2, CNTN4, LHX9, ITGB1, GABRB3, GABRB2, TENM1, PIGT, GDI1, RASGRF1, ELAVL4, SHH, NEFL, NEFM, NEFH, DCC, PAX3, OLIG1, DNM3, GAP43, CREB1, DCX, MAPT, RAPGEF4, CRP, STAU2, ATL1, NRXN1, SATB2, SEZ6, CRMP1, ASCL1, CDC42, SLITRK1, SLITRK4, TBX20, SPOCK1, SLITRK5, NCAM2, CTNNA2, BEND6, LGI1, NTRK2, MCOLN3, MCF2, KLHL1, ATP2B2, MIAT, POU4F1, POU4F2, RIT2, APC, PLP1, VWC2, RTN4IP1, NEUROG2, CDK5R1, CBLN1",593,1379,17152,2.2862425664661563,1.0271783423831948e-12,1.542960185564616e-13,1.4794206448490826e-13
6,GOTERM_BP_5,GO:0048666~neuron development,89,11.209068010075567,5.3857142504717865e-14,"ITGB1, GABRB3, TENM1, GABRB2, RAB3A, GDI1, RASGRF1, ELAVL4, STMN3, KNDC1, RORB, RIMS2, GRIP1, RIMS1, SHH, SOX1, TUBB3, KIF5C, KIF5A, NEFL, NEFM, NEFH, EPHB1, EPHA7, DSCAM, DCC, OMG, TBR1, UNC5D, MAPK8IP2, ISL1, DNM3, ADCYAP1, GAP43, PCP4, CREB1, OLFM3, DCX, UBE2V2, MAPT, FKBP4, RAPGEF4, CRP, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, STAU2, ATL1, NRXN1, SDC2, SEZ6, CRMP1, ASCL1, TRPM1, NEUROD2, EFNB3, SLITRK1, SLITRK4, SPOCK1, SLITRK5, NDN, NCAM2, CTNNA2, NPTX1, LGI1, NTRK2, SYT4, SYT1, BCL11A, PLK2, MCF2, KLHL1, ATP2B2, MIAT, POU4F1, POU4F2, GRIN3A, RIT2, DLG2, APC, PLP1, CNTN2, CNTN4, RTN4IP1, NEUROG2, LHX9, CDK5R1",593,1092,17152,2.357368320268826,1.6606049868528316e-10,2.3727918212078555e-11,2.2750795769492958e-11
7,GOTERM_BP_5,GO:0006811~ion transport,100,12.594458438287154,4.803713722705292e-13,"SLC8A1, CAR7, SCN1A, CHRNB3, ATP6V1G2, CACNA2D3, ATP1B1, MAPK8IP2, ANK1, GABRG2, GABRG1, ADCYAP1, KCNQ2, FKBP4, GRIA1, SPTBN4, CHRNA3, CALCRL, CHRNA4, CHRNA7, CHRNA6, CACNA1B, SLC30A10, TRPM1, DPP6, RACGAP1, KCNMB2, SCN3B, ASIC2, ASIC1, SLC38A4, SYT4, SLC10A1, GOT2, HTR1D, NETO2, GRIN2B, GRIN3A, CALM1, FGF12, GSTM7, GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, RASGRF1, SLC7A14, SLC2A2, HTR2C, GRIK1, PANX2, GABRR1, LASP1, JPH3, PDE4B, TMEM109, COX8C, KCND2, NPY5R, TESC, KCNAB2, KCNAB3, MMP9, CLDN10, SLC24A2, OCA2, NRXN1, KCNA2, OPRL1, AKAP6, ADD2, GLRA2, CNNM1, GLRA3, SLC17A6, CACNG2, CACNG3, CACNG4, KCNJ3, SNCA, CACNG5, GABRA2, NTRK2, GABRA1, KCNJ5, MCOLN3, KCNIP1, EGF, KCNJ9, GABRA4, KCNIP4, ATP2B2, FAM155A, CLCN5, KCNS2, GM5868, ATP13A5, APBA1, VIP",593,1354,17152,2.136197538490663,1.4815335624973611e-09,1.8518316401028903e-10,1.7755726847549436e-10
8,GOTERM_BP_5,GO:0007417~central nervous system development,79,9.949622166246852,1.893771361572358e-12,"ITGB1, KCNC2, HDAC11, KNDC1, FAIM2, SLC8A1, SHH, SOX1, FGF9, DNER, NEFL, NEFH, EPHB1, TIMP4, SOX4, WLS, MED1, EPHA7, ACTL6B, DCC, APLP1, OMG, PAX3, SOX11, OLIG1, TBR1, UNC5D, SEZ6L, ISL1, SOX10, PTBP2, POU3F3, BCAN, ADCYAP1, CREB1, DCT, NRG3, TRNP1, DCX, INA, SPTBN4, NDRG4, NRXN1, SATB2, HPCA, SEZ6, CEND1, ASCL1, CDC42, NEUROD2, NEUROD6, TBX20, SPOCK1, SLITRK5, NDN, MBP, CTNNA2, BID, NKX2-2, NTRK2, SYT4, TFAP2C, TFAP2D, SYT1, EGF, GABRA4, KLHL1, ATP2B2, HTR5A, POU4F1, TRP53, PLP1, CNTN2, CNTN4, CALM1, NEUROG2, CDK5R1, 2900011O08RIK, CBLN1",593,969,17152,2.358106356059776,5.840536054790846e-09,6.489323198987946e-10,6.222091017966068e-10
9,GOTERM_BP_5,GO:0031175~neuron projection development,76,9.571788413098236,3.010197048137596e-12,"ITGB1, RAB3A, GDI1, RASGRF1, ELAVL4, STMN3, KNDC1, RIMS2, GRIP1, RIMS1, SHH, TUBB3, KIF5C, KIF5A, NEFL, NEFM, NEFH, EPHB1, EPHA7, DSCAM, DCC, OMG, TBR1, UNC5D, MAPK8IP2, ISL1, DNM3, ADCYAP1, GAP43, PCP4, CREB1, DCX, UBE2V2, MAPT, FKBP4, RAPGEF4, CRP, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, STAU2, ATL1, SDC2, SEZ6, CRMP1, EFNB3, SLITRK1, SLITRK4, SPOCK1, SLITRK5, NDN, NCAM2, CTNNA2, NPTX1, LGI1, NTRK2, SYT4, SYT1, BCL11A, PLK2, MCF2, KLHL1, POU4F1, POU4F2, GRIN3A, RIT2, APC, PLP1, CNTN2, CNTN4, RTN4IP1, NEUROG2, LHX9, CDK5R1",593,921,17152,2.386789049954866,9.28329546567852e-09,8.959790078660312e-10,8.590823366601342e-10
