"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000175868","Calcb",-1.18121821436702,1.65055746681545e-05,0.654710124787016
"unknown.6991","2610001J05Rik",-0.918966408544203,0.00311279516183488,1
"unknown.1752","Defa15",-0.885132623454467,0.0105823437135153,1
"ENSG00000108010.2","Glrx3",-0.850720814824995,0.00803690984074708,1
"ENSG00000005194.2","Ciapin1",-0.848205249059937,0.00610570137641807,1
"ENSG00000067141.4","Neo1",-0.770107399815672,0.013750709824653,1
"ENSG00000184381.1","Pla2g6",-0.732065762223536,0.0256548248447042,1
"ENSG00000158710","Tagln2",-0.728192354157931,0.0307870052663785,1
"ENSG00000155926.3","Sla",-0.711548600604675,0.0220190703503997,1
"unknown.1473","Smr2",-0.661425270367386,0.0722387085579102,1
"ENSG00000171401.2","Krt13",-0.645024057190819,0.0566652007462527,1
"ENSG00000186007","Lemd1",-0.626731240755807,0.0535451214780875,1
"ENSG00000132031.1","Matn3",-0.623230631192756,0.0566652007462527,1
"ENSG00000170961","Has2",-0.605959444924713,0.0470123553571748,1
"ENSG00000125741.4","Opa3",-0.562001018331121,0.114255272573041,1
"ENSG00000135929.1","Cyp27a1",-0.550892247490203,0.114661479764852,1
"ENSG00000166411.3","Idh3a",-0.54758065536543,0.0970319857390508,1
"ENSG00000143476.2","Dtl",-0.545901186775042,0.124919266182925,1
"ENSG00000128322.1","Igll1",-0.545178722901915,0.114661479764852,1
"ENSG00000134779.1","Tpgs2",-0.540122805414853,0.0789766518844467,1
