"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000104722","Nefm",1.13991235160992,0.000156167253145183,1
"ENSG00000160460","Sptbn4",1.02330797135731,0.000189315301246977,1
"ENSG00000091664.1","Slc17a6",1.02259511999132,0.000150144485575729,1
"ENSG00000091664","Slc17a6",1.01957425061375,0.000309621244211697,1
"ENSG00000137766","Unc13c",0.934493249127591,0.000175047658917192,1
"ENSG00000137766.1","Unc13c",0.913308238884735,0.000125837452311076,1
"ENSG00000151615","Pou4f2",0.900575153073261,0.00127768828016322,1
"ENSG00000152192.1","Pou4f1",0.852680213230833,0.00464081215714366,1
"ENSG00000277586","Nefl",0.830192123189496,0.000447383999789895,1
"ENSG00000277586.1","Nefl",0.789604523617944,0.000572258334253089,1
"ENSG00000089169.1","Rph3a",0.767642662666131,0.00720644486941647,1
"ENSG00000100285","Nefh",0.740813414174033,0.0017044761272695,1
"ENSG00000152192","Pou4f1",0.726105093858746,0.00231761711790714,1
"ENSG00000091428","Rapgef4",0.697366903636943,0.010611827808947,1
"ENSG00000185774","Kcnip4",0.693404418443727,0.0157497313163265,1
"unknown.1330","abParts",0.685350947928153,0.0196906540086918,1
"ENSG00000089169","Rph3a",0.677601658567812,0.00487198694379223,1
"ENSG00000137766.2","Unc13c",0.675494620324473,0.0018260464102246,1
"ENSG00000185774.2","Kcnip4",0.665228440712072,0.0375149255547528,1
"ENSG00000168993","Cplx1",0.663056117251328,0.00903084860852199,1
