"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000104722","Nefm",1.13991235160992,0.000156167253145183,1
"ENSG00000160460","Sptbn4",1.02330797135731,0.000189315301246977,1
"ENSG00000091664.1","Slc17a6",1.02259511999132,0.000150144485575729,1
"ENSG00000091664","Slc17a6",1.01957425061375,0.000309621244211697,1
"ENSG00000137766","Unc13c",0.934493249127591,0.000175047658917192,1
"ENSG00000137766.1","Unc13c",0.913308238884735,0.000125837452311076,1
"ENSG00000151615","Pou4f2",0.900575153073261,0.00127768828016322,1
"ENSG00000152192.1","Pou4f1",0.852680213230833,0.00464081215714366,1
"ENSG00000277586","Nefl",0.830192123189496,0.000447383999789895,1
"ENSG00000277586.1","Nefl",0.789604523617944,0.000572258334253089,1
"ENSG00000089169.1","Rph3a",0.767642662666131,0.00720644486941647,1
"ENSG00000100285","Nefh",0.740813414174033,0.0017044761272695,1
"ENSG00000152192","Pou4f1",0.726105093858746,0.00231761711790714,1
"ENSG00000091428","Rapgef4",0.697366903636943,0.010611827808947,1
"ENSG00000185774","Kcnip4",0.693404418443727,0.0157497313163265,1
"unknown.1330","abParts",0.685350947928153,0.0196906540086918,1
"ENSG00000089169","Rph3a",0.677601658567812,0.00487198694379223,1
"ENSG00000137766.2","Unc13c",0.675494620324473,0.0018260464102246,1
"ENSG00000185774.2","Kcnip4",0.665228440712072,0.0375149255547528,1
"ENSG00000168993","Cplx1",0.663056117251328,0.00903084860852199,1
"ENSG00000184408.3","Kcnd2",0.659983429752864,0.0210869540350624,1
"unknown.9566","Gm16532",0.648974571481298,0.0141709510102565,1
"ENSG00000168993.2","Cplx1",0.643732436756679,0.0149851065174453,1
"unknown.1751","abParts",0.627405593539294,0.0639506967480668,1
"ENSG00000147434.1","Chrna6",0.620637500752255,0.03461614201291,1
"ENSG00000211899.3","Ighm",0.61821015307388,0.0417300968960429,1
"unknown.5082","Gm2102",0.598103567900082,0.0642137980358428,1
"ENSG00000164089.1","Etnppl",0.592217252954769,0.0260762455676571,1
"ENSG00000168243","Gng4",0.5614835043515,0.0821942209626895,1
"ENSG00000114279","Fgf12",0.560511225122169,0.0356009310770704,1
"ENSG00000172137","Calb2",0.555233457555509,0.0241121618666516,1
"unknown.1345","abParts",0.555097174228843,0.0670528335889226,1
"ENSG00000114279.1","Fgf12",0.553025345926074,0.0549098538455262,1
"ENSG00000141404.1","Gnal",0.55253049655247,0.0619274424707208,1
"ENSG00000146221","Tcte1",0.537358971155964,0.0487256929665568,1
"ENSG00000130540.1","Sult4a1",0.535695429057145,0.0329484543129781,1
"ENSG00000186487","Myt1l",0.528052284225822,0.0965664130887704,1
"ENSG00000130294","Kif1a",0.526767215070452,0.10113746623915,1
"unknown.5670","BC030500",0.526712494803025,0.0450527567339005,1
"ENSG00000163032.1","Vsnl1",0.526164070957345,0.0468511389934565,1
"ENSG00000080644.2","Chrna3",0.524308522304707,0.0821942209626895,1
"ENSG00000177380","Ppfia3",0.522828985406282,0.0594318540315973,1
"ENSG00000148798.1","Ina",0.522436462666484,0.0813543257068904,1
"unknown.2073","6720468P15Rik",0.519322462393483,0.12385428348159,1
"ENSG00000185774.1","Kcnip4",0.518995647992084,0.0547809361758744,1
"ENSG00000141404","Gnal",0.513722813659229,0.0813543257068904,1
"ENSG00000152128","Tmem163",0.507230206239924,0.103770697970069,1
"unknown.1703","abParts",0.505499740690291,0.100174595873008,1
"ENSG00000144285.1","Scn1a",0.505057678671,0.0650878383566956,1
"ENSG00000196353","Cpne4",0.504467078308997,0.13538627099934,1
"unknown.4481","B230343J05Rik",0.499100528704673,0.054172035863153,1
"ENSG00000163032","Vsnl1",0.497961685737019,0.0578952172580036,1
"LRG_252.5","Kif1b",0.494359483842556,0.107352951431768,1
"ENSG00000091428.1","Rapgef4",0.492071646071295,0.0299522970818518,1
"unknown.4241","AI854703",0.491727002064088,0.150676522235657,1
"ENSG00000175535.1","Pnlip",0.491056274661158,0.176611896042648,1
"ENSG00000168243.2","Gng4",0.489914710437424,0.0899557570477583,1
"ENSG00000184408","Kcnd2",0.488517922969771,0.18181122189293,1
"unknown.5525","C030017B01Rik",0.488503044668613,0.110919764426528,1
"ENSG00000147434","Chrna6",0.487228788717886,0.0982439026416189,1
"ENSG00000178233","Tmem151b",0.487140863079397,0.0950450235219276,1
"ENSG00000258947","Tubb3",0.486404135320432,0.0842229010639829,1
"ENSG00000177181","Rimkla",0.484065051910991,0.0662925970987992,1
"ENSG00000145198","Vwa5b2",0.478956054510254,0.12534712074693,1
"ENSG00000155980.2","Kif5a",0.478778917294429,0.0709030275528321,1
"ENSG00000075043.6","Kcnq2",0.477008625770211,0.121372486581206,1
"ENSG00000076382.1","Spag5",0.475754939213688,0.141794797939198,1
"ENSG00000107105.2","Elavl2",0.474633815421934,0.0616507597910724,1
"ENSG00000154917.1","Rab6b",0.467494801414813,0.110919764426528,1
"ENSG00000107105.4","Elavl2",0.466038451136478,0.107783826982742,1
"ENSG00000106536","Pou6f2",0.455790317846941,0.0875543075519972,1
"ENSG00000165973","Nell1",0.450305021809563,0.125006155788057,1
"ENSG00000008735.4","Mapk8ip2",0.449786341032466,0.0824928930252567,1
"unknown.5450","Tusc5",0.449364001508296,0.0926916698136,1
"ENSG00000147432","Chrnb3",0.446703772845858,0.174985457418184,1
"ENSG00000100362","Pvalb",0.445137875905673,0.0894540620243558,1
"ENSG00000104381.3","Gdap1",0.443379831030817,0.0824928930252567,1
"ENSG00000148408.3","Cacna1b",0.442201776757281,0.121513986418491,1
"unknown.1744","Igk-V21",0.439201181212291,0.200679512738068,1
"ENSG00000151025.1","Gpr158",0.437031582243224,0.107033132800559,1
"ENSG00000104381.1","Gdap1",0.436235822856392,0.184287527909716,1
"ENSG00000261678.1","Scrt1",0.433353171627684,0.228401487855793,1
"ENSG00000182698","Resp18",0.433296920141058,0.152339577244925,1
"unknown.4552","E130309F12Rik",0.431886618729404,0.150519586306392,1
"unknown.2475","2900055J20Rik",0.431453111173128,0.179666621928532,1
"ENSG00000164690.1","Shh",0.431257666506512,0.120329574602244,1
"ENSG00000066032","Ctnna2",0.430360841256822,0.0978139521862277,1
"ENSG00000228278","Orm2",0.429693994570082,0.0978139521862277,1
"ENSG00000174473.1","Galntl6",0.428559495651373,0.135352173814725,1
"ENSG00000102195.1","Gpr50",0.422955670018615,0.188848422482562,1
"ENSG00000184524.1","Cend1",0.422870745845789,0.203118398993784,1
"ENSG00000107105.1","Elavl2",0.420179909857876,0.120329574602244,1
"ENSG00000148408.1","Cacna1b",0.41943273486162,0.171566464193796,1
"ENSG00000148798.2","Ina",0.411789749369872,0.193349654544165,1
"ENSG00000139330","Kera",0.411112730023892,0.274991680630027,1
"ENSG00000058335","Rasgrf1",0.411056311377184,0.135352173814725,1
"ENSG00000175352","Nrip3",0.411002083157906,0.184287527909716,1
"ENSG00000147676","Mal2",0.410936987404268,0.254306104590776,1
"ENSG00000164106","Scrg1",0.407929118938244,0.159763377218946,1
"ENSG00000123570","Rab9b",0.407820265989388,0.14857806945637,1
"ENSG00000064763","Far2",0.407206391129526,0.171566464193796,1
"ENSG00000183166","Caln1",0.405675439642078,0.208176049116187,1
"ENSG00000075043.9","Kcnq2",0.405009034808256,0.193349654544165,1
"ENSG00000168314","Mobp",0.403896920870793,0.260427007126268,1
"unknown.5671","LOC101056011",0.400422660765397,0.241646074579808,1
"ENSG00000078328.1","Rbfox1",0.399728222447937,0.175642088721785,1
"ENSG00000008735.2","Mapk8ip2",0.398450345219159,0.110515432558391,1
"ENSG00000139116.1","Kif21a",0.396442966194498,0.105593970226262,1
"ENSG00000172020","Gap43",0.394160326106841,0.152122878565667,1
"ENSG00000079841","Rims1",0.393602777760923,0.0725436761677925,1
"ENSG00000150556","Lypd6b",0.392049313227069,0.224246022048014,1
"ENSG00000125851.3","Pcsk2",0.391438410118175,0.208176049116187,1
"unknown.9689","Igk-V1",0.389415188908799,0.295414686995778,1
"ENSG00000154118","Jph3",0.387970998007283,0.208176049116187,1
"ENSG00000187323.2","Dcc",0.387633449865551,0.229865945734538,1
"ENSG00000107105","Elavl2",0.385365045371791,0.197791660216894,1
"unknown.7385","Kif4",0.38352772406351,0.224246022048014,1
"ENSG00000168314.1","Mobp",0.383476484830723,0.179672934294127,1
"ENSG00000008735.1","Mapk8ip2",0.382706601651638,0.227627966389943,1
"ENSG00000155093.1","Ptprn2",0.381689457908792,0.187600683823987,1
"ENSG00000155980.1","Kif5a",0.381447879082027,0.0593915006366605,1
"ENSG00000183379.1","Syndig1l",0.379940839799668,0.295414686995778,1
