,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0048513~animal organ development,183,19.95637949836423,1.367636004912479e-10,"SEMA5A, APP, SLC23A1, RTKN2, SERPINE1, HP, TNC, TRP63, SCX, OTP, AHR, LDLRAD4, CSN2, FGF2, SOX21, MYLK3, TMEM143, SOX3, LCE1A1, LCE1A2, SALL4, MYC, HOXA3, PROK2, NEK1, MACROD2, SOX4, HOXA4, WLS, RBFOX1, AGTPBP1, ADIPOQ, LCE1I, SOX11, ESCO2, LCE1H, PRLR, ANK1, LCE1F, LOR, RC3H2, KLHL41, EREG, MIP, NINJ1, PKP2, APLNR, IAPP, WDPCP, FKBP4, HOXB7, SF1, SPRR2H, DLX5, FUT10, NOTCH4, MGST1, IL4RA, TACSTD2, PCDH15, SLC38A10, SLCO1A5, SLCO1A6, PPL, LTBP1, PIK3R6, CRHR1, FAM83H, SBNO2, PRDX4, SLCO1B2, HOXC4, SMYD1, HOXC8, CCL21A, SPRR2D, SLAMF1, CCR1, SRPK3, KL, STIL, PTCH2, FZD6, CTS8, BRAF, TRPV1, FOSL2, BMP1, SYNJ1, TRP53, CD28, SP5, NANOG, COL9A3, HOXD3, TAB1, SPRR1B, ITGB1, BARHL1, EDA, BNC2, ONECUT2, LPCAT1, TREM2, TFCP2L1, CHRDL1, AACS, GJE1, CASP14, FLCN, SPRR2A1, ANKRD1, UTY, CCR2, IL10, EDARADD, CCDC39, TRIM62, EDN2, ITGA4, NPY5R, TSC22D3, AW551984, EN2, WNT9A, UTF1, VAV1, SSTR4, MLF1, SERPINB5, GREM1, PSMA6, RP1, VCAN, NR5A2, CREB1, MMP13, PALLD, NRG4, MYOD1, TRAF6, IL1B, TNNT2, MATN1, ITGA8, DSG2, CASQ1, PLCB1, DOCK2, CDH17, ZBTB46, DNAH5, IGHMBP2, SEZ6, HOXD10, CUX1, EPCAM, GCNT2, HAS2, GCNT3, MFN2, BID, KCNJ1, LIM2, CDKN2B, IFI204, EYA1, PRRX1, WHRN, KRT13, SORBS2, USH2A, MYO1E, SNX19, KRT17, PRKRA, LEP, F2RL1, INSM1, CIAPIN1, CRLF1, IL17A, CRYGF",577,3520,17152,1.54542303450449,4.833224471756381e-07,4.8332256413607e-07,4.814078737291926e-07
1,GOTERM_BP_5,GO:0030855~epithelial cell differentiation,50,5.452562704471101,4.8028216291787333e-08,"EHF, ONECUT2, TRP63, SCX, TFCP2L1, FGF2, SOX3, CASP14, UPK1B, LCE1A1, LCE1A2, SPRR2A1, PROK2, SOX4, KRT4, ADIPOQ, LCE1I, SOX11, LCE1H, PRLR, LCE1F, LOR, GREM1, NR5A2, CREB1, PALLD, IL1B, TAGLN2, WDPCP, SPRR2H, DLX5, NOTCH4, PCDH15, PPL, CRHR1, CUX1, S1PR2, GSDMC2, SPRR2D, EYA1, WHRN, PTCH2, USH2A, FOSL2, MYO1E, KRT17, KRT14, F2RL1, INSM1, SPRR1B",577,633,17152,2.3480386922607264,0.00016971731684156666,8.486585818758821e-05,8.45296606735457e-05
2,GOTERM_BP_5,GO:0009913~epidermal cell differentiation,22,2.399127589967285,4.281940909464888e-06,"SPRR2H, WHRN, PTCH2, LCE1I, PCDH15, TRP63, LCE1H, PPL, USH2A, LCE1F, LOR, FOSL2, CASP14, LCE1A1, CUX1, KRT17, LCE1A2, PALLD, SPRR2A1, WDPCP, SPRR1B, SPRR2D",577,201,17152,3.2536106296938185,0.0150184919822197,0.0050441263913496,0.0050241440004388
3,GOTERM_BP_5,GO:0007166~cell surface receptor signaling pathway,112,12.213740458015266,2.557382471417392e-05,"SEMA5A, APP, SERPINE1, HP, IRS4, TRP63, SCX, LDLRAD4, FGF2, MYC, SOX4, IL13RA1, WLS, ADIPOQ, CNPY1, SOX11, PRLR, EREG, BTC, DOK2, DEPDC1B, PHIP, WDPCP, CSNK1G1, CFD, BLK, DLX5, NOTCH4, HTRA3, FPR3, LTBP1, CRHR1, MTDH, TSPAN8, NDN, ANKRD10, ADAM6A, CCL21A, SLAMF1, ZBED3, CCR1, KL, STIL, FZD6, BRAF, IIGP1, CXCL10, ITGB2L, BMP1, TRP53, CAPRIN2, CD28, NANOG, HOXD3, TAB1, ITGB1, CXCL9, EDA, ONECUT2, PIK3CD, TREM2, CHRDL1, FLCN, TRIM6, UPK1B, ADAMTS3, FFAR2, UTY, ITGB6, BCL2A1A, NEO1, CCR2, CD53, IGH-VJ558, FGFBP1, EDN2, ITGA4, NPY5R, TYK2, WNT9A, GFRA2, VAV1, GREM1, CREB1, TRAF6, IL1B, ITGA8, MS4A2, PLCB1, CDH17, CCL12, SEZ6, ATP1A3, AKAP7, ACVR1C, GCNT2, S1PR2, BID, SNCA, CDKN2B, EYA1, PRRX1, TRAT1, SORT1, SORBS2, WDR12, MYO1E, IGLL1, LEP, CLNK, F2RL1, IL17A",577,2278,17152,1.4615149352635337,0.0864151767189183,0.0225944741349726,0.022504965748473
4,GOTERM_BP_5,GO:0030216~keratinocyte differentiation,16,1.7448200654307526,3.4125460282599174e-05,"SPRR2H, LCE1I, TRP63, LCE1H, PPL, LCE1F, LOR, FOSL2, CASP14, LCE1A1, KRT17, LCE1A2, PALLD, SPRR2A1, SPRR1B, SPRR2D",577,131,17152,3.6306772328575017,0.1136128274013285,0.024119875327741,0.0240243240389498
5,GOTERM_BP_5,GO:0010647~positive regulation of cell communication,79,8.615049073064341,5.0422377553254766e-05,"SEMA5A, ITGB1, CXCL9, EDA, DUSP19, TRP63, TREM2, DOC2B, FGF2, EDA2R, AACS, FLCN, TRIM6, ADAMTS3, MYC, ANKRD1, A630033H20RIK, PROK2, IKBKG, NEO1, SOX4, WLS, IL10, TRIM62, FGFBP1, EDN2, NPY5R, ADIPOQ, SOX11, WNT9A, SSTR4, RC3H2, EREG, TLR1, GREM1, DEPDC1B, CREB1, TRAF6, IL1B, ITGA8, PHIP, DOCK2, PLCB1, BLK, ZFP622, CCL12, DLX5, AKAP5, PLA2G6, PIK3R6, CRHR1, MTDH, GCNT2, BID, CCL21A, SNCA, ZBED3, SLAMF1, CCR1, KL, CDKN2B, GADD45B, EYA1, PRRX1, TRAT1, PLK2, OPRK1, BRAF, CXCL10, BMP1, PRKRA, TRP53, LEP, CAPRIN2, CD28, F2RL1, TAB1, CCDC22, CRLF1",577,1490,17152,1.5760855152198947,0.1632225842595634,0.029698780378867,0.0295811281645761
6,GOTERM_BP_5,GO:0009967~positive regulation of signal transduction,72,7.851690294438386,6.135893713688406e-05,"SEMA5A, ITGB1, CXCL9, EDA, DUSP19, TRP63, TREM2, FGF2, EDA2R, FLCN, TRIM6, ADAMTS3, MYC, ANKRD1, A630033H20RIK, PROK2, IKBKG, NEO1, SOX4, WLS, IL10, TRIM62, FGFBP1, NPY5R, ADIPOQ, SOX11, WNT9A, SSTR4, RC3H2, EREG, TLR1, GREM1, DEPDC1B, TRAF6, IL1B, ITGA8, PHIP, DOCK2, PLCB1, ZFP622, CCL12, DLX5, AKAP5, PLA2G6, PIK3R6, MTDH, GCNT2, BID, CCL21A, ZBED3, SLAMF1, CCR1, KL, CDKN2B, GADD45B, EYA1, PRRX1, TRAT1, PLK2, OPRK1, BRAF, CXCL10, BMP1, PRKRA, TRP53, LEP, CAPRIN2, CD28, F2RL1, TAB1, CCDC22, CRLF1",577,1328,17152,1.6116598108204048,0.1949485871640693,0.0309774976916783,0.0308547798174045
7,GOTERM_BP_5,GO:0071345~cellular response to cytokine stimulus,37,4.034896401308616,8.200381799026578e-05,"CCL12, CALCA, CXCL9, EDA, ZFAND6, SERPINE1, TREM2, MYLK3, TRIM6, SBNO2, MYC, ANKRD1, HAS2, ST3GAL6, PCK1, CCL21A, CCR2, IL13RA1, CCR1, EDN2, IFI204, ITGA4, ADIPOQ, TRPV1, IFI202B, PRLR, IIGP1, EREG, CXCL10, LEP, TRAF6, IL1B, F2RL1, GM4951, NANOG, PLCB1, IL17A",577,542,17152,2.0292772771748515,0.2515967753316896,0.0362251865971999,0.0360816799157169
8,GOTERM_BP_5,GO:0034113~heterotypic cell-cell adhesion,9,0.9814612868047984,0.00011083134780465374,"IL10, ITGB1, ITGA4, IL1B, ADIPOQ, GCNT2, PKP2, DSG2, DSC2",577,45,17152,5.945233968804159,0.3240929347594677,0.0435197759046273,0.0433473715858201
9,GOTERM_BP_5,GO:0001655~urogenital system development,27,2.9443838604143946,0.00025994098965890453,"TNC, TACSTD2, TRP63, AHR, FGF2, FLCN, CUX1, EPCAM, MYC, GCNT3, HAS2, NEK1, KCNJ1, SOX4, EYA1, ADIPOQ, SOX11, PRLR, SERPINB5, GREM1, MYO1E, VCAN, ITGA8, WDPCP, FKBP4, HOXB7, CRLF1",577,364,17152,2.2049631477707736,0.6009828470369584,0.0918631457454568,0.0914992283599343
