,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0099536~synaptic signaling,101,13.430851063829788,1.188563140693043e-45,"CLSTN2, RIMS2, RPH3A, RIMS1, CRHBP, RIMS3, KIF5B, PPFIA3, CHRNB2, UNC13C, CHRNB3, PRKCE, TMOD2, SHISA9, PDYN, MAPK8IP2, GABRG2, SHISA6, GABRG1, STX1B, ADCYAP1, GRIA2, CHRNA3, CHRNA4, CHRNA6, CACNA1B, SLC1A3, CACNA1A, LIN7A, CPLX1, CPLX3, NEUROD2, KCNMB4, KCNN2, GRIA4, SYT4, PTPRN2, SYT1, BDNF, HTR1D, NETO2, GRIN2B, SYT7, DLG2, FGF14, NMU, CNIH3, FGF12, GABRB3, GABRB2, KCNC4, RASGRF1, ICA1, CELF4, GRIK1, SLC6A1, GRM1, JPH4, TRIM9, GRM5, CALB1, PCLO, JPH3, NETO1, LRRTM1, NCS1, KIF1B, SYN3, SYN2, MMP9, ETV5, SYN1, GIP, KCNMA1, MAPT, NAT8L, RAPGEF4, SLC24A2, NAPB, STAU2, NRXN1, NRXN3, SEZ6, OPRL1, RASD2, GLRA1, GLRA2, GLRA3, SLITRK5, GABRD, SNCA, LGI1, NTRK2, GABRA1, PCDH8, ATP2B2, SYT13, CAMK4, APBA1, APBA3, APBA2",557,570,17152,5.456398626728401,3.617986200269622e-42,1.808993100134811e-42,1.6907310676358533e-42
1,GOTERM_BP_5,GO:0099537~trans-synaptic signaling,101,13.430851063829788,1.188563140693043e-45,"CLSTN2, RIMS2, RPH3A, RIMS1, CRHBP, RIMS3, KIF5B, PPFIA3, CHRNB2, UNC13C, CHRNB3, PRKCE, TMOD2, SHISA9, PDYN, MAPK8IP2, GABRG2, SHISA6, GABRG1, STX1B, ADCYAP1, GRIA2, CHRNA3, CHRNA4, CHRNA6, CACNA1B, SLC1A3, CACNA1A, LIN7A, CPLX1, CPLX3, NEUROD2, KCNMB4, KCNN2, GRIA4, SYT4, PTPRN2, SYT1, BDNF, HTR1D, NETO2, GRIN2B, SYT7, DLG2, FGF14, NMU, CNIH3, FGF12, GABRB3, GABRB2, KCNC4, RASGRF1, ICA1, CELF4, GRIK1, SLC6A1, GRM1, JPH4, TRIM9, GRM5, CALB1, PCLO, JPH3, NETO1, LRRTM1, NCS1, KIF1B, SYN3, SYN2, MMP9, ETV5, SYN1, GIP, KCNMA1, MAPT, NAT8L, RAPGEF4, SLC24A2, NAPB, STAU2, NRXN1, NRXN3, SEZ6, OPRL1, RASD2, GLRA1, GLRA2, GLRA3, SLITRK5, GABRD, SNCA, LGI1, NTRK2, GABRA1, PCDH8, ATP2B2, SYT13, CAMK4, APBA1, APBA3, APBA2",557,570,17152,5.456398626728401,3.617986200269622e-42,1.808993100134811e-42,1.6907310676358533e-42
2,GOTERM_BP_5,GO:0007399~nervous system development,186,24.73404255319149,1.3881500136125075e-35,"CPNE9, PRRXL1, CLSTN2, MYT1L, HHIP, STMN3, KNDC1, FAIM2, IL1RAP, RORB, SLC8A1, RIMS2, GRIP1, RIMS1, SOX3, CDH4, ATCAY, SOX1, FGF9, TUBB3, KIF5C, KIF5B, PALM, KIF5A, ENPP2, TUNAR, BSN, MEN1, NANOS1, CHRNB2, EOMES, EPHA4, RBFOX1, DSCAM, EPHA8, APLP1, OMG, TBR1, UNC5C, ANK3, MAPK8IP2, ISL1, OLFM1, STX1B, ADCYAP1, PCP4, OLFM3, RUFY3, MEG3, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, HPCA, SLC1A3, CEND1, CACNA1A, AK4, SEZ6L2, NEUROD2, SCRT2, MOBP, FUT9, MBP, MAP4, NPTX1, SCN3B, ASIC2, CCDC141, SRGAP2, TFAP2A, TFAP2B, SYT4, TFAP2C, TFAP2D, LRRN3, SYT1, BDNF, CNTN6, BCL11A, DCLK2, DCLK1, SCRT1, GRIN3A, DLG2, DAB1, FGF14, ID4, CNTN4, C77370, SDK2, GABRB3, PCSK2, GABRB2, TENM1, CNTNAP2, NRSN1, TENM4, KCNC2, NCAN, RASGRF1, ELAVL4, GRIK1, HAPLN4, PTPRF, ELAVL3, GRM5, SHH, PCLO, LRRTM3, LRRTM4, LRRTM1, NCS1, NEFL, NEFM, FEZF2, NEFH, TIMP4, TRIM67, MYOC, ACTL6B, SLC32A1, DCC, APOA1, PAX6, PROX1, ADRA2C, SEZ6L, ETV5, DNM3, GAP43, KAT2A, NRG3, KCNMA1, DCX, B3GNT2, MAPT, ARHGEF7, INA, RAPGEF4, RNF165, STAU2, ATL1, NRXN1, SATB2, KCNA2, NRXN3, SEZ6, CRMP1, ASCL1, PTPRZ1, CBS, CHN1, TBX20, SPOCK1, SLITRK5, NCAM2, CTNNA2, BEND6, LGI1, LINGO2, NTRK2, LINGO1, SKOR1, IRX6, MBOAT7, NTRK3, GABRA4, LHFPL5, KLHL1, CABLES1, CCK, ATP2B2, MIAT, POU4F1, POU4F2, MYO16, TTLL7, RIT2, APC, VWC2, CBLN2, CDK5R1, CBLN1, 2900011O08RIK",557,2261,17152,2.533214438567641,4.225528641436473e-32,1.408509547145491e-32,1.316428929575861e-32
3,GOTERM_BP_5,GO:0030182~neuron differentiation,131,17.420212765957448,6.376380081468977e-30,"CPNE9, PRRXL1, STMN3, KNDC1, FAIM2, IL1RAP, RORB, RIMS2, GRIP1, RIMS1, SOX3, CDH4, ATCAY, SOX1, TUBB3, KIF5C, KIF5B, PALM, KIF5A, TUNAR, NANOS1, CHRNB2, EOMES, EPHA4, DSCAM, EPHA8, OMG, TBR1, UNC5C, ANK3, MAPK8IP2, ISL1, OLFM1, STX1B, ADCYAP1, PCP4, OLFM3, RUFY3, MEG3, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, SLC1A3, CEND1, CACNA1A, NEUROD2, MAP4, NPTX1, SRGAP2, TFAP2A, SYT4, TFAP2C, SYT1, BDNF, CNTN6, BCL11A, DCLK2, DCLK1, GRIN3A, DLG2, DAB1, ID4, CNTN4, SDK2, GABRB3, GABRB2, TENM1, CNTNAP2, TENM4, NCAN, RASGRF1, ELAVL4, PTPRF, SHH, NCS1, NEFL, NEFM, FEZF2, NEFH, TRIM67, MYOC, DCC, APOA1, PAX6, PROX1, ADRA2C, ETV5, DNM3, GAP43, KCNMA1, DCX, B3GNT2, MAPT, RAPGEF4, RNF165, STAU2, ATL1, NRXN1, SATB2, SEZ6, CRMP1, ASCL1, PTPRZ1, CHN1, TBX20, SPOCK1, SLITRK5, NCAM2, CTNNA2, BEND6, LGI1, NTRK2, LINGO1, SKOR1, IRX6, NTRK3, LHFPL5, KLHL1, CCK, ATP2B2, MIAT, POU4F1, POU4F2, MYO16, RIT2, APC, VWC2, CDK5R1, CBLN1",557,1379,17152,2.9252743447167893,1.940970096799156e-26,4.85242524199789e-27,4.5352003329448086e-27
4,GOTERM_BP_5,GO:0048666~neuron development,112,14.893617021276595,3.944863068893076e-28,"CPNE9, PRRXL1, STMN3, KNDC1, IL1RAP, RORB, RIMS2, GRIP1, RIMS1, SOX3, CDH4, ATCAY, SOX1, TUBB3, KIF5C, KIF5B, PALM, KIF5A, NANOS1, CHRNB2, EPHA4, DSCAM, EPHA8, OMG, TBR1, UNC5C, ANK3, MAPK8IP2, ISL1, OLFM1, STX1B, ADCYAP1, PCP4, OLFM3, RUFY3, MEG3, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, SLC1A3, CACNA1A, NEUROD2, MAP4, NPTX1, SRGAP2, TFAP2A, SYT4, SYT1, BDNF, BCL11A, DCLK2, DCLK1, GRIN3A, DLG2, DAB1, CNTN4, GABRB3, GABRB2, TENM1, CNTNAP2, TENM4, NCAN, RASGRF1, ELAVL4, PTPRF, SHH, NEFL, NEFM, FEZF2, NEFH, TRIM67, MYOC, DCC, APOA1, PAX6, DNM3, GAP43, DCX, B3GNT2, MAPT, RAPGEF4, RNF165, STAU2, ATL1, NRXN1, SEZ6, CRMP1, ASCL1, PTPRZ1, CHN1, SPOCK1, SLITRK5, NCAM2, CTNNA2, LGI1, NTRK2, LINGO1, SKOR1, NTRK3, LHFPL5, KLHL1, CCK, ATP2B2, MIAT, POU4F1, POU4F2, MYO16, RIT2, APC, CDK5R1",557,1092,17152,3.1583114671085943,1.2008163181710522e-24,2.401632636342104e-25,2.24462708620016e-25
5,GOTERM_BP_5,GO:0022008~neurogenesis,140,18.617021276595743,2.0021044236213225e-27,"CPNE9, PRRXL1, HHIP, STMN3, KNDC1, FAIM2, IL1RAP, RORB, RIMS2, GRIP1, RIMS1, SOX3, CDH4, ATCAY, SOX1, TUBB3, KIF5C, KIF5B, PALM, KIF5A, ENPP2, TUNAR, NANOS1, CHRNB2, EOMES, EPHA4, DSCAM, EPHA8, OMG, TBR1, UNC5C, ANK3, MAPK8IP2, ISL1, OLFM1, STX1B, ADCYAP1, PCP4, OLFM3, RUFY3, MEG3, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, SLC1A3, CEND1, CACNA1A, NEUROD2, SCRT2, MAP4, NPTX1, SRGAP2, TFAP2A, SYT4, TFAP2C, SYT1, BDNF, CNTN6, BCL11A, DCLK2, DCLK1, SCRT1, GRIN3A, DLG2, DAB1, ID4, CNTN4, SDK2, GABRB3, GABRB2, TENM1, CNTNAP2, TENM4, NCAN, RASGRF1, ELAVL4, PTPRF, GRM5, SHH, NCS1, NEFL, NEFM, FEZF2, NEFH, TRIM67, MYOC, DCC, APOA1, PAX6, PROX1, ADRA2C, ETV5, DNM3, GAP43, NRG3, KCNMA1, DCX, B3GNT2, MAPT, ARHGEF7, RAPGEF4, RNF165, STAU2, ATL1, NRXN1, SATB2, SEZ6, CRMP1, ASCL1, PTPRZ1, CHN1, TBX20, SPOCK1, SLITRK5, NCAM2, CTNNA2, BEND6, LGI1, NTRK2, LINGO1, SKOR1, IRX6, MBOAT7, NTRK3, LHFPL5, KLHL1, CCK, ATP2B2, MIAT, POU4F1, POU4F2, MYO16, RIT2, APC, VWC2, CDK5R1, CBLN1, 2900011O08RIK",557,1638,17152,2.631926222590496,6.094405865503307e-24,1.0157343109172177e-24,9.493311808671105e-25
6,GOTERM_BP_5,GO:0050804~modulation of synaptic transmission,59,7.845744680851063,2.169697959266976e-26,"CLSTN2, KCNC4, RASGRF1, ICA1, CELF4, GRIK1, SLC6A1, GRM1, RIMS2, JPH4, RIMS1, GRM5, CALB1, RIMS3, JPH3, NETO1, KIF5B, LRRTM1, NCS1, PPFIA3, CHRNB2, UNC13C, PRKCE, MAPK8IP2, SHISA9, MMP9, SYN1, GIP, SHISA6, STX1B, ADCYAP1, MAPT, NAT8L, RAPGEF4, SLC24A2, NAPB, GRIA2, CHRNA3, STAU2, NRXN1, CACNA1B, SLC1A3, CACNA1A, CPLX3, NEUROD2, KCNN2, SNCA, GRIA4, LGI1, NTRK2, SYT4, SYT1, BDNF, ATP2B2, NETO2, GRIN2B, SYT7, FGF14, NMU",557,332,17152,5.4723453959464425,6.604560588008674e-23,9.435086554298107e-24,8.818272420163639e-24
7,GOTERM_BP_5,GO:0031175~neuron projection development,92,12.23404255319149,3.9780740364709815e-22,"CPNE9, PRRXL1, CNTNAP2, NCAN, RASGRF1, ELAVL4, STMN3, KNDC1, IL1RAP, PTPRF, RIMS2, GRIP1, RIMS1, CDH4, SHH, ATCAY, TUBB3, KIF5C, KIF5B, PALM, KIF5A, NEFL, NEFM, FEZF2, NEFH, TRIM67, CHRNB2, EPHA4, MYOC, DSCAM, EPHA8, DCC, OMG, APOA1, PAX6, UNC5C, TBR1, ANK3, MAPK8IP2, ISL1, DNM3, STX1B, OLFM1, ADCYAP1, GAP43, PCP4, RUFY3, DCX, B3GNT2, MAPT, RAPGEF4, RNF165, MEG3, SPTBN4, NDRG4, CHRNA3, NRN1, UGT8A, STAU2, ATL1, SEZ6, CRMP1, CACNA1A, PTPRZ1, CHN1, SPOCK1, SLITRK5, NCAM2, MAP4, CTNNA2, NPTX1, SRGAP2, LGI1, LINGO1, NTRK2, SYT4, SYT1, BDNF, BCL11A, NTRK3, KLHL1, CCK, POU4F1, POU4F2, MYO16, DCLK1, GRIN3A, RIT2, DAB1, APC, CNTN4, CDK5R1",557,921,17152,3.0760101910927355,1.2109257367017669e-18,1.5136571708772084e-19,1.414702579219993e-19
8,GOTERM_BP_5,GO:0048812~neuron projection morphogenesis,67,8.909574468085106,1.009449228202974e-19,"CPNE9, PRRXL1, NCAN, ELAVL4, PTPRF, RIMS2, RIMS1, CDH4, SHH, TUBB3, KIF5C, KIF5B, KIF5A, NEFL, NEFM, FEZF2, NEFH, CHRNB2, EPHA4, DSCAM, EPHA8, DCC, OMG, PAX6, UNC5C, TBR1, ANK3, MAPK8IP2, ISL1, DNM3, OLFM1, GAP43, RUFY3, DCX, B3GNT2, MAPT, RNF165, MEG3, SPTBN4, NRN1, UGT8A, STAU2, ATL1, CRMP1, CACNA1A, PTPRZ1, CHN1, SLITRK5, CTNNA2, NPTX1, SRGAP2, LGI1, LINGO1, NTRK2, SYT4, SYT1, BDNF, BCL11A, NTRK3, CCK, POU4F2, MYO16, DCLK1, DAB1, APC, CNTN4, CDK5R1",557,570,17152,3.619591168225771,3.072763450649853e-16,3.4141816118331705e-17,3.1909811713749565e-17
9,GOTERM_BP_5,GO:0006811~ion transport,110,14.627659574468083,1.6181994292418182e-19,"AQP4, SLC8A1, SLC4A5, CRHBP, UBASH3B, KIF5B, SLC16A8, SCN1A, CHRNB2, CHRNB3, ATP6V1G2, PRKCE, CACNA2D3, ANK3, SHISA9, ATP1B1, MAPK8IP2, ANK1, GABRG2, GABRG1, ADCYAP1, SLC5A9, KCNQ2, ATF4, SPTBN4, GRIA2, CHRNA3, CHRNA4, CHRNA6, CACNA1B, SLC1A3, CACNA1A, SLC30A10, CACNA1E, KCNMB4, KCNN2, SCN3B, ASIC2, ASIC3, GRIA3, GRIA4, SYT4, BDNF, HTR1D, NETO2, GRIN2B, GRIN3A, FGF14, FXYD2, FXYD7, CNIH3, FGF12, MCU, GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, RASGRF1, SLC7A14, GRIK1, SLC6A1, JPH4, PANX2, GABRR1, KCNT1, JPH3, SLC32A1, KCND2, KCNAB2, KCNAB3, MMP9, CLDN10, KCNMA1, SCN4B, RAPGEF3, SLC24A2, OCA2, NRXN1, KCNA2, OPRL1, AKAP6, ADD2, GLRA1, GLRA2, CNNM1, GLRA3, SLC17A6, CACNG2, GABRD, CACNG3, CACNG4, KCNJ3, SNCA, CACNG5, GABRA2, NTRK2, GABRA1, KCNJ5, KCNIP1, KCNJ9, GABRA4, KCNIP4, LHFPL5, CCK, ATP2B2, FAM155A, KCNS2, APBA1, VIP",557,1354,17152,2.5016905823293705,4.925799062612093e-16,4.925799062612094e-17,4.603777376192972e-17
