,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_CC_5,GO:0030424~axon,98,13.031914893617024,8.98336812718915e-40,"ITSN1, STMN3, CRHBP, ATCAY, TUBB3, KIF5B, PALM, KIF5A, KIF21A, BSN, SCN1A, UNC13C, EPHA4, PDGFRA, DSCAM, ANK3, PDYN, ANK1, GABRG2, ERMN, MAPK8IP1, OLFM1, ADCYAP1, PCP4, RUFY3, KCNQ2, PGR, PVALB, SPTBN4, GRIA2, HPCA, CACNA1B, CPLX1, MBP, SCN3A, GRIA3, GRIA4, SYT4, PTPRN2, SYT1, BDNF, GRIN2B, SYT7, DLG2, NMU, GABRB3, CNTNAP2, KCNC1, KCNC2, KCNC4, GRIK1, SLC6A1, GRM1, CALB2, SHH, SEPT6, CALB1, PCLO, LRRTM1, NCS1, NEFL, NEFM, KIF1B, KIF1A, NEFH, MYOC, SLC32A1, DCC, KCNAB2, ADRA2C, SYN2, SYN1, DNM3, GAP43, KCNMA1, VAMP1, MAPT, RAPGEF3, RAPGEF4, DDC, STAU2, ATL1, NRXN1, KCNA2, PTPRZ1, SPOCK1, SLC17A6, NCAM2, CTNNA2, SNCA, GABRA2, NTRK2, GAD1, GAD2, CCK, TUBB4A, APC, CDK5R1",543,570,15239,4.825117120609997,4.0065821847263606e-37,4.0065821847263606e-37,3.368763047695931e-37
1,GOTERM_CC_5,GO:0043025~neuronal cell body,93,12.367021276595745,9.456354022195816e-32,"PCSK2, NRSN2, NRSN1, KCNC1, KCNC2, KCNC4, RASGRF1, ELAVL4, KNDC1, GRIK1, PTPRF, GRM1, GRIP1, CRHBP, SHH, CALB1, PCLO, TUBB3, KIF5A, RESP18, NEFM, KIF1A, BSN, RGS8, NEFH, SCN1A, EPHA4, RBFOX3, KCND2, SEZ6L, PDYN, MAPK8IP2, ERMN, GIP, PCP2, OLFM1, RUFY3, KCNMA1, PGR, ARHGEF7, PVALB, RAPGEF3, RAPGEF4, SPTBN4, GRIA2, DDC, CHRNA3, PDE1C, KLHL14, CHRNA4, STAU2, NRXN1, HPCA, KCNA2, SEZ6, CACNA1B, CRMP1, SLC1A3, CACNA1A, ASCL1, SEZ6L2, CACNA1E, CPLX1, GLRA1, GLRA3, PTPRZ1, MBP, KCNN2, ASIC2, SCN3A, GRIA3, GRIA4, GABRA2, NTRK2, SYT4, SKOR1, KCNIP1, BDNF, KCNIP4, KLHL1, CCK, ATP2B2, TUBB4A, SYT7, MAPK10, TTLL7, NELL2, GRIN3A, DLG2, DAB1, APC, VIP, CDK5R1",543,639,15239,4.084498396147295,4.2175338938993335e-29,2.1087669469496668e-29,1.7730663791617156e-29
2,GOTERM_CC_5,GO:0097060~synaptic membrane,64,8.51063829787234,5.0684932257553335e-31,"GABRB3, GABRB2, CLSTN2, KCNC2, FAIM2, GRIK1, GRM1, GRIP1, RIMS1, GABRR1, NETO1, LRRTM3, LRRTM4, LRRTM1, PALM, NCS1, SH2D5, ANKS1B, CHRNB2, UNC13C, EPHA4, CHRNB3, KCND2, ANK3, SHISA9, ANK1, GABRG2, GABRG1, SEPT3, KCTD8, STX1B, OLFM1, KCNMA1, GRIA2, CHRNA3, CHRNA4, NRXN1, CHRNA6, KCNA2, NRXN3, LIN7A, GLRA1, GLRA2, GLRA3, PTPRZ1, SRGAP2, GABRD, GRIA3, CACNG5, GRIA4, GABRA2, NTRK2, GABRA1, SYT1, GABRA4, IQSEC3, PCDH8, GAD2, GRIN2B, SYT7, GRIN3A, DLG2, CNIH3, CBLN1",543,302,15239,5.94743453709463,2.260547978686878e-28,7.53515992895626e-29,6.335616532194166e-29
3,GOTERM_CC_5,GO:0034702~ion channel complex,60,7.978723404255319,1.606626711983174e-30,"GABRB3, GABRB2, CNTNAP2, KCNC1, KCNC2, KCNC4, GRIK1, GABRR1, KCNT1, LRRTM4, SCN1A, CHRNB2, CHRNB3, KCND2, CACNA2D3, KCNAB2, SHISA9, GABRG2, SHISA6, GABRG1, OLFM1, OLFM3, KCNMA1, KCNQ2, SCN4B, GRIA2, CHRNA3, NRN1, CHRNA4, CHRNA6, KCNA2, CACNA1B, CACNA1A, AKAP6, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, CACNG2, SCN3B, SCN3A, GABRD, CACNG3, CACNG4, GRIA3, CACNG5, GRIA4, GABRA2, GABRA1, KCNIP1, GABRA4, KCNIP4, GRIN2B, GRIN3A, DLG2, KCNS2, VWC2, CNIH3, MCU",543,267,15239,6.306619488070851,7.1655551354449555e-28,1.7913887838612389e-28,1.5062125424842258e-28
4,GOTERM_CC_5,GO:1902495~transmembrane transporter complex,62,8.24468085106383,6.464946261834906e-30,"GABRB3, GABRB2, CNTNAP2, KCNC1, KCNC2, KCNC4, GRIK1, GABRR1, KCNT1, LRRTM4, SCN1A, CHRNB2, CHRNB3, KCND2, CACNA2D3, KCNAB2, ATP1B1, SHISA9, GABRG2, SHISA6, GABRG1, OLFM1, OLFM3, KCNMA1, KCNQ2, SCN4B, GRIA2, CHRNA3, NRN1, CHRNA4, CHRNA6, KCNA2, CACNA1B, CACNA1A, AKAP6, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, CACNG2, SCN3B, SCN3A, GABRD, CACNG3, CACNG4, GRIA3, CACNG5, GRIA4, GABRA2, GABRA1, KCNIP1, GABRA4, KCNIP4, GRIN2B, GRIN3A, DLG2, KCNS2, FXYD2, VWC2, CNIH3, MCU",543,294,15239,5.9183548189073045,2.883366032778368e-27,5.766732065556735e-28,4.848709696376179e-28
5,GOTERM_CC_5,GO:0033267~axon part,63,8.377659574468085,1.0602804809208749e-29,"GABRB3, CNTNAP2, KCNC1, KCNC2, KCNC4, ITSN1, GRIK1, CALB2, CRHBP, SEPT6, CALB1, PCLO, KIF5B, NEFL, KIF1B, SCN1A, UNC13C, EPHA4, MYOC, SLC32A1, ANK3, KCNAB2, ADRA2C, PDYN, ANK1, SYN2, ERMN, SYN1, MAPK8IP1, OLFM1, ADCYAP1, KCNMA1, KCNQ2, VAMP1, PGR, MAPT, PVALB, RAPGEF3, RAPGEF4, SPTBN4, GRIA2, NRXN1, KCNA2, CACNA1B, CPLX1, SPOCK1, SLC17A6, MBP, GRIA3, SNCA, GRIA4, NTRK2, PTPRN2, SYT1, BDNF, GAD1, CCK, TUBB4A, GRIN2B, SYT7, DLG2, APC, NMU",543,307,15239,5.759155613943527,4.728850944907102e-27,7.881418241511835e-28,6.626753005755467e-28
6,GOTERM_CC_5,GO:0030425~dendrite,89,11.835106382978724,5.264039247398824e-29,"PCSK2, KCNC1, KCNC2, KCNC4, RASGRF1, ICA1, ELAVL4, KNDC1, GRIK1, SLC8A1, GRM1, LAMP5, JPH4, TRIM9, GRIP1, CRHBP, GRM5, SHH, CALB1, ATCAY, PCLO, TUBB3, PALM, NCS1, KIF21A, BSN, RGS8, RGS7, ANKS1B, EPHA4, SLC32A1, KCND2, FBXO2, ANK3, PDYN, SYN1, MAPK8IP1, DNM3, RUFY3, KCNMA1, DCX, PGR, MAPT, RAPGEF4, GRIA2, CHRNA3, CHRNA4, STAU2, HPCA, KCNA2, SEZ6, CACNA1B, CRMP1, SLC1A3, CACNA1A, ADCY2, CPLX1, GLRA1, GLRA3, PTPRZ1, KCNN2, ASIC2, SRGAP2, GRIA3, GRIA4, GABRA2, NTRK2, SYT4, SKOR1, KCNIP1, BDNF, HTR1D, KCNIP4, PCDH8, KLHL1, RAB27A, CCK, ATP2B2, GRIN2B, SYT7, GNG13, TTLL7, NELL2, DLG2, APC, APBA1, RGS11, CNIH3, CDK5R1",543,637,15239,3.921093639325683,2.3477615043398754e-26,3.3539450061998216e-27,2.8200210253922267e-27
7,GOTERM_CC_5,GO:0045211~postsynaptic membrane,51,6.781914893617021,3.3758373801846e-26,"GABRB3, GABRB2, CLSTN2, KCNC2, FAIM2, GRIK1, GRM1, GRIP1, GABRR1, NETO1, LRRTM3, LRRTM4, LRRTM1, NCS1, SH2D5, ANKS1B, CHRNB2, EPHA4, CHRNB3, KCND2, ANK3, ANK1, GABRG2, GABRG1, KCTD8, KCNMA1, GRIA2, CHRNA3, CHRNA4, CHRNA6, LIN7A, GLRA1, GLRA2, GLRA3, PTPRZ1, SRGAP2, GABRD, GRIA3, CACNG5, GRIA4, GABRA2, NTRK2, GABRA1, GABRA4, IQSEC3, PCDH8, GRIN2B, GRIN3A, DLG2, CNIH3, CBLN1",543,224,15239,6.389675414364641,1.5056234715623317e-23,1.8820293394529142e-24,1.5824237719615311e-24
8,GOTERM_CC_5,GO:0044306~neuron projection terminus,45,5.98404255319149,1.0184658619348308e-22,"GABRB3, GRIA2, KCNC2, KCNC4, KCNA2, ITSN1, CACNA1B, GRIK1, CPLX1, CALB2, CRHBP, SEPT6, CALB1, PCLO, BSN, GRIA3, SNCA, GRIA4, UNC13C, EPHA4, NTRK2, SYT4, PTPRN2, SLC32A1, SYT1, BDNF, GAD1, CCK, KCNAB2, ADRA2C, PDYN, GRIN2B, SYN2, SYN1, SYT7, ADCYAP1, APC, KCNMA1, NMU, VAMP1, PGR, SCRG1, PVALB, RAPGEF3, RAPGEF4",543,202,15239,6.25198293309994,4.5423577442293464e-20,5.047064160254829e-21,4.243607758061795e-21
9,GOTERM_CC_5,GO:0014069~postsynaptic density,46,6.117021276595745,1.6471609505134737e-20,"GRIA2, CHRNA3, CLSTN2, GRIK1, LIN7A, CABP1, GRM1, ADD2, RIMS1, GRM5, PCLO, NETO1, NCS1, PALM, NEFM, MAP4, CTNNA2, BSN, SRGAP2, NEFH, SH2D5, GRIA3, GRIA4, ANKS1B, CACNG5, CAP2, EPHA4, NTRK2, DMTN, KCND2, BCL11A, NETO2, KCNAB2, SYN3, MAPK8IP2, GRIN2B, SYN2, SYN1, DCLK1, DNM3, MAPK10, GAP43, DAB1, DLG2, MAPT, CDK5R1",543,239,15239,5.401527235180348,7.346337839290092e-18,6.678488944809175e-19,5.615321422205026e-19
