,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_MF_ALL,GO:0022836~gated channel activity,59,7.845744680851063,1.31730208267774e-27,"GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, GRIK1, GABRR1, KCNT1, JPH3, NCS1, SCN1A, CHRNB2, CHRNB3, KCND2, CACNA2D3, KCNAB2, KCNAB3, GABRG2, GABRG1, ANO3, KCNMA1, KCNQ2, SCN4B, GRIA2, CHRNA3, CHRNA4, CHRNA6, KCNA2, CACNA1B, CACNA1A, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, KCNN2, CACNG2, SCN3B, ASIC2, SCN3A, GABRD, ASIC3, CACNG3, CACNG4, GRIA3, KCNJ3, CACNG5, GRIA4, GABRA2, KCNJ5, GABRA1, KCNIP1, KCNJ9, GABRA4, KCNIP4, GRIN2B, FAM155A, GRIN3A, KCNS2",578,309,17446,5.763171744997257,1.3159847805950623e-24,1.3159847805950623e-24,1.2211390306422651e-24
1,GOTERM_MF_ALL,GO:0022838~substrate-specific channel activity,64,8.51063829787234,1.6381997862691206e-24,"GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, AQP4, GRIK1, GABRR1, KCNT1, JPH3, NCS1, SCN1A, CHRNB2, CHRNB3, KCND2, CACNA2D3, KCNAB2, KCNAB3, GABRG2, GABRG1, ANO3, KCNMA1, KCNQ2, SCN4B, SLC24A2, GRIA2, CHRNA3, CHRNA4, CHRNA6, KCNA2, CACNA1B, CACNA1A, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, KCNN2, CACNG2, SCN3B, ASIC2, SCN3A, GABRD, ASIC3, CACNG3, CACNG4, GRIA3, KCNJ3, CACNG5, GRIA4, GABRA2, KCNJ5, GABRA1, KCNIP1, KCNJ9, GABRA4, KCNIP4, GRIN2B, FAM155A, GRIN3A, KCNS2, FXYD2, FXYD7, MCU",578,417,17446,4.632462887821231,1.6365615864828517e-21,5.520747636178125e-22,5.122855914651773e-22
2,GOTERM_MF_ALL,GO:0005216~ion channel activity,63,8.377659574468085,1.657882173026464e-24,"GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, GRIK1, GABRR1, KCNT1, JPH3, NCS1, SCN1A, CHRNB2, CHRNB3, KCND2, CACNA2D3, KCNAB2, KCNAB3, GABRG2, GABRG1, ANO3, KCNMA1, KCNQ2, SCN4B, SLC24A2, GRIA2, CHRNA3, CHRNA4, CHRNA6, KCNA2, CACNA1B, CACNA1A, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, KCNN2, CACNG2, SCN3B, ASIC2, SCN3A, GABRD, ASIC3, CACNG3, CACNG4, GRIA3, KCNJ3, CACNG5, GRIA4, GABRA2, KCNJ5, GABRA1, KCNIP1, KCNJ9, GABRA4, KCNIP4, GRIN2B, FAM155A, GRIN3A, KCNS2, FXYD2, FXYD7, MCU",578,404,17446,4.706815923806913,1.6562242908534376e-21,5.520747636178125e-22,5.122855914651773e-22
3,GOTERM_MF_ALL,GO:0015267~channel activity,65,8.643617021276597,1.5576087349121982e-23,"GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, AQP4, GRIK1, PANX2, GABRR1, KCNT1, JPH3, NCS1, SCN1A, CHRNB2, CHRNB3, KCND2, CACNA2D3, KCNAB2, KCNAB3, GABRG2, GABRG1, ANO3, KCNMA1, KCNQ2, SCN4B, SLC24A2, GRIA2, CHRNA3, CHRNA4, CHRNA6, KCNA2, CACNA1B, CACNA1A, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, KCNN2, CACNG2, SCN3B, ASIC2, SCN3A, GABRD, ASIC3, CACNG3, CACNG4, GRIA3, KCNJ3, CACNG5, GRIA4, GABRA2, KCNJ5, GABRA1, KCNIP1, KCNJ9, GABRA4, KCNIP4, GRIN2B, FAM155A, GRIN3A, KCNS2, FXYD2, FXYD7, MCU",578,448,17446,4.379286641127039,1.556051126177286e-20,3.1121022523545722e-21,2.887806594527216e-21
4,GOTERM_MF_ALL,GO:0022803~passive transmembrane transporter activity,65,8.643617021276597,1.5576087349121982e-23,"GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, AQP4, GRIK1, PANX2, GABRR1, KCNT1, JPH3, NCS1, SCN1A, CHRNB2, CHRNB3, KCND2, CACNA2D3, KCNAB2, KCNAB3, GABRG2, GABRG1, ANO3, KCNMA1, KCNQ2, SCN4B, SLC24A2, GRIA2, CHRNA3, CHRNA4, CHRNA6, KCNA2, CACNA1B, CACNA1A, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, KCNN2, CACNG2, SCN3B, ASIC2, SCN3A, GABRD, ASIC3, CACNG3, CACNG4, GRIA3, KCNJ3, CACNG5, GRIA4, GABRA2, KCNJ5, GABRA1, KCNIP1, KCNJ9, GABRA4, KCNIP4, GRIN2B, FAM155A, GRIN3A, KCNS2, FXYD2, FXYD7, MCU",578,448,17446,4.379286641127039,1.556051126177286e-20,3.1121022523545722e-21,2.887806594527216e-21
5,GOTERM_MF_ALL,GO:0005261~cation channel activity,45,5.98404255319149,1.9394124703253096e-17,"SLC24A2, CHRNA3, KCNC1, CHRNA4, KCNC2, KCNC4, KCNA2, CHRNA6, CACNA1B, CACNA1A, GRIK1, CACNA1E, KCNT1, JPH3, NCS1, KCNMB4, KCNN2, CACNG2, SCN3B, ASIC2, ASIC3, CACNG3, SCN3A, CACNG4, KCNJ3, SCN1A, CACNG5, CHRNB2, KCNJ5, CHRNB3, KCNIP1, KCND2, KCNJ9, KCNIP4, CACNA2D3, KCNAB2, KCNAB3, GRIN2B, FAM155A, GRIN3A, KCNS2, KCNMA1, KCNQ2, SCN4B, MCU",578,291,17446,4.667534691256733,1.9374730578549844e-14,3.2291217630916405e-15,2.9963922666526038e-15
6,GOTERM_MF_ALL,GO:0015075~ion transmembrane transporter activity,75,9.97340425531915,4.354939608319897e-17,"GABRB3, GABRB2, KCNC1, KCNC2, KCNC4, GRIK1, SLC6A1, SLC8A1, SLC4A5, GABRR1, KCNT1, JPH3, NCS1, SLC16A8, SCN1A, CHRNB2, CHRNB3, ATP6V1G2, SLC32A1, KCND2, CACNA2D3, KCNAB2, ATP1B1, KCNAB3, GABRG2, GABRG1, ANO3, KCNMA1, KCNQ2, SCN4B, SLC24A2, GRIA2, CHRNA3, CHRNA4, CHRNA6, KCNA2, CACNA1B, SLC1A3, CACNA1A, SLC30A10, CACNA1E, GLRA1, GLRA2, GLRA3, KCNMB4, SLC17A6, KCNN2, CACNG2, SCN3B, ASIC2, SCN3A, GABRD, ASIC3, CACNG3, CACNG4, GRIA3, KCNJ3, CACNG5, GRIA4, GABRA2, KCNJ5, GABRA1, KCNIP1, KCNJ9, GABRA4, KCNIP4, ATP2B3, ATP2B2, GRIN2B, FAM155A, GRIN3A, KCNS2, FXYD2, FXYD7, MCU",578,764,17446,2.9630292215438683,4.350584668711576e-14,6.215120955302253e-15,5.767184309875063e-15
7,GOTERM_MF_ALL,GO:0005230~extracellular ligand-gated ion channel activity,23,3.0585106382978724,4.604692339101854e-16,"GABRB3, CHRNB2, GABRA2, GABRB2, GRIA2, GABRA1, CHRNA3, CHRNB3, CHRNA4, GABRA4, CHRNA6, GRIK1, GRIN2B, GABRG2, GABRG1, GLRA1, GABRR1, GLRA2, GLRA3, GRIN3A, GABRD, GRIA3, GRIA4",578,71,17446,9.777718212388518,4.436451206402126e-13,5.75010955845344e-14,5.3356872479342734e-14
8,GOTERM_MF_ALL,GO:0022834~ligand-gated channel activity,29,3.856382978723404,1.1174881116172772e-15,"GABRB3, GABRB2, GRIA2, CHRNA3, CHRNA4, CHRNA6, GRIK1, GLRA1, GABRR1, GLRA2, GLRA3, JPH3, ASIC2, GABRD, ASIC3, GRIA3, KCNJ3, GRIA4, CHRNB2, GABRA2, KCNJ5, GABRA1, CHRNB3, KCNJ9, GABRA4, GRIN2B, GABRG2, GABRG1, GRIN3A",578,128,17446,6.838424524221453,1.1091128016005314e-12,1.1163706235056602e-13,1.035911479469216e-13
9,GOTERM_MF_ALL,GO:0015276~ligand-gated ion channel activity,29,3.856382978723404,1.1174881116172772e-15,"GABRB3, GABRB2, GRIA2, CHRNA3, CHRNA4, CHRNA6, GRIK1, GLRA1, GABRR1, GLRA2, GLRA3, JPH3, ASIC2, GABRD, ASIC3, GRIA3, KCNJ3, GRIA4, CHRNB2, GABRA2, KCNJ5, GABRA1, CHRNB3, KCNJ9, GABRA4, GRIN2B, GABRG2, GABRG1, GRIN3A",578,128,17446,6.838424524221453,1.1091128016005314e-12,1.1163706235056602e-13,1.035911479469216e-13
