"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000175868","Calcb",-1.39544371938969,9.32357471559534e-07,0.0369828914668805
"ENSG00000127129","Edn2",-0.61727042053478,0.027851560244461,1
"ENSG00000041982.1","Tnc",-0.591845371183493,0.0846470192538335,1
"ENSG00000118194","Tnnt2",-0.559919897835533,0.100644651815766,1
"ENSG00000157551","Kcnj15",-0.550875835690608,0.10113746623915,1
"ENSG00000148346","Lcn2",-0.511153137330308,0.0443741253909629,1
"ENSG00000124882","Ereg",-0.484337037062562,0.155657827621246,1
"ENSG00000178031","Adamtsl1",-0.464886137599017,0.118001496113039,1
"ENSG00000168487","Bmp1",-0.442376411123678,0.137100378858816,1
"ENSG00000169245","Cxcl10",-0.436341820280839,0.144784011707637,1
"ENSG00000118194.2","Tnnt2",-0.435572156643918,0.206738198054859,1
"ENSG00000148677.1","Ankrd1",-0.432228558458301,0.248047137073698,1
"unknown.4464","5730559C18Rik",-0.429495611450229,0.123428883750614,1
"ENSG00000134917","Adamts8",-0.424954134868705,0.241646074579808,1
"unknown.1209","Apol9a",-0.420921397121305,0.170243905586418,1
"ENSG00000038427","Vcan",-0.412840926601514,0.118242031067062,1
"ENSG00000163661","Ptx3",-0.411942625355441,0.118242031067062,1
"ENSG00000189001","Sbsn",-0.405855290088823,0.159763377218946,1
"ENSG00000168546","Gfra2",-0.403734709758932,0.171566464193796,1
"ENSG00000163520","Fbln2",-0.400153806558337,0.188848422482562,1
"unknown.9209","C130033p17rik",-0.398712685850194,0.288785646664216,1
"ENSG00000086696","Hsd17b2",-0.397579739326565,0.183659083303666,1
"ENSG00000186007.2","Lemd1",-0.394088571104532,0.328433338760946,1
"ENSG00000057294.3","Pkp2",-0.393193784732287,0.218055400554499,1
"ENSG00000170961.1","Has2",-0.391443835387307,0.159763377218946,1
"ENSG00000111424.1","Vdr",-0.391112442280985,0.167053081227505,1
"unknown.5446","9330159M07Rik",-0.390739129302112,0.188848422482562,1
"ENSG00000163827.1","Lrrc2",-0.382683188126606,0.174207469478985,1
"ENSG00000038427.2","Vcan",-0.382481006793768,0.123776845442982,1
"ENSG00000134516.2","Dock2",-0.379230550502675,0.218055400554499,1
"unknown.6374","C79246",-0.37685024633772,0.266413833221733,1
"unknown.4340","Trim30d",-0.373752942596143,0.183659083303666,1
"unknown.5492","4930403D09Rik",-0.365387766313329,0.320294925275648,1
"ENSG00000125538","Il1b",-0.364136521239607,0.202926437997831,1
"unknown.7591","Gpr31b",-0.362971058684254,0.301873936401663,1
"ENSG00000163421","Prok2",-0.355688970051916,0.342472347801466,1
"unknown.6152","Gm10700",-0.347886588939411,0.188109739622552,1
"unknown.3985","9430012M22Rik",-0.347882820894565,0.349183223394928,1
"ENSG00000128342","Lif",-0.347754498357643,0.276015818665486,1
"ENSG00000086991","Nox4",-0.346956857646477,0.241433660209272,1
"ENSG00000039600","Sox30",-0.346592958383397,0.251323818324272,1
"ENSG00000140945.3","Cdh13",-0.346022676081736,0.308169716921589,1
"ENSG00000125266.2","Efnb2",-0.344968781722708,0.256444106813489,1
"ENSG00000124256.1","Zbp1",-0.344142160771328,0.304886998047196,1
"ENSG00000118194.1","Tnnt2",-0.343403061021374,0.381733995229572,1
"unknown.6358","AI120166",-0.340294333630823,0.276015818665486,1
"ENSG00000041982","Tnc",-0.339224099072303,0.121355536554511,1
"unknown.7400","Saa3",-0.339044552398039,0.227277065265944,1
"unknown.6790","D130062J21Rik",-0.338823036445015,0.26147123681093,1
"ENSG00000257017","Hp",-0.33837171982952,0.235205576266612,1
