"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000175868","Calcb",-1.39544371938969,9.32357471559534e-07,0.0369828914668805
"ENSG00000127129","Edn2",-0.61727042053478,0.027851560244461,1
"ENSG00000041982.1","Tnc",-0.591845371183493,0.0846470192538335,1
"ENSG00000118194","Tnnt2",-0.559919897835533,0.100644651815766,1
"ENSG00000157551","Kcnj15",-0.550875835690608,0.10113746623915,1
"ENSG00000148346","Lcn2",-0.511153137330308,0.0443741253909629,1
"ENSG00000124882","Ereg",-0.484337037062562,0.155657827621246,1
"ENSG00000178031","Adamtsl1",-0.464886137599017,0.118001496113039,1
"ENSG00000168487","Bmp1",-0.442376411123678,0.137100378858816,1
"ENSG00000169245","Cxcl10",-0.436341820280839,0.144784011707637,1
"ENSG00000118194.2","Tnnt2",-0.435572156643918,0.206738198054859,1
"ENSG00000148677.1","Ankrd1",-0.432228558458301,0.248047137073698,1
"unknown.4464","5730559C18Rik",-0.429495611450229,0.123428883750614,1
"ENSG00000134917","Adamts8",-0.424954134868705,0.241646074579808,1
"unknown.1209","Apol9a",-0.420921397121305,0.170243905586418,1
"ENSG00000038427","Vcan",-0.412840926601514,0.118242031067062,1
"ENSG00000163661","Ptx3",-0.411942625355441,0.118242031067062,1
"ENSG00000189001","Sbsn",-0.405855290088823,0.159763377218946,1
"ENSG00000168546","Gfra2",-0.403734709758932,0.171566464193796,1
"ENSG00000163520","Fbln2",-0.400153806558337,0.188848422482562,1
"unknown.9209","C130033p17rik",-0.398712685850194,0.288785646664216,1
"ENSG00000086696","Hsd17b2",-0.397579739326565,0.183659083303666,1
"ENSG00000186007.2","Lemd1",-0.394088571104532,0.328433338760946,1
"ENSG00000057294.3","Pkp2",-0.393193784732287,0.218055400554499,1
"ENSG00000170961.1","Has2",-0.391443835387307,0.159763377218946,1
"ENSG00000111424.1","Vdr",-0.391112442280985,0.167053081227505,1
"unknown.5446","9330159M07Rik",-0.390739129302112,0.188848422482562,1
"ENSG00000163827.1","Lrrc2",-0.382683188126606,0.174207469478985,1
"ENSG00000038427.2","Vcan",-0.382481006793768,0.123776845442982,1
"ENSG00000134516.2","Dock2",-0.379230550502675,0.218055400554499,1
"unknown.6374","C79246",-0.37685024633772,0.266413833221733,1
"unknown.4340","Trim30d",-0.373752942596143,0.183659083303666,1
"unknown.5492","4930403D09Rik",-0.365387766313329,0.320294925275648,1
"ENSG00000125538","Il1b",-0.364136521239607,0.202926437997831,1
"unknown.7591","Gpr31b",-0.362971058684254,0.301873936401663,1
"ENSG00000163421","Prok2",-0.355688970051916,0.342472347801466,1
"unknown.6152","Gm10700",-0.347886588939411,0.188109739622552,1
"unknown.3985","9430012M22Rik",-0.347882820894565,0.349183223394928,1
"ENSG00000128342","Lif",-0.347754498357643,0.276015818665486,1
"ENSG00000086991","Nox4",-0.346956857646477,0.241433660209272,1
"ENSG00000039600","Sox30",-0.346592958383397,0.251323818324272,1
"ENSG00000140945.3","Cdh13",-0.346022676081736,0.308169716921589,1
"ENSG00000125266.2","Efnb2",-0.344968781722708,0.256444106813489,1
"ENSG00000124256.1","Zbp1",-0.344142160771328,0.304886998047196,1
"ENSG00000118194.1","Tnnt2",-0.343403061021374,0.381733995229572,1
"unknown.6358","AI120166",-0.340294333630823,0.276015818665486,1
"ENSG00000041982","Tnc",-0.339224099072303,0.121355536554511,1
"unknown.7400","Saa3",-0.339044552398039,0.227277065265944,1
"unknown.6790","D130062J21Rik",-0.338823036445015,0.26147123681093,1
"ENSG00000257017","Hp",-0.33837171982952,0.235205576266612,1
"ENSG00000174697","Lep",-0.334315505264222,0.362033253104165,1
"unknown.1446","Trim34a",-0.332491682548275,0.463818798256563,1
"ENSG00000244242","Ifitm10",-0.330269514186521,0.231267845953911,1
"ENSG00000189001.1","Sbsn",-0.330263428129543,0.242925128491597,1
"unknown.2050","5830407E08Rik",-0.326564483737066,0.304886998047196,1
"ENSG00000162591","Megf6",-0.326457118394372,0.33183599101798,1
"ENSG00000138642.3","Herc6",-0.326387274642398,0.276015818665486,1
"ENSG00000147065.1","Msn",-0.322878943202695,0.34283482883185,1
"unknown.8805","Trim30a",-0.322551494645414,0.380000953359502,1
"unknown.8824","A230009B12Rik",-0.322193554587361,0.374152879497091,1
"unknown.2546","4930426I24Rik",-0.32175213465003,0.314308103412191,1
"ENSG00000160188","Rsph1",-0.321152137570144,0.348143035586114,1
"unknown.6350","Gm7609",-0.319576355774529,0.374175941153885,1
"unknown.422","Ccl21a",-0.314721688540409,0.304886998047196,1
"ENSG00000095596","Cyp26a1",-0.311234824766846,0.267184505420121,1
"ENSG00000102265","Timp1",-0.310912729959228,0.220547558058137,1
"ENSG00000106366","Serpine1",-0.3084643566288,0.238289607596343,1
"ENSG00000139117.1","Cpne8",-0.307757779999709,0.33740070998312,1
"unknown.6758","D4Ertd103e",-0.307153179782822,0.35570065962929,1
"ENSG00000006327.1","Tnfrsf12a",-0.306874689908334,0.271250580026445,1
"LRG_48","Cfi",-0.306609775004057,0.29423579701242,1
"ENSG00000161638.3","Itga5",-0.306554822584832,0.380000953359502,1
