"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000104722","Nefm",1.10375545972299,0.00030561305640795,1
"ENSG00000091664.1","Slc17a6",1.04415521470561,0.000110219805940277,1
"ENSG00000160460","Sptbn4",1.00725744165219,0.000258277500959441,1
"ENSG00000091664","Slc17a6",0.999520508766519,0.000570149314232185,1
"ENSG00000107165.1","Tyrp1",0.959782484784411,0.000396201900382256,1
"ENSG00000152192.1","Pou4f1",0.959592823707674,0.00148973632477144,1
"ENSG00000168314","Mobp",0.929922689814324,0.001600645947664,1
"ENSG00000151615","Pou4f2",0.922966939315145,0.000959246667732394,1
"unknown.1330","abParts",0.905212018393913,0.0013817051949867,1
"ENSG00000137766.1","Unc13c",0.903182272925218,0.000113580490751026,1
"ENSG00000137766","Unc13c",0.874738491044809,0.000533808616872139,1
"ENSG00000277586","Nefl",0.820757056274779,0.000580172363867378,1
"ENSG00000168314.1","Mobp",0.79958001509671,0.00202388597718567,1
"ENSG00000185664","Pmel",0.782085664381096,0.00492834672080008,1
"unknown.713","Car6",0.776115996864811,0.015232531358234,1
"ENSG00000211899.3","Ighm",0.773221472805032,0.00779986582365732,1
"ENSG00000277586.1","Nefl",0.773196659380088,0.000944363495247819,1
"unknown.1345","abParts",0.759541195314286,0.0108182292312795,1
"ENSG00000152192","Pou4f1",0.756628270831821,0.00133534022474411,1
"unknown.1751","abParts",0.749494126286023,0.0238202251478773,1
