"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000104722","Nefm",1.10375545972299,0.00030561305640795,1
"ENSG00000091664.1","Slc17a6",1.04415521470561,0.000110219805940277,1
"ENSG00000160460","Sptbn4",1.00725744165219,0.000258277500959441,1
"ENSG00000091664","Slc17a6",0.999520508766519,0.000570149314232185,1
"ENSG00000107165.1","Tyrp1",0.959782484784411,0.000396201900382256,1
"ENSG00000152192.1","Pou4f1",0.959592823707674,0.00148973632477144,1
"ENSG00000168314","Mobp",0.929922689814324,0.001600645947664,1
"ENSG00000151615","Pou4f2",0.922966939315145,0.000959246667732394,1
"unknown.1330","abParts",0.905212018393913,0.0013817051949867,1
"ENSG00000137766.1","Unc13c",0.903182272925218,0.000113580490751026,1
"ENSG00000137766","Unc13c",0.874738491044809,0.000533808616872139,1
"ENSG00000277586","Nefl",0.820757056274779,0.000580172363867378,1
"ENSG00000168314.1","Mobp",0.79958001509671,0.00202388597718567,1
"ENSG00000185664","Pmel",0.782085664381096,0.00492834672080008,1
"unknown.713","Car6",0.776115996864811,0.015232531358234,1
"ENSG00000211899.3","Ighm",0.773221472805032,0.00779986582365732,1
"ENSG00000277586.1","Nefl",0.773196659380088,0.000944363495247819,1
"unknown.1345","abParts",0.759541195314286,0.0108182292312795,1
"ENSG00000152192","Pou4f1",0.756628270831821,0.00133534022474411,1
"unknown.1751","abParts",0.749494126286023,0.0238202251478773,1
"ENSG00000102195.1","Gpr50",0.747918076677981,0.00814997214031072,1
"ENSG00000120215","Mlana",0.732864186355877,0.00418773150183357,1
"unknown.1703","abParts",0.725424399565924,0.0138365803109836,1
"ENSG00000107165.2","Tyrp1",0.700419404958763,0.00280290346378962,1
"ENSG00000185774.2","Kcnip4",0.68091777886387,0.0297670107321138,1
"ENSG00000185774","Kcnip4",0.676889737269526,0.0199008967168093,1
"unknown.5082","Gm2102",0.67453739422347,0.0196906540086918,1
"ENSG00000137766.2","Unc13c",0.674132068291894,0.0018260464102246,1
"ENSG00000089169.1","Rph3a",0.670382203665563,0.0249912861535353,1
"ENSG00000100285","Nefh",0.669433952218119,0.00548274484895966,1
"ENSG00000184408.3","Kcnd2",0.659750140656055,0.0210869540350624,1
"ENSG00000107165","Tyrp1",0.656527124970216,0.00440323231789611,1
"ENSG00000089169","Rph3a",0.642091735341113,0.00954368611523746,1
"ENSG00000168993","Cplx1",0.633838774265527,0.0141183684235812,1
"ENSG00000091428","Rapgef4",0.625846146115997,0.0260762455676571,1
"ENSG00000124766.4","Sox4",0.622476314780955,0.0747890767310975,1
"ENSG00000055732","Mcoln3",0.620873042257694,0.0417300968960429,1
"ENSG00000135903.2","Pax3",0.614057423602118,0.0375149255547528,1
"ENSG00000168993.2","Cplx1",0.608580915111026,0.0232170174455022,1
"ENSG00000147434.1","Chrna6",0.606777582641647,0.0329473929781887,1
"unknown.9566","Gm16532",0.598385159488669,0.027379821361276,1
"ENSG00000172137","Calb2",0.587854127456428,0.016099524702147,1
"ENSG00000184408.1","Kcnd2",0.57921779855779,0.0846470192538335,1
"ENSG00000114279","Fgf12",0.575429849723952,0.0291724601149327,1
"ENSG00000139330","Kera",0.572837223690085,0.124919266182925,1
"ENSG00000164089.1","Etnppl",0.569938744683601,0.0397513967998556,1
"ENSG00000148798.1","Ina",0.569111830009002,0.0549098538455262,1
"ENSG00000141404.1","Gnal",0.563591057192045,0.050443103772747,1
"ENSG00000177380","Ppfia3",0.561078800432642,0.0487256929665568,1
"ENSG00000124766.7","Sox4",0.553938468973411,0.0887834008626463,1
"ENSG00000163032","Vsnl1",0.541331834927502,0.0329484543129781,1
"unknown.2073","6720468P15Rik",0.540010994507551,0.10113746623915,1
"ENSG00000114279.1","Fgf12",0.53675440445932,0.0670115705873722,1
"unknown.5670","BC030500",0.534022406978761,0.0450527567339005,1
"ENSG00000196353","Cpne4",0.529861651676531,0.110016673023745,1
"ENSG00000077498.2","Tyr",0.52831339012738,0.0468511389934565,1
"unknown.4481","B230343J05Rik",0.525863374976065,0.0448865002447623,1
"ENSG00000135903","Pax3",0.512183193394084,0.0886273302915297,1
"ENSG00000152128","Tmem163",0.509737587749833,0.103770697970069,1
"unknown.4552","E130309F12Rik",0.509606804614702,0.0854117902933568,1
"ENSG00000168243","Gng4",0.509573601847872,0.0965664130887704,1
"ENSG00000104413","Esrp1",0.509418595693255,0.0965664130887704,1
"unknown.5525","C030017B01Rik",0.508343018767952,0.0918389776359025,1
"ENSG00000107105.2","Elavl2",0.507425261097955,0.0428807639980162,1
"ENSG00000168243.2","Gng4",0.507287983875243,0.0746938283158287,1
"ENSG00000091428.1","Rapgef4",0.499688341003938,0.0299522970818518,1
"ENSG00000107105","Elavl2",0.489314502190048,0.0982439026416189,1
"ENSG00000165973","Nell1",0.48906477535707,0.0870905022663151,1
"ENSG00000130540.1","Sult4a1",0.488234139527289,0.0578952172580036,1
"ENSG00000177181","Rimkla",0.485236112817017,0.0798357073849749,1
"ENSG00000164175","Slc45a2",0.482236974760892,0.200679512738068,1
"ENSG00000077498.1","Tyr",0.480729877692765,0.117371482473829,1
"ENSG00000118260.1","Creb1",0.480132318767687,0.18181122189293,1
"ENSG00000185774.1","Kcnip4",0.47962180885732,0.0798357073849749,1
"ENSG00000168314.4","Mobp",0.478659340442981,0.200679512738068,1
"ENSG00000228278","Orm2",0.478643985425415,0.0692610494581918,1
"ENSG00000111846.3","Gcnt2",0.476313957785128,0.165441974820023,1
"ENSG00000163032.1","Vsnl1",0.475362093984785,0.0824089223907137,1
"ENSG00000138650.2","Pcdh10",0.467896603977353,0.101434182874549,1
"ENSG00000146221","Tcte1",0.463636714466049,0.104614555654413,1
"ENSG00000106536","Pou6f2",0.460509420393898,0.0875543075519972,1
"ENSG00000164690.1","Shh",0.45961147566655,0.101369275302566,1
"ENSG00000258947","Tubb3",0.458920199753384,0.121513986418491,1
"ENSG00000164106","Scrg1",0.450997315415191,0.114084812459162,1
"ENSG00000134343","Ano3",0.449087076368121,0.260436677013908,1
"ENSG00000136535","Tbr1",0.445553822736919,0.165441974820023,1
"ENSG00000143751.2","Sde2",0.444951332426345,0.224246022048014,1
"ENSG00000066032","Ctnna2",0.444471916018664,0.0824928930252567,1
"unknown.9498","LOC102640479",0.444027557923011,0.212684222331274,1
"ENSG00000080166","Dct",0.4433277571369,0.0450561132624126,1
"unknown.5450","Tusc5",0.442458151736412,0.0926916698136,1
"ENSG00000125851.3","Pcsk2",0.441939317244844,0.146178501623165,1
"ENSG00000144285.1","Scn1a",0.441829176156717,0.0901244555616301,1
"ENSG00000107105.4","Elavl2",0.440924662828197,0.12847709643773,1
"ENSG00000147434","Chrna6",0.439016049897176,0.167446052907491,1
"ENSG00000141404","Gnal",0.436138527513536,0.140957911004946,1
"ENSG00000077498","Tyr",0.429010187636274,0.0952550996761888,1
"ENSG00000123570","Rab9b",0.428752246202701,0.125006155788057,1
"ENSG00000107105.1","Elavl2",0.427269153541073,0.120329574602244,1
"ENSG00000136099","Pcdh8",0.427156233049625,0.14857806945637,1
"ENSG00000167281.1","Rbfox3",0.425069476432121,0.167446052907491,1
"ENSG00000186487.3","Myt1l",0.422394279979914,0.123428883750614,1
"ENSG00000186487","Myt1l",0.422276866209468,0.203118398993784,1
"ENSG00000115648.1","Mlph",0.421795579850868,0.163280931601936,1
"ENSG00000100764.1","Psmc1",0.418560428283117,0.28198024741838,1
"ENSG00000072657","Trhde",0.41572139797479,0.159071272696388,1
"ENSG00000127074","Rgs13",0.414108691343711,0.140957911004946,1
"ENSG00000174473.1","Galntl6",0.414078348459347,0.131926005019665,1
"ENSG00000008735.4","Mapk8ip2",0.413825955870591,0.135657561211801,1
"ENSG00000145198","Vwa5b2",0.41333200995349,0.213154673847505,1
"unknown.7762","9130024F11Rik",0.413097047875705,0.29759633064079,1
"LRG_252.5","Kif1b",0.412891993918694,0.184287527909716,1
"unknown.7494","Ighg",0.41195031310544,0.213154673847505,1
"ENSG00000164175.1","Slc45a2",0.410684332115695,0.159071272696388,1
"ENSG00000082175.1","Pgr",0.403177259004755,0.175642088721785,1
"ENSG00000182698","Resp18",0.401164682403342,0.14857806945637,1
"unknown.4635","Igh-VJ558",0.401161942276679,0.208176049116187,1
"ENSG00000034239.2","Efcab1",0.401098267381745,0.235381445598317,1
"ENSG00000178718","Rpp25",0.400806505356737,0.254306104590776,1
"ENSG00000162374.2","Elavl4",0.397790925327169,0.118242031067062,1
"ENSG00000183166","Caln1",0.397441953300052,0.208176049116187,1
