,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0009966~regulation of signal transduction,167,19.53216374269006,1.9107448580639052e-19,"CSF1, SERPINE1, ULK4, WWC2, LDLRAD4, FGF2, FGF4, GJA1, BAIAP2L1, SALL1, SESN3, SALL3, MYC, DHX58, PROK2, MEN1, ZBP1, RSAD2, IL1R2, HGF, IGFBP3, IGFBP2, TSC1, MID1, EREG, RUNX1, FOXP1, TIAM2, NAIP5, SMO, CCNY, DDIT3, CD109, MADD, S100A9, S100A8, INTU, IQGAP1, ZC3HAV1, RASAL2, DDX60, RASAL3, KALRN, RASGRP4, C3, SOCS3, PDCD10, GRK4, PMAIP1, WNT2, CCL21A, WWTR1, TGFB1, GADD45B, FZD6, FN1, LIF, EIF2AK2, INHBA, GDF3, NFATC4, EFNA1, BST2, CXCL10, RCAN1, CXCL11, IL6, DAB2, DNMBP, PTPRC, BMP1, BCL6, IL7, CILP, TRP53, BCL3, CAPRIN2, NOX4, NF2, GPR18, BCL2L1, FGFR1, IGHM, CXCL9, TRIM30A, SLC44A2, LRRK1, HSPB1, PTPN22, DUSP16, CHRDL1, AKAP13, TRIM6, BDKRB2, CASP1, TIMP2, DACT2, ANKRD1, PMEPA1, ITGAV, TIMP1, LMCD1, TGIF1, IL11, ARHGEF12, PLEKHG2, TNFRSF12A, ARHGEF15, MYOF, ARHGEF19, TRAF2, NME5, WNT9A, GFRA2, DNM2, GREM1, ITPKB, PLSCR1, ELF1, MMP14, CTTN, IL1B, IRF7, PELI1, CDH13, ARHGEF1, ARHGEF2, DOCK2, DBN1, CD44, BIRC3, HBEGF, NFAT5, CCL12, LRP1, AKAP5, THBS1, FGD2, FSTL3, NKD2, NEURL1A, FGD4, CCL7, RAB23, LMNA, MARVELD3, CTNNA1, GCNT2, CCL2, NCAM1, SLIT3, CDKN2B, PRRX1, BIK, STAT1, STAT3, OSM, PTPN11, CDC42BPA, TSPAN15, P2RX4, LRG1, JSRP1, LEP, F2RL1, RGS12, CRLF1",585,2468,17152,1.9839476928617927,7.268473440075096e-16,7.268473440075096e-16,6.595891250036601e-16
1,GOTERM_BP_5,GO:0016477~cell migration,98,11.461988304093568,6.684464939289216e-16,"CSF1, SERPINE1, ULK4, PLAT, LDLRAD4, CXCL13, FGF2, FGF4, GJA1, MYC, SEMA6C, CXADR, HGF, IGFBP3, TPM1, ADAM10, VASH1, FOXP1, CH25H, SMO, ADAM15, SPECC1L, PKP2, S100A9, S100A8, CALCA, IQGAP1, KALRN, EFNB2, PDCD10, CCL21A, TGFB1, VCAM1, RCC2, FN1, MSN, NFATC2, NR2F2, DCLK1, EFNA1, BST2, CXCL10, CXCL11, DAB2, PTPRC, COL5A1, TRP53, NOX4, GPR18, FGFR1, DDR1, CXCL9, DOCK8, HSPB1, PTPN22, LAMC2, LAMC1, ITGAV, TIMP1, INSL3, EDN2, CAMK1D, TNFRSF12A, IL16, GREM1, MMP14, CTTN, PEAK1, IL1B, EFHC1, CDH13, ITGA5, CD44, SDCCAG8, HBEGF, LAMA5, CCL12, LRP1, SAA3, THBS1, ACVR1C, CCL7, MARVELD3, GCNT2, HAS2, CCL2, GPC6, MBOAT7, STAT3, PTPN11, LAMB1, SORBS2, CDC42BPA, NLRP10, LEP, SAA1, F2RL1, SAA2",585,1199,17152,2.396435776252289,2.5339730314044573e-12,1.2713852314528089e-12,1.1537386485213186e-12
2,GOTERM_BP_5,GO:0048513~animal organ development,202,23.625730994152047,1.3723817510960478e-15,"ATF2, ULK4, SERPINE1, GPATCH4, LDLRAD4, GJA1, RPS6KA2, MYC, PROK2, EPHB2, HERC6, SOX5, CDK5RAP2, CXADR, RSAD2, ACTN1, NPFF, FNDC3A, EREG, RUNX1, CD109, SIK3, INTU, IQGAP1, PPL, KALRN, NLN, CCL21A, WWTR1, CDSN, FZD2, FZD6, FN1, LIF, EIF2AK2, PRG4, NR2F2, GDF3, DCLK1, NFATC4, FOSL1, MYLPF, CYP26A1, COL1A2, NOX4, HOXD9, GPR18, DDR1, IGHM, CSRNP1, CDKN1A, SPEF2, NKAP, STON2, TFCP2L1, CHRDL1, AKAP13, SH3PXD2B, ANKRD1, CTLA4, TIMP1, EDN2, WNT9B, WNT9A, NME5, MLF1, ITPKB, PLSCR1, MMP14, MMP13, PAX8, IL1B, TNNT2, MED20, FJX1, CD44, IGHMBP2, COL19A1, FSTL3, RELB, NEURL1A, CUX1, LMNA, HSD17B2, CTNNA1, GCNT2, HAS2, CDKN2B, BIK, STAT1, IL34, MBD1, STAT3, AP3D1, SORBS2, KRT19, TTC7, NFIC, F2RL1, B9D1, CRLF1, CSF1, HP, TNC, AHR, CXCL13, FGF2, FGF4, COMP, SALL1, SALL3, CLEC5A, MEN1, SEMA6C, AGTPBP1, HGF, TPM1, TSC1, VASH1, PRSS56, FOXP1, SLC9B2, ADAM15, SMO, PKP2, PFKFB1, SLCO1A5, EFNB2, SOCS3, SBNO2, WNT2, SMAD1, TGFB1, VCAM1, VDR, PTCH2, MSN, INHBA, EFNA1, RCAN1, IL6, DAB2, PTPRC, BMP1, COL5A1, BCL6, SERPINB6B, IL7, FES, TRP53, MAFF, BCL3, SP5, NF2, NES, BCL2L1, FGFR1, BNC2, LRRK1, PTPN22, MSLN, LYL1, PPP1R13L, DACT2, ITGAV, INSL3, KDM6A, TGIF1, ARHGEF15, LSR, UTF1, DNM2, GREM1, VCAN, EFHC1, MYH4, DOCK2, CLRN1, LAMA5, LRP1, LRP2, TOB2, THBS1, PTHLH, THBS3, DNAJB6, RAB23, POC1A, CCL2, NCAM1, SLIT3, TNNI3, PDLIM5, CNNM4, IFI204, PRRX1, MBOAT7, PTPN11, LAMB1, RPGRIP1, MYO1E, LEP",585,3520,17152,1.6825485625485626,5.0679460628089146e-12,1.7401800603897885e-12,1.5791539349278524e-12
3,GOTERM_BP_5,GO:1902531~regulation of intracellular signal transduction,112,13.099415204678364,2.3112504398575143e-14,"CSF1, ULK4, WWC2, FGF2, FGF4, GJA1, SESN3, DHX58, PROK2, MEN1, HGF, IGFBP3, TSC1, MID1, TIAM2, DDIT3, MADD, S100A9, S100A8, IQGAP1, ZC3HAV1, RASAL2, DDX60, RASAL3, KALRN, RASGRP4, C3, SOCS3, PDCD10, PMAIP1, CCL21A, TGFB1, GADD45B, FN1, LIF, EIF2AK2, INHBA, GDF3, EFNA1, BST2, CXCL10, RCAN1, CXCL11, IL6, DAB2, DNMBP, PTPRC, BMP1, BCL6, TRP53, BCL3, NOX4, NF2, GPR18, BCL2L1, FGFR1, IGHM, CXCL9, SLC44A2, LRRK1, HSPB1, PTPN22, DUSP16, AKAP13, BDKRB2, CASP1, TIMP2, ANKRD1, ITGAV, LMCD1, IL11, ARHGEF12, PLEKHG2, ARHGEF15, ARHGEF19, TRAF2, NME5, GFRA2, DNM2, GREM1, ITPKB, PLSCR1, IL1B, PELI1, CDH13, ARHGEF1, ARHGEF2, DOCK2, CD44, BIRC3, HBEGF, NFAT5, CCL12, AKAP5, THBS1, FGD2, FGD4, CCL7, MARVELD3, GCNT2, CCL2, NCAM1, STAT1, STAT3, OSM, PTPN11, CDC42BPA, P2RX4, JSRP1, LEP, F2RL1, CRLF1",585,1552,17152,2.1158516168825448,8.784439842202119e-11,2.0519281494615532e-11,1.8620546719088545e-11
4,GOTERM_BP_5,GO:0007166~cell surface receptor signaling pathway,145,16.95906432748538,3.327269722645351e-14,"CSF1, SERPINE1, HP, PLAT, LDLRAD4, CXCL13, FGF2, FGF4, BAIAP2L1, SALL1, SALL3, MYC, EPHB2, MEN1, ZBP1, SEMA6C, IL1R2, NPFF, HGF, IGFBP3, ADAM10, TSC1, EREG, BTC, SMO, CCNY, ADAM15, DDIT3, CD109, MADD, COL4A6, COL4A5, INTU, IQGAP1, EFNB2, SOCS3, NCSTN, PDCD10, PMAIP1, WNT2, SPTBN1, CCL21A, WWTR1, SMAD1, TGFB1, FZD2, RCC2, FZD6, LIF, NFATC2, INHBA, GDF3, IIGP1, NFATC4, EFNA1, CXCL10, CXCL11, IL6, DAB2, COL1A2, PTPRC, BMP1, BCL6, IL7, FES, CILP, TRP53, CAPRIN2, LCN2, BCL2L1, FGFR1, DDR1, CSRNP1, IGHM, CXCL9, LRRK1, NKAP, HSPB1, PTPN22, CD3G, CHRDL1, TRIM6, DACT2, PMEPA1, CTLA4, ITGAV, CD37, BCL2A1A, KDM6A, TGIF1, EDN2, TNFRSF12A, WNT9B, TRAF2, WNT9A, OSMR, GFRA2, DNM2, GREM1, ITPKB, ENAH, ELF1, MMP14, CTTN, IL1B, IRF7, PELI1, CDH13, ITGA5, DBN1, CD44, HBEGF, LAMA5, CCL12, LRP1, THBS1, FSTL3, NKD2, NEURL1A, ACVR1C, CCL7, LMNA, CTNNA1, STAT4, GCNT2, CCL2, NCAM1, SLIT3, CDKN2B, PRRX1, STAT1, STAT2, STAT3, OSM, PTPN11, SORBS2, SORBS1, TSPAN15, MYO1E, KRT19, P2RX4, LRG1, LEP, F2RL1, B9D1",585,2278,17152,1.8662644544997489,1.2669865157022286e-10,2.0519281494615532e-11,1.8620546719088545e-11
5,GOTERM_BP_5,GO:0072358~cardiovascular system development,87,10.175438596491228,3.7758930195138993e-14,"ATF2, SERPINE1, HSPB1, AHR, ANTXR1, FGF2, LOXL1, ELK3, AKAP13, LYL1, GJA1, SALL1, PPP1R13L, RPS6KA2, SH3PXD2B, ANKRD1, PROK2, ITGAV, EPHB2, KDM6A, CXADR, TNFRSF12A, ARHGEF15, HGF, TPM1, TSC1, VASH1, EREG, RUNX1, FOXP1, DNM2, GREM1, VCAN, MMP14, CCDC80, MMP13, SMO, ADAM15, DDIT3, IL1B, TNNT2, PKP2, CDH13, ITGA5, HBEGF, CCL12, LRP1, LAMA4, LRP2, THBS1, EFNB2, C3, SOCS3, PDCD10, LMNA, HAS2, CCL2, NCAM1, TNNI3, PDLIM5, WNT2, SMAD1, TGFB1, FZD2, VCAM1, PRRX1, STAT1, MBD1, FN1, LIF, PTPN11, SORBS2, NR2F2, NFATC4, EFNA1, FOSL1, MYO1E, CXCL10, PTPRB, COL1A2, LRG1, COL5A1, TRP53, LEP, NOX4, B9D1, FGFR1",585,1062,17152,2.401892896808151,1.4359180511291922e-10,2.0519281494615532e-11,1.8620546719088545e-11
6,GOTERM_BP_5,GO:0072359~circulatory system development,87,10.175438596491228,3.7758930195138993e-14,"ATF2, SERPINE1, HSPB1, AHR, ANTXR1, FGF2, LOXL1, ELK3, AKAP13, LYL1, GJA1, SALL1, PPP1R13L, RPS6KA2, SH3PXD2B, ANKRD1, PROK2, ITGAV, EPHB2, KDM6A, CXADR, TNFRSF12A, ARHGEF15, HGF, TPM1, TSC1, VASH1, EREG, RUNX1, FOXP1, DNM2, GREM1, VCAN, MMP14, CCDC80, MMP13, SMO, ADAM15, DDIT3, IL1B, TNNT2, PKP2, CDH13, ITGA5, HBEGF, CCL12, LRP1, LAMA4, LRP2, THBS1, EFNB2, C3, SOCS3, PDCD10, LMNA, HAS2, CCL2, NCAM1, TNNI3, PDLIM5, WNT2, SMAD1, TGFB1, FZD2, VCAM1, PRRX1, STAT1, MBD1, FN1, LIF, PTPN11, SORBS2, NR2F2, NFATC4, EFNA1, FOSL1, MYO1E, CXCL10, PTPRB, COL1A2, LRG1, COL5A1, TRP53, LEP, NOX4, B9D1, FGFR1",585,1062,17152,2.401892896808151,1.4359180511291922e-10,2.0519281494615532e-11,1.8620546719088545e-11
7,GOTERM_BP_5,GO:0035556~intracellular signal transduction,149,17.42690058479532,4.967821645794717e-14,"CSF1, ULK4, WWC2, FGF2, FGF4, DOCK10, GJA1, SESN3, RPS6KA2, MYC, DHX58, PROK2, MEN1, HGF, IGFBP3, HMHA1, ANK2, TSC1, MID1, TIAM2, SMO, ADAM15, DDIT3, MADD, S100A9, KPNB1, S100A8, RRAD, NPR3, IQGAP1, ZC3HAV1, RASAL2, DDX60, RASAL3, KALRN, RASGRP4, C3, SOCS3, PDCD10, PMAIP1, CCL21A, WWTR1, SMAD1, TGFB1, VCAM1, GADD45B, FN1, LIF, NFATC2, ARHGAP29, EIF2AK2, INHBA, GDF3, DCLK1, NFATC4, EFNA1, BST2, CXCL10, RCAN1, CXCL11, IL6, DAB2, DNMBP, COL1A2, PTPRC, BMP1, BCL6, WNK1, TRP53, BCL3, NOX4, NF2, GPR18, BCL2L1, FGFR1, IGHM, CDKN1A, CXCL9, ARF2, SLC44A2, DOCK9, DOCK8, LRRK1, HSPB1, PTPN22, DUSP16, ING4, AKAP13, BDKRB2, CASP1, TIMP2, ANKRD1, ITGAV, BCL2A1A, LMCD1, IL11, ARHGEF12, EDN2, PLEKHG2, ARHGEF15, ARHGEF19, TRAF2, NME5, RHOF, GFRA2, DNM2, GREM1, ITPKB, PLSCR1, PLCB4, IL1B, PELI1, CDH13, ARHGEF1, ARHGEF2, DOCK2, CD44, BIRC3, HBEGF, NFAT5, CCL12, SAA3, AKAP5, THBS1, ADCY7, FGD2, RELB, FGD4, CCL7, RAB23, MARVELD3, GCNT2, CCL2, NCAM1, MAP4K5, MAP4K3, IFI204, STAT1, STAT3, OSM, PTPN11, CDC42BPA, P2RX4, JSRP1, RAB12, LEP, STK17B, F2RL1, CRLF1",585,2380,17152,1.835558428499605,1.8878099083963207e-10,2.362199192575388e-11,2.1436150401604207e-11
8,GOTERM_BP_5,GO:0009967~positive regulation of signal transduction,99,11.578947368421051,1.5821092811152602e-13,"CSF1, FGF2, FGF4, GJA1, SALL1, MYC, DHX58, PROK2, MEN1, ZBP1, RSAD2, HGF, IGFBP3, MID1, EREG, SMO, MADD, S100A9, S100A8, INTU, IQGAP1, ZC3HAV1, DDX60, RASGRP4, C3, PDCD10, PMAIP1, WNT2, CCL21A, TGFB1, GADD45B, LIF, EIF2AK2, INHBA, GDF3, NFATC4, EFNA1, BST2, CXCL10, CXCL11, IL6, DAB2, PTPRC, BMP1, TRP53, CAPRIN2, NOX4, GPR18, FGFR1, IGHM, CXCL9, SLC44A2, LRRK1, PTPN22, AKAP13, TRIM6, CASP1, TIMP2, ANKRD1, ITGAV, LMCD1, IL11, TNFRSF12A, TRAF2, WNT9A, GREM1, ITPKB, PLSCR1, IL1B, IRF7, PELI1, CDH13, DOCK2, DBN1, CD44, HBEGF, CCL12, AKAP5, THBS1, FGD2, NEURL1A, FGD4, CCL7, CTNNA1, GCNT2, CCL2, NCAM1, CDKN2B, PRRX1, BIK, STAT3, OSM, PTPN11, TSPAN15, P2RX4, LRG1, LEP, F2RL1, CRLF1",585,1328,17152,2.185727525486562,6.018185949585585e-10,6.687048561513833e-11,6.068268042677642e-11
9,GOTERM_BP_5,GO:0030334~regulation of cell migration,67,7.83625730994152,7.549777941798363e-13,"CXCL9, CSF1, SERPINE1, ULK4, HSPB1, LAMC2, PTPN22, LDLRAD4, CXCL13, FGF2, FGF4, DOCK10, MYC, ITGAV, TIMP1, INSL3, SEMA6C, EDN2, CAMK1D, HGF, IGFBP3, TPM1, ADAM10, VASH1, FOXP1, GREM1, MMP14, ADAM15, IL1B, PKP2, CDH13, ITGA5, VCL, HBEGF, LAMA5, CCL12, LRP1, LAMA4, IQGAP1, THBS1, ACVR1C, CCL7, PDCD10, LMNA, MARVELD3, GCNT2, HAS2, CCL2, CCL21A, TGFB1, RCC2, STAT3, FN1, MSN, LAMB1, NR2F2, BST2, EFNA1, CXCL10, CXCL11, DAB2, PTPRC, TRP53, NOX4, F2RL1, GPR18, FGFR1",585,742,17152,2.647462390858617,2.871836102258385e-09,2.871935529060097e-10,2.6061833455087945e-10
