,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_MF_5,GO:0042379~chemokine receptor binding,11,1.286549707602339,3.374404063466571e-05,"CXCL10, CXCL9, CXCL11, CCL12, CCL7, STAT1, STAT3, CCL2, CXCL13, NES, CCL21A",452,60,13115,5.319505899705015,0.0091031028861876,0.0091446350119944,0.0090096588494557
1,GOTERM_MF_5,GO:0003725~double-stranded RNA binding,11,1.286549707602339,0.0002093304735500555,"OAS2, ACTN1, DHX58, EIF2AK2, MSN, OAS1A, OAS1B, DDX60, MYH4, OASL1, OASL2",452,74,13115,4.313112891652715,0.0551551044653068,0.0283642791660325,0.0279456182189324
2,GOTERM_MF_5,GO:0019901~protein kinase binding,38,4.444444444444445,0.0004127397721756867,"TSKS, TRIM12C, ATF2, HSPB1, PTPN22, AKAP5, IQGAP1, TRIM6, PDCD10, MARVELD3, DACT2, TNNI3, ITGAV, PDLIM5, CDK5RAP2, TGIF1, SMAD1, CDKN2B, RCC2, STAT3, ADAM10, MSN, TRAF2, PTPN11, GDF3, SORBS1, DNM2, CD2, PTPRC, PLCB4, CCNY, WNK1, TRP53, PKP2, KIF20A, UTRN, CD44, BCL2L1",452,600,13115,1.8376474926253688,0.1058444875019396,0.0372841594198703,0.0367338397236361
3,GOTERM_MF_5,GO:0051015~actin filament binding,14,1.6374269005847957,0.0006172325567010221,"MYO10, ACTN1, TPM1, ANTXR1, FGD4, LIMA1, MYO1E, CTNNA1, ANXA8, FLNC, TLN1, UTRN, DBN1, VCL",452,132,13115,3.077400107267364,0.1540725388467033,0.0418175057164942,0.0412002731597932
4,GOTERM_MF_5,GO:0005154~epidermal growth factor receptor binding,7,0.8187134502923977,0.0008040018864047641,"BTC, PLSCR1, ITGA5, MS4A1, CD44, HBEGF, EREG",452,33,13115,6.154800214534728,0.1958521614966299,0.0435769022431382,0.0429337007340144
5,GOTERM_MF_5,GO:0008009~chemokine activity,8,0.9356725146198832,0.0011789659265738,"CXCL10, CXCL9, CXCL11, CCL12, CCL7, CCL2, CXCL13, CCL21A",452,48,13115,4.835914454277287,0.2736245535300218,0.0532499610169198,0.0524639837325372
6,GOTERM_MF_5,GO:0098641~cadherin binding involved in cell-cell adhesion,21,2.456140350877193,0.0016007339452245,"LAD1, AHNAK, DOCK9, STAT1, IQGAP1, ZC3HAV1, PPL, PDLIM1, LIMA1, HIST1H3A, BAIAP2L1, CTTN, PPP1R13L, CTNNA1, PKP2, TLN1, PDLIM5, DBN1, SPTBN1, VCL, PLEC",452,279,13115,2.183961366447807,0.35218263625446,0.0619712713079792,0.0610565661964223
7,GOTERM_MF_5,GO:0032550~purine ribonucleoside binding,84,9.824561403508772,0.008096671300653,"CARS, DDR1, ARF2, DDX46, MCM7, LRRK1, ULK4, ADK, BUB1B, GIMAP3, DDX43, UBE2L6, SMC2, PPIP5K1, RPS6KA2, DHX58, ANXA6, KIF1B, EPHB2, EARS2, OASL1, OASL2, TOR3A, CAMK1D, ABCA8B, ACSL4, LIG3, KIF22, ATP11A, RHOF, DDX50, RUNX1, DNM2, ITPKB, NAIP5, SARS2, PEAK1, OAS2, HKDC1, SIK3, GM4951, KIF20A, DNA2, MYH4, SLC22A21, PFKFB1, SLFN8, RRAD, SLFN4, IGHMBP2, OAS1A, OAS1B, DDX60, KALRN, ADCY7, GNA14, CYB5R3, ACVR1C, GRK4, RAB23, MAP4K5, PCK1, TRPM6, MAP4K3, CDK17, SEPT10, ATP8B4, MYO10, MX1, EIF2AK2, CDC42BPA, IIGP1, DCLK1, MYO1E, P2RX4, NAGK, SLFNL1, NLRP10, WNK1, FES, RAB12, TRP53, STK17B, FGFR1",452,1872,13115,1.3019769684592697,0.8895430042920365,0.2446323095074407,0.2410215005110209
8,GOTERM_MF_5,GO:0003690~double-stranded DNA binding,41,4.7953216374269,0.0084603118595122,"ATF2, NFAT5, IGHMBP2, CREM, DDX60, CARF, ELK3, RELB, LYL1, SALL1, CUX1, MYC, STAT4, UBTF, MEN1, KDM6A, TGIF1, SMAD1, IFI204, STAT1, MBD1, STAT3, RFX2, NFATC2, IFI202B, GTF2H4, NFATC4, KLF17, RUNX1, FOXP1, FOSL1, ELF1, PAX8, BCL6, DDIT3, TRP53, NFIC, ZSCAN21, IRF7, SP5, HOXD9",452,787,13115,1.5116073135352126,0.8999913135925568,0.2446323095074407,0.2410215005110209
9,GOTERM_MF_5,GO:0035662~Toll-like receptor 4 binding,3,0.3508771929824561,0.0110125262334405,"SAA3, S100A9, S100A8",452,5,13115,17.40929203539823,0.9502601631874388,0.2446323095074407,0.2410215005110209
