"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000152192.1","Pou4f1",0.930552505086412,0.00115107541544383,1
"unknown.5450","Tusc5",0.907982325146732,0.000888185951719274,1
"ENSG00000091664","Slc17a6",0.890835290323528,0.000571559413795676,1
"ENSG00000104722","Nefm",0.850284976924746,0.00321707338885285,1
"ENSG00000151615","Pou4f2",0.780879846476945,0.0028290363472181,1
"ENSG00000177098","Scn4b",0.774396111068967,0.00933532635929878,1
"ENSG00000205279","Ctxn3",0.718064685062604,0.0111189523351363,1
"ENSG00000091664.1","Slc17a6",0.690661841125409,0.00437117030824941,1
"unknown.5082","Gm2102",0.658246496609767,0.0280900884583631,1
"unknown.8809","1110032F04Rik",0.650101304467861,0.0763699840630195,1
"unknown.5681","2310076G05Rik",0.648627437830128,0.0141709510102565,1
"ENSG00000152128","Tmem163",0.647596437375689,0.0396089720485007,1
"unknown.2614","2600014E21Rik",0.632857464910904,0.0530039217160501,1
"unknown.2073","6720468P15Rik",0.623403533539085,0.0417300968960429,1
"ENSG00000152192","Pou4f1",0.61502259605804,0.00675173090715731,1
"unknown.1618","Gm10439",0.591681336286791,0.080507735245114,1
"unknown.2578","Mup10",0.579069623153622,0.0887834008626463,1
"unknown.7754","Gm14590",0.570149262364825,0.078420595468341,1
"ENSG00000169083.1","Ar",0.53793536944842,0.0507306070283897,1
"ENSG00000174473","Galntl6",0.535757434212776,0.0699016591438921,1
"ENSG00000277586","Nefl",0.532050810350817,0.0122212632999121,1
"ENSG00000100362","Pvalb",0.511889126942299,0.0413989017554593,1
"unknown.1137","Gm3470",0.510393999870418,0.0504881527778569,1
"ENSG00000196935.1","Srgap1",0.507812916546652,0.0784862564070506,1
"ENSG00000184408","Kcnd2",0.506548797727378,0.128397676906379,1
"ENSG00000173267","Sncg",0.506178002716479,0.0408696789194546,1
"ENSG00000124785","Nrn1",0.506117470417148,0.0170128934454757,1
"ENSG00000184408.1","Kcnd2",0.494971878006923,0.0950450235219276,1
"unknown.4504","BC048546",0.487832619879246,0.165429187654372,1
"ENSG00000136235","Gpnmb",0.485428069419972,0.0650878383566956,1
"unknown.2380","4933438K21Rik",0.474025995824467,0.13736934504482,1
"ENSG00000277586.1","Nefl",0.47361515190543,0.0242593550670971,1
"ENSG00000108231.1","Lgi1",0.464143881904006,0.121372486581206,1
"ENSG00000145681.3","Hapln1",0.462068260193809,0.107783826982742,1
"ENSG00000134343","Ano3",0.461102297241195,0.187461306812698,1
"ENSG00000164532.1","Tbx20",0.457926165748469,0.150519586306392,1
"ENSG00000165370","Gpr101",0.444961334101501,0.252855551753583,1
"unknown.2613","Ube4bos1",0.444673576642417,0.104205537851978,1
"unknown.7253","1700091H14Rik",0.443286723160862,0.200679512738068,1
"ENSG00000080644.2","Chrna3",0.439428145413312,0.159071272696388,1
"unknown.5852","Gm10482",0.435156322700628,0.182078138009479,1
"unknown.6374","C79246",0.434535337988331,0.174985457418184,1
"unknown.6712","5330409N07Rik",0.432735465499692,0.19798067411934,1
"unknown.1612","Scn2a1",0.430799023567106,0.163280931601936,1
"ENSG00000184408.3","Kcnd2",0.430114113030946,0.100367488720989,1
"unknown.3193","1700040G22Rik",0.429554851370027,0.274991680630027,1
"ENSG00000178233","Tmem151b",0.425452636874904,0.12847709643773,1
"ENSG00000103657.2","Herc1",0.418101711037893,0.19798067411934,1
"ENSG00000184613.1","Nell2",0.418043548967227,0.167446052907491,1
"unknown.5738","2410141K09Rik",0.414345951753949,0.26781290757778,1
