"","hgnc_symbol","logFC","PValue","FDR"
"ENSG00000152192.1","Pou4f1",0.930552505086412,0.00115107541544383,1
"unknown.5450","Tusc5",0.907982325146732,0.000888185951719274,1
"ENSG00000091664","Slc17a6",0.890835290323528,0.000571559413795676,1
"ENSG00000104722","Nefm",0.850284976924746,0.00321707338885285,1
"ENSG00000151615","Pou4f2",0.780879846476945,0.0028290363472181,1
"ENSG00000177098","Scn4b",0.774396111068967,0.00933532635929878,1
"ENSG00000205279","Ctxn3",0.718064685062604,0.0111189523351363,1
"ENSG00000091664.1","Slc17a6",0.690661841125409,0.00437117030824941,1
"unknown.5082","Gm2102",0.658246496609767,0.0280900884583631,1
"unknown.8809","1110032F04Rik",0.650101304467861,0.0763699840630195,1
"unknown.5681","2310076G05Rik",0.648627437830128,0.0141709510102565,1
"ENSG00000152128","Tmem163",0.647596437375689,0.0396089720485007,1
"unknown.2614","2600014E21Rik",0.632857464910904,0.0530039217160501,1
"unknown.2073","6720468P15Rik",0.623403533539085,0.0417300968960429,1
"ENSG00000152192","Pou4f1",0.61502259605804,0.00675173090715731,1
"unknown.1618","Gm10439",0.591681336286791,0.080507735245114,1
"unknown.2578","Mup10",0.579069623153622,0.0887834008626463,1
"unknown.7754","Gm14590",0.570149262364825,0.078420595468341,1
"ENSG00000169083.1","Ar",0.53793536944842,0.0507306070283897,1
"ENSG00000174473","Galntl6",0.535757434212776,0.0699016591438921,1
"ENSG00000277586","Nefl",0.532050810350817,0.0122212632999121,1
"ENSG00000100362","Pvalb",0.511889126942299,0.0413989017554593,1
"unknown.1137","Gm3470",0.510393999870418,0.0504881527778569,1
"ENSG00000196935.1","Srgap1",0.507812916546652,0.0784862564070506,1
"ENSG00000184408","Kcnd2",0.506548797727378,0.128397676906379,1
"ENSG00000173267","Sncg",0.506178002716479,0.0408696789194546,1
"ENSG00000124785","Nrn1",0.506117470417148,0.0170128934454757,1
"ENSG00000184408.1","Kcnd2",0.494971878006923,0.0950450235219276,1
"unknown.4504","BC048546",0.487832619879246,0.165429187654372,1
"ENSG00000136235","Gpnmb",0.485428069419972,0.0650878383566956,1
"unknown.2380","4933438K21Rik",0.474025995824467,0.13736934504482,1
"ENSG00000277586.1","Nefl",0.47361515190543,0.0242593550670971,1
"ENSG00000108231.1","Lgi1",0.464143881904006,0.121372486581206,1
"ENSG00000145681.3","Hapln1",0.462068260193809,0.107783826982742,1
"ENSG00000134343","Ano3",0.461102297241195,0.187461306812698,1
"ENSG00000164532.1","Tbx20",0.457926165748469,0.150519586306392,1
"ENSG00000165370","Gpr101",0.444961334101501,0.252855551753583,1
"unknown.2613","Ube4bos1",0.444673576642417,0.104205537851978,1
"unknown.7253","1700091H14Rik",0.443286723160862,0.200679512738068,1
"ENSG00000080644.2","Chrna3",0.439428145413312,0.159071272696388,1
"unknown.5852","Gm10482",0.435156322700628,0.182078138009479,1
"unknown.6374","C79246",0.434535337988331,0.174985457418184,1
"unknown.6712","5330409N07Rik",0.432735465499692,0.19798067411934,1
"unknown.1612","Scn2a1",0.430799023567106,0.163280931601936,1
"ENSG00000184408.3","Kcnd2",0.430114113030946,0.100367488720989,1
"unknown.3193","1700040G22Rik",0.429554851370027,0.274991680630027,1
"ENSG00000178233","Tmem151b",0.425452636874904,0.12847709643773,1
"ENSG00000103657.2","Herc1",0.418101711037893,0.19798067411934,1
"ENSG00000184613.1","Nell2",0.418043548967227,0.167446052907491,1
"unknown.5738","2410141K09Rik",0.414345951753949,0.26781290757778,1
"ENSG00000149177","Ptprj",0.413576338749305,0.218519487791097,1
"ENSG00000119782","Fkbp1b",0.411743446600162,0.192761921649968,1
"ENSG00000157110.2","Rbpms",0.410118551323008,0.241646074579808,1
"ENSG00000077235.3","Gtf3c1",0.409888422666579,0.212684222331274,1
"unknown.8851","Gm20213",0.409247621843073,0.206738198054859,1
"ENSG00000115896","Plcl1",0.403650079033356,0.260427007126268,1
"ENSG00000141433","Adcyap1",0.402919917575359,0.188848422482562,1
"ENSG00000128573.2","Foxp2",0.395406409752277,0.188848422482562,1
"ENSG00000183035","Cylc1",0.39205581336255,0.328433338760946,1
"unknown.7762","9130024F11Rik",0.391019821304158,0.248047137073698,1
"ENSG00000196353","Cpne4",0.389887459830492,0.188848422482562,1
"unknown.2166","Gm10471",0.387367866989922,0.301873936401663,1
"ENSG00000164532.2","Tbx20",0.387215001102487,0.179672934294127,1
"unknown.1706","Gm7040",0.383690922837317,0.335558931236294,1
"unknown.369","Ugt8a",0.383415784249459,0.28198024741838,1
"unknown.9499","Palm2",0.383286760114653,0.222879418734202,1
"ENSG00000108231","Lgi1",0.382854523979851,0.235381445598317,1
"unknown.5368","Gm2832",0.381401619613416,0.266413833221733,1
"ENSG00000169083.2","Ar",0.37957923272665,0.278000895899485,1
"ENSG00000117152","Rgs4",0.378592058350394,0.106988913666393,1
"unknown.3363","4930573O21Rik",0.376698998398653,0.278000895899485,1
"ENSG00000117834.2","Slc5a9",0.372930789402284,0.321085374233112,1
"ENSG00000221946","Fxyd7",0.371693513489181,0.308169716921589,1
"ENSG00000119042.1","Satb2",0.370295915664487,0.191497941644971,1
"ENSG00000198821","Cd247",0.370144586402605,0.272270511382184,1
"unknown.1973","4930555G01Rik",0.366552941367394,0.301873936401663,1
"unknown.2323","1700049E17Rik1",0.362220246256553,0.328433338760946,1
"unknown.9710","1700097M23Rik",0.356622702959372,0.328433338760946,1
"unknown.7889","Car3",0.356168601112981,0.314308103412191,1
"ENSG00000149294","Ncam1",0.354086745261952,0.21076773074799,1
"ENSG00000225783.1","Miat",0.35224347733546,0.308169716921589,1
"unknown.17","Kitl",0.345484374921453,0.227277065265944,1
"ENSG00000283632","Exoc3l2",0.340707107539601,0.29973346497872,1
"ENSG00000169302","Stk32a",0.338988775182827,0.22463235258122,1
"ENSG00000168993.2","Cplx1",0.33821078992168,0.183748738363677,1
"ENSG00000159459.1","Ubr1",0.337364166699384,0.23690377630654,1
"unknown.9605","D8Ertd28e",0.335678156656292,0.434993873518577,1
"ENSG00000143107.2","Fndc7",0.335481883055978,0.362033253104165,1
"ENSG00000081138.2","Cdh7",0.335217315060627,0.442627102119394,1
"unknown.8608","Pcnxl2",0.334148325385881,0.434993873518577,1
"ENSG00000183166.2","Caln1",0.331962860105968,0.294471512973454,1
"ENSG00000146352","Clvs2",0.330636906695956,0.374175941153885,1
"unknown.1741","Igkv19-93",0.330068105816217,0.314308103412191,1
"unknown.2908","4930549O18Rik",0.327479303801815,0.381733995229572,1
"unknown.2324","1700049E17Rik1",0.326999147988716,0.402964372161616,1
"ENSG00000182866.3","Lck",0.325880973922886,0.457021938541512,1
"unknown.7022","Kitl",0.325588645804323,0.235205576266612,1
"unknown.9715","Gm3715",0.325189792490773,0.289800263909129,1
"unknown.3064","4930404K06Rik",0.324951992020089,0.298594981116832,1
"ENSG00000184613","Nell2",0.324676206121207,0.285286429952513,1
"ENSG00000157110.3","Rbpms",0.324657586327209,0.217563585788201,1
"ENSG00000136235.1","Gpnmb",0.323934983215606,0.385671010023114,1
"ENSG00000117152.1","Rgs4",0.323114861370423,0.258864115967442,1
"unknown.6110","6030407O03Rik",0.322176260171866,0.402964372161616,1
"ENSG00000186377","Cyp4x1",0.320302403805083,0.280692296346041,1
"ENSG00000169618.1","Prokr1",0.32007481224064,0.496618352682817,1
"ENSG00000150556","Lypd6b",0.317757573993477,0.34283482883185,1
"unknown.5475","E330037M01Rik",0.317532509251882,0.34283482883185,1
"unknown.6163","LOC102636147",0.31611884286468,0.258864115967442,1
"ENSG00000128191.2","Dgcr8",0.315551313351271,0.186767914528871,1
"ENSG00000145692","Bhmt",0.315499485327532,0.389053693756174,1
"unknown.7259","Ugt2b37",0.313788958892052,0.449963661702325,1
"ENSG00000147432","Chrnb3",0.31264620312891,0.298594981116832,1
"unknown.2593","9130401L11Rik",0.311249688773116,0.34283482883185,1
"ENSG00000146221","Tcte1",0.311137208333301,0.250442264215583,1
"ENSG00000185774.1","Kcnip4",0.309509380328511,0.228105945806125,1
"unknown.9596","BC030870",0.308761316133768,0.197341478885052,1
"ENSG00000107290.2","Setx",0.308532006658005,0.428208454695303,1
"ENSG00000138769.2","Cdkl2",0.308159245289684,0.362033253104165,1
"unknown.5230","A830039H05Rik",0.306699143380161,0.428208454695303,1
"ENSG00000153012","Lgi2",0.30557360062635,0.271250580026445,1
"unknown.7645","Obox3",0.305504713584277,0.434993873518577,1
"ENSG00000185567","Ahnak2",0.305402177583721,0.374175941153885,1
"ENSG00000144642.2","Rbms3",0.304047699206592,0.358399447940792,1
"unknown.6256","Zfp410",0.302685067097856,0.396126105726276,1
"unknown.4500","Gm11346",0.301083147324473,0.442627102119394,1
"unknown.875","Csprs",0.299400355978648,0.457021938541512,1
"ENSG00000198785.1","Grin3a",0.299068641110229,0.476689026853438,1
"ENSG00000113494.3","Prlr",0.296399505808441,0.409580724226259,1
"ENSG00000167535","Cacnb3",0.296325434886069,0.324480740721244,1
"ENSG00000197753","Lhfpl5",0.296090786193743,0.348143035586114,1
"ENSG00000184524.3","Cend1",0.294620805272345,0.302879720289406,1
"unknown.3497","9430087J23Rik",0.29380982062172,0.324480740721244,1
"unknown.632","Gm2083",0.293713283102224,0.457021938541512,1
"LRG_17","Aicda",0.292706375181586,0.457021938541512,1
"ENSG00000198844.2","Arhgef15",0.292702011560792,0.470369738972666,1
"unknown.3883","4921522E08Rik",0.29256923185466,0.482789816138862,1
"unknown.9023","A830080L01Rik",0.291652559056944,0.307091870348044,1
"ENSG00000168243","Gng4",0.291253474407481,0.311233238726458,1
"ENSG00000261678.1","Scrt1",0.290550514014085,0.396571812686932,1
"unknown.5875","Gm11627",0.290482994176775,0.525774372449291,1
"ENSG00000084628.4","Nkain1",0.290301436294139,0.348143035586114,1
"unknown.992","Gm10058",0.289273499975789,0.374175941153885,1
"unknown.4888","Csn1s2a",0.288863207991755,0.525774372449291,1
"ENSG00000100285","Nefh",0.288740029219183,0.241606840587256,1
"ENSG00000108424.1","Kpnb1",0.288512323292989,0.470369738972666,1
"ENSG00000225783","Miat",0.287510925597671,0.307091870348044,1
"unknown.1211","Gm10921",0.287206134042853,0.449963661702325,1
"ENSG00000139687.1","Rb1",0.28710468881297,0.525774372449291,1
"LRG_616.2","Kdm6a",0.287039530253127,0.333707150905971,1
"ENSG00000154864.1","Piezo2",0.285376506181535,0.385671010023114,1
"ENSG00000137845.3","Adam10",0.284440981602735,0.286917013717729,1
"ENSG00000144642.1","Rbms3",0.284233708558621,0.286917013717729,1
"ENSG00000185818.1","Nat8l",0.283139215255827,0.36335603806133,1
"ENSG00000168993","Cplx1",0.282459697030835,0.263798692402289,1
"ENSG00000160584.1","Sik3",0.281372454953677,0.346895248553151,1
"unknown.5400","Sept6",0.281326427365736,0.463818798256563,1
"ENSG00000154096","Thy1",0.280885954500565,0.263798692402289,1
"unknown.4999","Zfp407",0.280872607640368,0.386574627086952,1
"unknown.2435","Car3",0.280555442054781,0.409580724226259,1
"ENSG00000107105.4","Elavl2",0.279339899441751,0.301685068730376,1
"ENSG00000175352","Nrip3",0.278738567492208,0.311233238726458,1
"ENSG00000128641.2","Myo1b",0.278276284670623,0.36335603806133,1
"ENSG00000184524","Cend1",0.278106423629257,0.368203501991179,1
"unknown.5129","Gpr64",0.277646077364832,0.518958992444161,1
"ENSG00000185774.2","Kcnip4",0.276716286593445,0.315305584621194,1
"ENSG00000116133","Dhcr24",0.276612025836099,0.428208454695303,1
"unknown.6466","Gm11783",0.275809345208666,0.439706906410126,1
"ENSG00000166963.1","Map1a",0.274751144971255,0.323250006784713,1
"unknown.8346","2900092N22Rik",0.273008953583094,0.482789816138862,1
"unknown.9336","6430553K19Rik",0.272959467427315,0.511843274216545,1
"unknown.2015","1700019M22Rik",0.272949885969165,0.488684255662722,1
"ENSG00000171798","Kndc1",0.272877449741663,0.386574627086952,1
"unknown.9367","D8Ertd620e",0.272498694689243,0.518958992444161,1
"unknown.5729","Vmn2r84",0.272052034407564,0.488684255662722,1
"ENSG00000147481.1","Sntg1",0.270529269797575,0.496618352682817,1
"ENSG00000177181","Rimkla",0.269236456432692,0.278617267266042,1
"unknown.1780","Adam34",0.268787238820459,0.532309810886779,1
"ENSG00000075043.6","Kcnq2",0.268637875206537,0.351127548782609,1
"ENSG00000176979","Trim60",0.268596592566388,0.510411324495181,1
"unknown.3439","2810047J09Rik",0.267503961471939,0.596642586281995,1
"ENSG00000189127","Ankrd34b",0.267454822291001,0.494383583524165,1
"unknown.2176","2610317O13Rik",0.267050933176605,0.55599883905353,1
"ENSG00000159713","Tppp3",0.266066241836959,0.294408643354464,1
"ENSG00000160145.3","Kalrn",0.265869169512807,0.406926085610545,1
"ENSG00000103154","Necab2",0.265669299689476,0.450549109852174,1
"ENSG00000075043.9","Kcnq2",0.265141268340041,0.399375301483175,1
"ENSG00000138411.1","Hecw2",0.264605399489085,0.401814482317435,1
"ENSG00000102290.1","Pcdh11x",0.264383015402066,0.421525152892324,1
"ENSG00000243147","Mrpl33",0.26410596713415,0.372945586641584,1
"ENSG00000165752","Stk32c",0.263207194855085,0.416776620155521,1
"ENSG00000158258","Clstn2",0.262801377213199,0.499898211375668,1
"unknown.600","AA414903",0.261947667831175,0.525774372449291,1
"ENSG00000258947","Tubb3",0.261656770461631,0.334690229748338,1
"ENSG00000082175.1","Pgr",0.261475508852944,0.346895248553151,1
"unknown.2562","4933411B09Rik",0.261133695024838,0.494383583524165,1
"ENSG00000068831","Rasgrp2",0.260551667984482,0.550413612053198,1
"ENSG00000168243.2","Gng4",0.260486009448386,0.305245383266256,1
"ENSG00000124198.1","Arfgef2",0.260083414182971,0.532309810886779,1
"ENSG00000149260","Capn5",0.259151488648372,0.465709061760164,1
"ENSG00000135535.1","Cd164",0.258439880348763,0.430690934975581,1
"ENSG00000154721","Jam2",0.258054551416263,0.272786988971774,1
"ENSG00000108255","Cryba1",0.257790271039427,0.476689026853438,1
"unknown.6608","C86400",0.257380232788483,0.583132942516488,1
"ENSG00000139190.1","Vamp1",0.2565951858792,0.342017252673378,1
"ENSG00000249859.2","Pvt1",0.256278744023902,0.602924045422597,1
"ENSG00000197872","Fam49a",0.25622365977517,0.566574604800745,1
"ENSG00000151812.1","Slc35f4",0.255817681090407,0.499898211375668,1
