,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0002253~activation of immune response,33,3.699551569506727,2.9730415225331497e-07,"C1QB, C1QA, DENND1B, TRIM30A, CFH, CFI, C5AR1, FPR3, ZC3HAV1, DDX60, FYB, C2, C3, C4A, C1S1, TESPA1, CLEC7A, CD38, IGH-VJ558, C1RA, FCER1G, RSAD2, DDX58, BRAF, ENAH, PTPRC, IGLL1, SERPING1, F2RL1, EZR, TLR4, TLR3, C1QC",639,316,17152,2.8031140429072323,0.0011228816546061,0.0011235123913652,0.0010842682432678
1,GOTERM_BP_5,GO:0048513~animal organ development,182,20.40358744394619,9.204519161133304e-07,"CNTF, SERPINE1, SCX, OTP, LDLRAD4, IKZF1, CLDN1, SOX21, IKZF3, ICAM1, SOX3, ZFP36, EDNRB, LCE1A1, SOX1, LCE1A2, TNFSF10, DAG1, CYP1B1, MACROD2, SOX9, KRT6B, SOX4, KRT6A, WLS, RAG1, IFNA11, PDGFRA, AGTPBP1, RSAD2, WNT5A, SOX11, ESCO2, LCE1H, PRLR, LOR, BCAN, KAT6A, AKR1C14, CHIL1, COL8A1, IAPP, WDPCP, FKBP4, SF1, SPRR2H, MAOB, NOTCH4, C5AR1, MGST1, IL4RA, RHOBTB3, ADRB2, SPATA5, IQGAP3, PIK3R6, CRHR1, RTN4, ZFP36L1, SOCS3, TESPA1, SERPINH1, SMYD1, NLRP3, APOD, SPRR2D, SLAMF1, EGR2, ZFHX3, VCAM1, FZD6, LIF, PRRC2C, BRAF, EIF2S2, TYR, DAB2, COL1A2, PTPRC, TRP53, COL5A2, COL9A3, TGFBI, TAB1, CALM1, SIM1, SPRR1A, SPRR1B, FBN1, DDR1, ITGB1, RERE, ROBO2, ARF4, EDA, DOCK7, PTEN, LPCAT1, SLC40A1, CXCL1, CHRDL1, CYR61, AKAP13, FLCN, ADAMTS1, SPRR2A1, ITGB8, UTY, NDEL1, DSP, EDARADD, UNC45A, PCYT1B, EDN2, FCER1G, ANXA1, UGT1A1, TSC22D3, AW551984, TEX11, ATPIF1, LSR, AVPR1A, GPCPD1, VAV1, SERPINB5, EPN2, PTBP3, CREB1, MYOD1, TNNT2, DSG2, LCP1, PLCB1, TLR3, CD44, DDR2, C1QB, CX3CR1, RBM47, CEBPD, PLAG1, SEZ6, THBS1, SCEL, CUX1, EPCAM, NTF3, IGF2BP1, GCNT2, CCL2, MFN2, FLNB, BID, KCNJ1, MPZL2, TCF7L2, LIM2, SEC24B, IFI204, EYA1, PRRX1, TMEM176A, EYA4, KRT13, VEGFC, ATP2B2, USH2A, P2RX7, CD24A, COL3A1, CENPF, NFIB, TMEM57, MFAP2, POMK, F2RL1, CIAPIN1, ZFP157, CLEC2D, CRYGF, C1QC",639,3520,17152,1.3878503343292077,0.0034723468037121,0.0017391938954961,0.0016784440690326
2,GOTERM_BP_5,GO:0010647~positive regulation of cell communication,92,10.31390134529148,1.4448633993720832e-06,"ITGB1, CNTF, EDA, 1810011O10RIK, PTEN, CYR61, ICAM1, AKAP13, FLCN, KIF5B, TNFSF10, CASP1, TIMP2, CYP1B1, A630033H20RIK, CD38, TIMP3, IKBKG, SOX9, NEO1, SOX4, WLS, PDGFRA, EDN2, CSNK2A1, RSAD2, IGFBP4, WNT5A, TMOD2, ATPIF1, SOX11, PPM1A, CREB1, BANK1, CHIL1, MAL, PLCB1, TLR4, TLR3, CD44, CX3CR1, CCL12, SLC20A1, C5AR1, NLRC5, ADRB2, ZC3HAV1, DDX60, MFF, PLA2G6, NR2C1, THBS1, IQGAP3, PIK3R6, CRHR1, C3, MAPK8, TESPA1, PDCD10, NTF3, GCNT2, CCL2, STX3, BID, ZBED3, SLAMF1, TCF7L2, CREBBP, GADD45B, EYA1, PRRX1, PLK2, LY86, LIF, OPRK1, BRAF, GFAP, P2RX7, CD24A, COL3A1, DAB2, PTPRC, LPAR6, TRP53, NMU, F2RL1, TAB1, ERCC6, CALM1, LGR6, CRLF3, F2RL2",639,1490,17152,1.657354717417105,0.0054452632451662,0.0017554360114724,0.0016941188499179
3,GOTERM_BP_5,GO:2000145~regulation of cell motility,57,6.390134529147982,2.0088787385266505e-06,"ITGB1, IFITM1, DOCK7, SERPINE1, PTEN, DEFB1, CXCL1, LDLRAD4, MYSM1, CYR61, ICAM1, FLCN, ARHGDIB, DAG1, CYP1B1, CPNE3, SOX9, CCR5, NEO1, PDGFRA, EDN2, ANXA1, CAMK1D, DDX58, WNT5A, NISCH, WDPCP, PLCB1, DDR2, CX3CR1, CCL12, C5AR1, FBLN1, THBS1, AIF1, RTN4, GNA13, MAPK8, EPCAM, PDCD10, NTF3, KRIT1, GCNT2, CCL2, APOD, CLASP1, SLAMF1, HACE1, VEGFC, BRAF, COL3A1, DAB2, PTPRC, TRP53, F2RL1, EPPK1, LGR6",639,782,17152,1.9565097318780544,0.0075628172648863,0.0017554360114724,0.0016941188499179
4,GOTERM_BP_5,GO:0071559~response to transforming growth factor beta,24,2.690582959641256,2.466615479862644e-06,"CX3CR1, ITGB1, ZFHX3, YES1, HTRA3, SERPINE1, WNT5A, SCX, SOX11, LDLRAD4, THBS1, ZFP36L1, PPM1A, FLCN, DAB2, COL3A1, COL1A2, CREB1, TRP53, GCNT2, CCL2, SOX9, TAB1, FBN1",639,205,17152,3.142471086682698,0.0092780422695982,0.0017554360114724,0.0016941188499179
5,GOTERM_BP_5,GO:0072376~protein activation cascade,15,1.6816143497757847,2.7871437070216152e-06,"C1QB, C1QA, IGH-VJ558, C1RA, CFH, CFI, F13A1, FBLN1, C2, C3, C4A, C1S1, IGLL1, SERPING1, C1QC",639,85,17152,4.736813035073183,0.0104773568218602,0.0017554360114724,0.0016941188499179
6,GOTERM_BP_5,GO:0009967~positive regulation of signal transduction,83,9.304932735426007,3.4326951596371955e-06,"ITGB1, CNTF, EDA, 1810011O10RIK, PTEN, CYR61, ICAM1, AKAP13, FLCN, TNFSF10, CASP1, TIMP2, CYP1B1, A630033H20RIK, TIMP3, IKBKG, SOX9, NEO1, SOX4, WLS, PDGFRA, CSNK2A1, RSAD2, IGFBP4, WNT5A, TMOD2, ATPIF1, SOX11, PPM1A, BANK1, CHIL1, MAL, PLCB1, TLR4, TLR3, CD44, CCL12, SLC20A1, C5AR1, NLRC5, ADRB2, ZC3HAV1, DDX60, MFF, PLA2G6, NR2C1, THBS1, IQGAP3, PIK3R6, C3, MAPK8, TESPA1, PDCD10, NTF3, GCNT2, CCL2, BID, ZBED3, SLAMF1, TCF7L2, CREBBP, GADD45B, EYA1, PRRX1, PLK2, LY86, LIF, OPRK1, BRAF, P2RX7, CD24A, COL3A1, DAB2, PTPRC, LPAR6, TRP53, F2RL1, TAB1, ERCC6, CALM1, LGR6, CRLF3, F2RL2",639,1328,17152,1.677621283255086,0.0128884012254376,0.0018531650011812,0.0017884341781709
7,GOTERM_BP_5,GO:0030334~regulation of cell migration,54,6.053811659192825,4.1279429218494775e-06,"ITGB1, IFITM1, DOCK7, SERPINE1, PTEN, CXCL1, LDLRAD4, MYSM1, CYR61, ICAM1, FLCN, ARHGDIB, DAG1, CYP1B1, CPNE3, SOX9, CCR5, NEO1, PDGFRA, EDN2, ANXA1, CAMK1D, DDX58, WNT5A, NISCH, WDPCP, PLCB1, DDR2, CX3CR1, CCL12, C5AR1, THBS1, AIF1, RTN4, GNA13, MAPK8, PDCD10, NTF3, KRIT1, GCNT2, CCL2, APOD, CLASP1, SLAMF1, HACE1, VEGFC, BRAF, COL3A1, DAB2, PTPRC, TRP53, F2RL1, EPPK1, LGR6",639,742,17152,1.9534565885881323,0.0154784860727956,0.0019190617016259,0.0018520291150647
8,GOTERM_BP_5,GO:1902533~positive regulation of intracellular signal transduction,62,6.950672645739911,4.928484437378562e-06,"ITGB1, CNTF, EDA, 1810011O10RIK, PTEN, ICAM1, AKAP13, FLCN, TNFSF10, CASP1, TIMP2, CYP1B1, A630033H20RIK, IKBKG, SOX9, PDGFRA, IGFBP4, WNT5A, SOX11, PPM1A, BANK1, CHIL1, PLCB1, TLR4, TLR3, CD44, CCL12, SLC20A1, C5AR1, ADRB2, ZC3HAV1, DDX60, PLA2G6, THBS1, IQGAP3, PIK3R6, C3, PDCD10, NTF3, GCNT2, CCL2, SLAMF1, TCF7L2, CREBBP, GADD45B, PLK2, LIF, OPRK1, BRAF, P2RX7, CD24A, COL3A1, DAB2, PTPRC, LPAR6, TRP53, F2RL1, TAB1, ERCC6, CALM1, CRLF3, F2RL2",639,905,17152,1.8388953734685585,0.0184524189844307,0.0019190617016259,0.0018520291150647
9,GOTERM_BP_5,GO:0006915~apoptotic process,103,11.547085201793722,5.393046881950158e-06,"CNTF, 1810011O10RIK, SERPINE1, SCX, ICAM1, ZFP36, EDNRB, DEPTOR, CHEK1, TNFSF10, CYP1B1, MAP3K8, SOX9, SOX4, RAG1, CSNK2A1, SP110, WNT5A, NISCH, CHIL1, MAL, REG3B, ZFP346, C5AR1, ADRB2, PLA2G6, ZFP36L1, PLAC8, SOCS3, PDCD10, FIGNL1, NLRP3, GADD45B, PLK2, BRAF, TPX2, DAB2, NAT8, PTPRC, TRP53, LCN2, XAF1, UBE2M, ITGB1, ROBO2, ARF4, SLC35F6, PIGT, PTEN, SLC40A1, CYR61, FLCN, CASP12, ADAMTSL4, CASP1, TIMP3, TMEM109, CD38, IKBKG, BCL2A1A, CCR5, RBM5, FCER1G, ANXA1, CAMK1D, TSC22D1, TSC22D3, TEX11, DNMT3A, ATPIF1, SERPINB9, CREB1, TAX1BP1, TLR4, TLR3, CD44, CX3CR1, CCL12, BRAT1, MFF, THBS1, AIF1, MAPK8, EPCAM, NTF3, KRIT1, CCL2, MFN2, BID, KCNJ1, TCF7L2, IFI204, EYA1, EYA4, IFI202B, P2RX7, CD24A, CENPF, ERCC5, CIAPIN1, ERCC6, FCGR2B, TPT1",639,1779,17152,1.5540864951120752,0.0201741029024787,0.0019190617016259,0.0018520291150647
