,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_MF_5,GO:0004866~endopeptidase inhibitor activity,17,1.905829596412556,0.0045629108840507,"ITIH5, GM11397, BC100530, SERPINE1, SERPINB9, SERPINA3N, TFPI, SERPINB5, C3, C4A, SERPINB6C, TIMP2, SERPINH1, SERPING1, TIMP3, SPOCK1, WFDC17",498,203,13115,2.205422675925377,0.7675080139777128,0.7747945952743458,0.7747945952743458
1,GOTERM_MF_5,GO:0098641~cadherin binding involved in cell-cell adhesion,21,2.3542600896860986,0.0048576463653564,"UNC45A, ITGB1, DDX6, LAD1, TXNDC9, ANXA1, HDLBP, CAPG, ZC3HAV1, PRDX6, RTN4, EPN2, PDLIM1, LASP1, VAPB, EPCAM, KIF5B, GCN1L1, TAGLN2, FLNB, EZR",498,279,13115,1.9822299952498164,0.7884650617968038,0.7747945952743458,0.7747945952743458
2,GOTERM_MF_5,GO:0070330~aromatase activity,6,0.672645739910314,0.0109412210629696,"CYP4A12A, CYP2C54, CYP3A11, CYP1B1, CYP2C29, CYP2C38",498,36,13115,4.389223560910309,0.970087647020604,1.0,1.0
3,GOTERM_MF_5,GO:0004896~cytokine receptor activity,9,1.0089686098654709,0.0219196567975055,"CSF2RB2, CX3CR1, IL4RA, CSF2RB, CCR5, OSMR, PRLR, CD44, IL13RA1",498,91,13115,2.604594200979743,0.9991498895847764,1.0,1.0
4,GOTERM_MF_5,"GO:0098811~transcriptional repressor activity, RNA polymerase II activating transcription factor binding",7,0.7847533632286996,0.0237443549155193,"RERE, CREBBP, CREB1, PRRX1, SOX11, WWP2, SOX4",498,59,13115,3.124532026410728,0.9995314293848282,1.0,1.0
5,GOTERM_MF_5,GO:0004175~endopeptidase activity,28,3.1390134529147984,0.0251200758800842,"CLEC4A3, PSMD13, HTRA3, CFI, PRSS23, CTSS, C2, DPP4, CASP12, C1S1, ADAMTSL4, ADAMTS1, CASP1, CTSF, ADAM6B, CTSE, ADAM6A, LMLN, TMPRSS11A, C1RA, ECEL1, MMP12, BACE2, TMEM59, PREPL, TPBPA, ATG4A, FAM76B",498,478,13115,1.542655979566803,0.9997011801071763,1.0,1.0
6,GOTERM_MF_5,GO:0019864~IgG binding,3,0.336322869955157,0.0265194698232385,"FCGR3, FCER1G, FCGR2B",498,7,13115,11.28657487091222,0.9998110272788896,1.0,1.0
7,GOTERM_MF_5,GO:0019763~immunoglobulin receptor activity,3,0.336322869955157,0.0265194698232385,"FCGR3, FCER1G, MS4A2",498,7,13115,11.28657487091222,0.9998110272788896,1.0,1.0
8,GOTERM_MF_5,GO:0070567~cytidylyltransferase activity,3,0.336322869955157,0.0344837019145366,"PCYT1B, PCYT1A, ISPD",498,8,13115,9.875753012048191,0.9999862496004692,1.0,1.0
9,GOTERM_MF_5,GO:0005509~calcium ion binding,37,4.147982062780269,0.0382822952728127,"FBLN7, NOTCH4, PON1, LPCAT1, CALML3, FBLN1, LTBP2, VWCE, THBS1, AIF1, C1S1, PRRG1, DAG1, SPOCK1, C1RA, RPH3AL, ANXA1, CD93, ATP2B2, BRAF, DSG1B, DSG1A, MMP12, BCAN, PCDHB1, S100A6, DSG2, LCP1, FKBP9, CALM1, PLCB1, DSC2, MATN3, TPT1, MATN2, CDH19, FBN1",498,699,13115,1.3940023326496256,0.9999960898988608,1.0,1.0
10,GOTERM_MF_5,GO:0016407~acetyltransferase activity,9,1.0089686098654709,0.052538131575167,"SMARCE1, KAT2B, CREBBP, NAT8, KAT6A, LPCAT1, ESCO2, CRAT, CSRP2BP",498,108,13115,2.194611780455154,0.9999999666423708,1.0,1.0
11,GOTERM_MF_5,GO:0003690~double-stranded DNA binding,39,4.37219730941704,0.07127917265212,"EHF, CEBPD, PLAG1, NLRC5, SCX, IKZF1, DDX60, CENPA, NR2C1, IKZF3, ETS2, SOX3, SOX1, CUX1, NSD1, NDN, SOX9, UTY, SOX4, SUZ12, SMARCE1, TCF7L2, ZFHX3, EGR2, CREBBP, MYPOP, IFI204, DDX58, SOX11, ARID3B, IFI202B, KAT2B, CREB1, NFIB, MYOD1, FEV, TRP53, ERCC5, TOP1",498,787,13115,1.305055035899634,0.9999999999430657,1.0,1.0
12,GOTERM_MF_5,GO:0001105~RNA polymerase II transcription coactivator activity,5,0.5605381165919282,0.0735964636490757,"RERE, CREBBP, PRRX1, SOX11, SOX4",498,42,13115,3.135159686364506,0.9999999999743396,1.0,1.0
13,GOTERM_MF_5,GO:0038062~protein tyrosine kinase collagen receptor activity,2,0.2242152466367713,0.0743577871976746,"DDR1, DDR2",498,2,13115,26.335341365461844,0.9999999999802592,1.0,1.0
