,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0007399~nervous system development,142,16.705882352941178,1.3588885373767544e-15,"CPNE9, RB1, PRRXL1, CLSTN2, MYT1L, HDAC11, STMN2, D130043K22RIK, KNDC1, ALCAM, HERC1, TUBB3, SALL4, PALM, NRTN, UNC13B, RBFOX1, PRKCH, UNC5A, DSCAM, ISLR2, MUL1, SCRIB, TBR1, FOXP2, OLFM1, ADCYAP1, ISL2, RFX4, NSMF, AGTR2, KIF20B, OBSL1, CHRNA3, NRN1, UGT8A, HPCA, SLC1A2, CEND1, AK4, THY1, GATA3, KALRN, AK7, RAP1GAP, CAMSAP2, BRINP1, NEU1, TSPAN2, SCN3B, SRGAP2, HOXC8, 2610042L04RIK, TFAP2D, ANKRD27, SYT2, BDNF, HMGA2, XRCC1, NR2F2, L1CAM, SCRT1, PTPRD, SETX, CYP26A1, GRIN3A, MAFB, EFNA2, LRFN4, TRP53, CNTN2, C77370, PCSK2, ONECUT2, ELAVL4, HSPB1, PTPRJ, LAMC1, HAPLN4, HAPLN1, 2410089E03RIK, GRM5, SHH, UCHL1, CRTAC1, NEFL, NEFM, PHGDH, NEFH, KDM6A, TMC1, ACTL6B, ARHGEF15, VPS13A, APOA1, PAX3, NAV2, ETV5, GAP43, VCAN, TUBB2B, CREB1, NRG3, TRAF6, PLCB1, INA, LRP1, STAU2, NRXN1, SEMA3A, SATB2, CAMK2A, WNT8B, NDNF, SEMA3E, NR2C2, HOXD10, TTL, CUX1, SLITRK4, TBX20, CXCR2, SLITRK5, NCAM1, NCAM2, LGI1, RRM1, PCDH9, GABRA5, IRX6, MBOAT7, MBD1, LHFPL5, KLHL1, CCK, LAMB1, MIAT, KLF4, POU4F1, POU4F2, FKBP1B, TRIP11",552,2261,17152,1.9514771583690684,4.508393658397836e-12,4.598478810482937e-12,4.5346110492262295e-12
1,GOTERM_BP_5,GO:0048666~neuron development,84,9.88235294117647,1.3932082845161965e-13,"CPNE9, RB1, PRRXL1, ONECUT2, STMN2, D130043K22RIK, ELAVL4, HSPB1, KNDC1, LAMC1, SHH, UCHL1, ALCAM, HERC1, CRTAC1, TUBB3, PALM, NEFL, NRTN, PHGDH, NEFM, NEFH, TMC1, UNC5A, DSCAM, APOA1, ISLR2, MUL1, SCRIB, TBR1, OLFM1, ADCYAP1, ISL2, GAP43, CREB1, NSMF, KIF20B, OBSL1, CHRNA3, NRN1, LRP1, UGT8A, STAU2, NRXN1, SEMA3A, CAMK2A, NDNF, SEMA3E, THY1, GATA3, KALRN, HOXD10, TTL, CAMSAP2, CUX1, SLITRK4, NEU1, SLITRK5, NCAM1, TSPAN2, NCAM2, SRGAP2, LGI1, SYT2, ANKRD27, BDNF, GABRA5, LHFPL5, KLHL1, CCK, LAMB1, MIAT, KLF4, L1CAM, POU4F1, POU4F2, PTPRD, SETX, GRIN3A, EFNA2, LRFN4, FKBP1B, CNTN2, TRIP11",552,1092,17152,2.390189520624303,4.71502836774107e-10,2.3573084174014047e-10,2.3245680227152735e-10
2,GOTERM_BP_5,GO:0031175~neuron projection development,75,8.823529411764707,2.2873054930684005e-13,"CPNE9, RB1, PRRXL1, STMN2, D130043K22RIK, ELAVL4, HSPB1, KNDC1, LAMC1, SHH, UCHL1, ALCAM, HERC1, CRTAC1, TUBB3, PALM, NEFL, NRTN, PHGDH, NEFM, NEFH, UNC5A, DSCAM, APOA1, ISLR2, MUL1, TBR1, OLFM1, ADCYAP1, ISL2, GAP43, CREB1, NSMF, KIF20B, OBSL1, CHRNA3, NRN1, LRP1, UGT8A, STAU2, SEMA3A, CAMK2A, NDNF, SEMA3E, THY1, GATA3, KALRN, TTL, CAMSAP2, CUX1, SLITRK4, NEU1, SLITRK5, NCAM1, TSPAN2, NCAM2, SRGAP2, LGI1, SYT2, ANKRD27, BDNF, KLHL1, CCK, LAMB1, KLF4, L1CAM, POU4F1, POU4F2, PTPRD, SETX, GRIN3A, EFNA2, LRFN4, FKBP1B, CNTN2",552,921,17152,2.5303309257423403,7.73940911358295e-10,2.580080596181156e-10,2.544246143456417e-10
3,GOTERM_BP_5,GO:0030182~neuron differentiation,95,11.176470588235295,1.6565215139628325e-12,"CPNE9, RB1, PRRXL1, ONECUT2, STMN2, D130043K22RIK, ELAVL4, HSPB1, KNDC1, LAMC1, SHH, UCHL1, ALCAM, HERC1, CRTAC1, TUBB3, PALM, NEFL, NRTN, PHGDH, NEFM, NEFH, TMC1, UNC5A, DSCAM, APOA1, ISLR2, PAX3, MUL1, SCRIB, TBR1, ETV5, OLFM1, ADCYAP1, ISL2, GAP43, CREB1, NSMF, KIF20B, OBSL1, CHRNA3, NRN1, LRP1, UGT8A, STAU2, NRXN1, SATB2, SEMA3A, CAMK2A, WNT8B, CEND1, NDNF, SEMA3E, THY1, GATA3, KALRN, HOXD10, TTL, RAP1GAP, CAMSAP2, BRINP1, CUX1, SLITRK4, TBX20, NEU1, SLITRK5, NCAM1, TSPAN2, NCAM2, SRGAP2, HOXC8, LGI1, SYT2, ANKRD27, BDNF, GABRA5, IRX6, MBD1, LHFPL5, KLHL1, CCK, LAMB1, MIAT, KLF4, L1CAM, POU4F1, POU4F2, PTPRD, SETX, GRIN3A, EFNA2, LRFN4, FKBP1B, CNTN2, TRIP11",552,1379,17152,2.140597576483694,5.6058118147461755e-09,1.401417200812556e-09,1.3819530730234926e-09
4,GOTERM_BP_5,GO:0022008~neurogenesis,106,12.470588235294118,3.0001061685606857e-12,"CPNE9, RB1, PRRXL1, HDAC11, STMN2, D130043K22RIK, KNDC1, ALCAM, HERC1, TUBB3, PALM, NRTN, PRKCH, UNC5A, DSCAM, ISLR2, MUL1, SCRIB, TBR1, OLFM1, ADCYAP1, ISL2, NSMF, KIF20B, OBSL1, CHRNA3, NRN1, UGT8A, CEND1, THY1, GATA3, KALRN, RAP1GAP, CAMSAP2, BRINP1, NEU1, TSPAN2, SRGAP2, HOXC8, ANKRD27, SYT2, BDNF, HMGA2, NR2F2, L1CAM, SCRT1, PTPRD, SETX, GRIN3A, EFNA2, LRFN4, TRP53, CNTN2, ONECUT2, ELAVL4, HSPB1, PTPRJ, LAMC1, GRM5, SHH, UCHL1, CRTAC1, NEFL, NEFM, PHGDH, NEFH, TMC1, APOA1, PAX3, ETV5, GAP43, TUBB2B, CREB1, NRG3, LRP1, STAU2, NRXN1, SEMA3A, SATB2, CAMK2A, WNT8B, NDNF, SEMA3E, HOXD10, TTL, CUX1, SLITRK4, TBX20, SLITRK5, NCAM1, NCAM2, LGI1, GABRA5, IRX6, MBOAT7, MBD1, LHFPL5, KLHL1, CCK, LAMB1, MIAT, KLF4, POU4F1, POU4F2, FKBP1B, TRIP11",552,1638,17152,2.010794358620445,1.0152526819240393e-08,2.030471854881872e-09,2.002270856897401e-09
5,GOTERM_BP_5,GO:0048812~neuron projection morphogenesis,49,5.764705882352941,1.1049347376350723e-09,"CPNE9, PRRXL1, ELAVL4, LAMC1, SHH, UCHL1, ALCAM, TUBB3, NEFL, NEFM, NEFH, UNC5A, DSCAM, ISLR2, MUL1, TBR1, OLFM1, ISL2, GAP43, CREB1, KIF20B, OBSL1, NRN1, UGT8A, STAU2, SEMA3A, CAMK2A, SEMA3E, THY1, GATA3, KALRN, TTL, CUX1, SLITRK4, SLITRK5, NCAM1, SRGAP2, LGI1, SYT2, ANKRD27, BDNF, CCK, LAMB1, L1CAM, POU4F2, PTPRD, EFNA2, LRFN4, CNTN2",552,570,17152,2.6711416221713704,3.73909203399414e-06,6.231831920261809e-07,6.145278699147061e-07
6,GOTERM_BP_5,GO:0048667~cell morphogenesis involved in neuron differentiation,46,5.411764705882352,2.7632441380890423e-09,"PRRXL1, RB1, NRN1, STAU2, SEMA3A, CAMK2A, ELAVL4, SEMA3E, THY1, LAMC1, GATA3, KALRN, TTL, SHH, UCHL1, ALCAM, CUX1, TUBB3, SLITRK4, SLITRK5, NEFL, NCAM1, NEFM, NEFH, LGI1, ANKRD27, DSCAM, UNC5A, BDNF, LHFPL5, ISLR2, CCK, LAMB1, SCRIB, TBR1, L1CAM, POU4F2, PTPRD, OLFM1, GAP43, ISL2, EFNA2, LRFN4, CREB1, CNTN2, OBSL1",552,529,17152,2.7019533711405166,9.35077462982381e-06,1.2310484551604804e-06,1.213950559949918e-06
7,GOTERM_BP_5,GO:0099536~synaptic signaling,48,5.647058823529412,3.274065040320426e-09,"CHRNA3, CLSTN2, STAU2, NRXN1, CAMK2A, CHRNA6, SLC6A20B, OPRL1, KALRN, CPLX1, CACNA1G, RASD2, JPH4, RPH3A, GRM5, RIMS4, JPH3, ADORA1, SNCG, SLITRK5, NCAM1, SLC12A6, 2610042L04RIK, SNCA, GRIA4, LGI1, ATAD1, UNC13B, LYNX1, CHRNB3, SYT2, BDNF, GABRA5, PLCL1, HTR1D, SCRIB, SYN2, MMP9, ETV5, ADCYAP1, CACNB3, CREB1, P2RX3, SYT11, CNTN2, NSMF, NAT8L, FGF12",552,570,17152,2.6166285278413426,1.107937466604536e-05,1.2310484551604804e-06,1.213950559949918e-06
8,GOTERM_BP_5,GO:0099537~trans-synaptic signaling,48,5.647058823529412,3.274065040320426e-09,"CHRNA3, CLSTN2, STAU2, NRXN1, CAMK2A, CHRNA6, SLC6A20B, OPRL1, KALRN, CPLX1, CACNA1G, RASD2, JPH4, RPH3A, GRM5, RIMS4, JPH3, ADORA1, SNCG, SLITRK5, NCAM1, SLC12A6, 2610042L04RIK, SNCA, GRIA4, LGI1, ATAD1, UNC13B, LYNX1, CHRNB3, SYT2, BDNF, GABRA5, PLCL1, HTR1D, SCRIB, SYN2, MMP9, ETV5, ADCYAP1, CACNB3, CREB1, P2RX3, SYT11, CNTN2, NSMF, NAT8L, FGF12",552,570,17152,2.6166285278413426,1.107937466604536e-05,1.2310484551604804e-06,1.213950559949918e-06
9,GOTERM_BP_5,GO:0048468~cell development,123,14.470588235294118,4.597319511727476e-09,"CPNE9, RB1, PRRXL1, HDAC11, STMN2, D130043K22RIK, KNDC1, ALCAM, HERC1, TUBB3, SOX15, PALM, NRTN, HOXA5, PRKCH, UNC5A, DSCAM, PAQR5, GM10058, ISLR2, MUL1, SCRIB, TBR1, ANK1, AR, OLFM1, ADCYAP1, ISL2, MYL2, NSMF, PGR, AGTR2, KIF20B, OBSL1, CALCA, CHRNA3, NRN1, UGT8A, THY1, GATA3, KALRN, RAP1GAP, CAMSAP2, CCNB1, BRINP1, NEU1, TSPAN2, MYH11, SRGAP2, S100A10, RABGAP1L, ANKRD27, SYT2, BDNF, HMGA2, L1CAM, SCRT1, PTPRD, SETX, CYP26A1, GRIN3A, EFNA2, LRFN4, KITL, TRP53, CNTN2, ONECUT2, ELAVL4, HSPB1, LAMC1, GRM5, SHH, UCHL1, CRTAC1, NEFL, NEFM, PHGDH, NEFH, TMC1, TRIM62, APOA1, PAX3, ETV5, GAP43, CREB1, NRG3, TRAF6, PLCB1, LRP1, STAU2, NRXN1, SEMA3A, SATB2, CAMK2A, NDNF, SEMA3E, HOXD10, TTL, CUX1, SLITRK4, TBX20, ADAD1, SLITRK5, NCAM1, NCAM2, LGI1, DMTN, GABRA5, STAT1, MBD1, LHFPL5, KLHL1, GM14590, CCK, LAMB1, MIAT, KLF4, POU4F1, POU4F2, RPS6KB1, FKBP1B, TRIP11, TNP1",552,2278,17152,1.6777493606138107,1.555720829393703e-05,1.5557329227685778e-06,1.5341255210634589e-06
