"","hgnc_symbol","logFC","PValue","FDR"
"unknown.1752","Defa15",-0.729651175532863,0.0307870052663785,1
"unknown.6991","2610001J05Rik",-0.726088441179194,0.0205846585675908,1
"ENSG00000155926.3","Sla",-0.683763528060399,0.0421660794601167,1
"ENSG00000108010.2","Glrx3",-0.633475964442991,0.0566652007462527,1
"ENSG00000158710","Tagln2",-0.599899877997507,0.0959245560273669,1
"ENSG00000005194.2","Ciapin1",-0.575724536802444,0.0757612914113183,1
"ENSG00000143751.2","Sde2",-0.56392649046726,0.108857880108083,1
"ENSG00000101266.1","Csnk2a1",-0.534027954723905,0.0594015534683592,1
"ENSG00000187581","Cox8c",-0.527268873825143,0.17528691362878,1
"ENSG00000111846.3","Gcnt2",-0.526540000355022,0.192527489339944,1
"ENSG00000111859.2","Nedd9",-0.510684366992465,0.17528691362878,1
"ENSG00000166411.3","Idh3a",-0.505381028267748,0.132903209072361,1
"ENSG00000067141.4","Neo1",-0.495671221179382,0.100174595873008,1
"unknown.1473","Smr2",-0.489747217641518,0.194506428446287,1
"unknown.8857","Tmem56",-0.482815723323134,0.129294057422805,1
"ENSG00000135929.1","Cyp27a1",-0.481198994791261,0.188217418180045,1
"unknown.402","Ccl12",-0.468598084985668,0.141794797939198,1
"ENSG00000124784.2","Riok1",-0.466421129367631,0.13736934504482,1
"ENSG00000162601.2","Mysm1",-0.46302194745045,0.200679512738068,1
"ENSG00000124766.4","Sox4",-0.459147840093631,0.280610759352841,1
