"","hgnc_symbol","logFC","PValue","FDR"
"unknown.1752","Defa15",-0.729651175532863,0.0307870052663785,1
"unknown.6991","2610001J05Rik",-0.726088441179194,0.0205846585675908,1
"ENSG00000155926.3","Sla",-0.683763528060399,0.0421660794601167,1
"ENSG00000108010.2","Glrx3",-0.633475964442991,0.0566652007462527,1
"ENSG00000158710","Tagln2",-0.599899877997507,0.0959245560273669,1
"ENSG00000005194.2","Ciapin1",-0.575724536802444,0.0757612914113183,1
"ENSG00000143751.2","Sde2",-0.56392649046726,0.108857880108083,1
"ENSG00000101266.1","Csnk2a1",-0.534027954723905,0.0594015534683592,1
"ENSG00000187581","Cox8c",-0.527268873825143,0.17528691362878,1
"ENSG00000111846.3","Gcnt2",-0.526540000355022,0.192527489339944,1
"ENSG00000111859.2","Nedd9",-0.510684366992465,0.17528691362878,1
"ENSG00000166411.3","Idh3a",-0.505381028267748,0.132903209072361,1
"ENSG00000067141.4","Neo1",-0.495671221179382,0.100174595873008,1
"unknown.1473","Smr2",-0.489747217641518,0.194506428446287,1
"unknown.8857","Tmem56",-0.482815723323134,0.129294057422805,1
"ENSG00000135929.1","Cyp27a1",-0.481198994791261,0.188217418180045,1
"unknown.402","Ccl12",-0.468598084985668,0.141794797939198,1
"ENSG00000124784.2","Riok1",-0.466421129367631,0.13736934504482,1
"ENSG00000162601.2","Mysm1",-0.46302194745045,0.200679512738068,1
"ENSG00000124766.4","Sox4",-0.459147840093631,0.280610759352841,1
"unknown.1297","C130026I21Rik",-0.453391143835124,0.214540365607523,1
"ENSG00000101266","Csnk2a1",-0.449703788292596,0.110940909054291,1
"unknown.5024","Tmem56",-0.44929642314047,0.179666621928532,1
"ENSG00000186007","Lemd1",-0.436141346021939,0.224246022048014,1
"ENSG00000134779.3","Tpgs2",-0.432960910876196,0.218519487791097,1
"ENSG00000004478.2","Fkbp4",-0.431903626807855,0.30567858157732,1
"ENSG00000184381.1","Pla2g6",-0.430067279886022,0.192761921649968,1
"ENSG00000283632.1","Exoc3l2",-0.429921390129655,0.252855551753583,1
"unknown.7534","H2-D1",-0.425697529901831,0.248047137073698,1
"unknown.9095","Ifi202b",-0.424594553312068,0.260436677013908,1
"ENSG00000096696.2","Dsp",-0.42090437668501,0.26781290757778,1
"ENSG00000127954.1","Steap4",-0.41825550336748,0.184287527909716,1
"ENSG00000125741.4","Opa3",-0.417674213879642,0.288785646664216,1
"ENSG00000276231.1","Pik3r6",-0.415726799094156,0.254306104590776,1
"unknown.8777","Pot1a",-0.41443446464746,0.135352173814725,1
"ENSG00000099991.2","Cabin1",-0.412184789567021,0.192761921649968,1
"ENSG00000166579.1","Ndel1",-0.401928097779082,0.148818208521124,1
"unknown.4635","Igh-VJ558",-0.399175991819665,0.321085374233112,1
"ENSG00000198265.3","Helz",-0.39896262356316,0.254306104590776,1
"ENSG00000124766.7","Sox4",-0.398666332335653,0.340891968669457,1
"ENSG00000241635.1","Ugt1a1",-0.393225377223337,0.218055400554499,1
"ENSG00000154473.3","Bub3",-0.390890486352267,0.272270511382184,1
"ENSG00000125821","Dtd1",-0.382360219433499,0.248047137073698,1
"ENSG00000128322.1","Igll1",-0.381858199745484,0.295414686995778,1
"ENSG00000089505.1","Cmtm1",-0.380756852775971,0.366295139849983,1
"ENSG00000002834.6","Lasp1",-0.374545439971759,0.349683016335599,1
"ENSG00000124226.2","Rnf114",-0.373335437484161,0.35814440038099,1
"unknown.8059","5330434G04Rik",-0.371237245521541,0.246108121141356,1
"ENSG00000157557.1","Ets2",-0.369880505425318,0.240794752142865,1
"ENSG00000172500.2","Fibp",-0.368026803811819,0.335558931236294,1
"ENSG00000182636.7","Ndn",-0.358636205254575,0.479888528489664,1
"ENSG00000085982.2","Usp40",-0.358543892403319,0.335558931236294,1
"ENSG00000047249.2","Atp6v1h",-0.355714569642695,0.227277065265944,1
"ENSG00000171862.5","Pten",-0.354887382301838,0.174534802412614,1
"ENSG00000171320.1","Esco2",-0.354587263821233,0.418755197371233,1
"unknown.3596","4921511E18Rik",-0.354185261252523,0.381733995229572,1
"ENSG00000164849.3","Gpr146",-0.3538260869867,0.349183223394928,1
"ENSG00000196547.1","Man2a2",-0.352666779905792,0.210329494982973,1
"unknown.5747","AA409587",-0.35021203064512,0.188109739622552,1
"ENSG00000269335.3","Ikbkg",-0.3478692361923,0.304886998047196,1
"ENSG00000129197.2","Rpain",-0.347219018903872,0.427043895551524,1
"ENSG00000134779.1","Tpgs2",-0.345709753332774,0.214978520484055,1
"ENSG00000160785.2","Slc25a44",-0.345502334523492,0.389053693756174,1
"ENSG00000120708.2","Tgfbi",-0.342548644687525,0.29973346497872,1
"ENSG00000063015.2","Sez6",-0.34058254654063,0.418755197371233,1
"ENSG00000127129","Edn2",-0.340265567811972,0.231267845953911,1
"ENSG00000130347.1","Rtn4ip1",-0.339054219139198,0.389053693756174,1
"ENSG00000148346","Lcn2",-0.337576895382047,0.198183738597318,1
"ENSG00000170027.3","Ywhag",-0.335943298921855,0.33183599101798,1
"ENSG00000198743.2","Slc5a3",-0.335662338360271,0.186767914528871,1
"ENSG00000262406","Mmp12",-0.334469215705115,0.442627102119394,1
"ENSG00000118194","Tnnt2",-0.333955365533154,0.342472347801466,1
"ENSG00000167703.2","Slc43a2",-0.332619804145577,0.362033253104165,1
"ENSG00000196511","Tpk1",-0.331120781033343,0.362033253104165,1
"unknown.5110","LOC102636289",-0.33039551970433,0.396126105726276,1
"ENSG00000120279.2","Myct1",-0.329460627140196,0.35570065962929,1
"ENSG00000136160","Ednrb",-0.327075105928846,0.34283482883185,1
"unknown.7040","Reg3b",-0.325288501194616,0.442627102119394,1
"ENSG00000196511.1","Tpk1",-0.324496910660949,0.362033253104165,1
"ENSG00000164168.1","Tmem184c",-0.32448144157499,0.442627102119394,1
"ENSG00000003987.1","Mtmr7",-0.320804094215889,0.314881775702584,1
"ENSG00000143751.3","Sde2",-0.320348126625838,0.33183599101798,1
"ENSG00000123892.1","Rab38",-0.318888315477387,0.415986556494832,1
"ENSG00000159314.2","Arhgap27",-0.318185644319743,0.496618352682817,1
"ENSG00000092094.2","Osgep",-0.305764638883291,0.439706906410126,1
"unknown.9414","9330112F22Rik",-0.305744634691688,0.285286429952513,1
"unknown.4590","Lyz1",-0.303885373524675,0.302879720289406,1
"ENSG00000134287.4","Arf3",-0.303774514572374,0.449963661702325,1
"ENSG00000123106.1","Ccdc91",-0.30373315381063,0.439706906410126,1
"unknown.929","Olfr690",-0.302659152423333,0.457021938541512,1
"ENSG00000072694.1","Fcgr2b",-0.302227448525385,0.470369738972666,1
"unknown.4327","A630033H20Rik",-0.30109898746855,0.511843274216545,1
"ENSG00000108582","Cpd",-0.300941754911878,0.385671010023114,1
"unknown.6488","Gm4432",-0.300813190436187,0.329139123918855,1
"unknown.3851","5830415B17Rik",-0.298898254431563,0.275255618192295,1
"unknown.122","Cyp3a11",-0.297335287863699,0.496618352682817,1
"ENSG00000132031.1","Matn3",-0.296952915986655,0.406926085610545,1
"ENSG00000188312.1","Cenpp",-0.296469407285898,0.34283482883185,1
"ENSG00000157823.1","Ap3s2",-0.296455241725851,0.42219249420358,1
"ENSG00000105926.1","Mpp6",-0.295713775423326,0.333707150905971,1
"ENSG00000167513.2","Cdt1",-0.294954033357072,0.43404370365553,1
"ENSG00000265817","Fsbp",-0.292992990099982,0.42219249420358,1
"ENSG00000181690.1","Plag1",-0.292237457970253,0.488684255662722,1
"unknown.36","Cd24a",-0.291764519987126,0.42219249420358,1
"unknown.1469","Klra7",-0.291569741261057,0.511843274216545,1
"ENSG00000214102.1","Wee2",-0.290882164472881,0.470369738972666,1
"ENSG00000153904.2","Ddah1",-0.290797585370942,0.368189123523743,1
"ENSG00000007923.2","Dnajc11",-0.290752476541097,0.504404701847167,1
"unknown.5262","Gcn1l1",-0.29011992046009,0.358399447940792,1
"ENSG00000114796.3","Klhl24",-0.289853444158046,0.283087605491972,1
"ENSG00000047457.4","Cp",-0.289418497342023,0.457021938541512,1
"ENSG00000168958.3","Mff",-0.288652428842506,0.406926085610545,1
"unknown.7307","Ms4a6c",-0.287132666409437,0.416776620155521,1
"ENSG00000136155","Scel",-0.285895560516488,0.368203501991179,1
"ENSG00000197635.3","Dpp4",-0.284790442662154,0.504404701847167,1
"unknown.9082","Trp53",-0.284491127625793,0.488456561745596,1
"unknown.5035","Lyz1",-0.282524243359227,0.368203501991179,1
"unknown.4783","Cyr61",-0.282464440736172,0.411911822180664,1
"unknown.649","Cd209e",-0.281993233301356,0.518958992444161,1
"ENSG00000175764.1","Ttll11",-0.281509064245989,0.59005413905892,1
"ENSG00000213699.2","Slc35f6",-0.281339606480895,0.518958992444161,1
"ENSG00000005339.3","Crebbp",-0.280281507290652,0.329139123918855,1
"ENSG00000081237","Ptprc",-0.278844873733611,0.428208454695303,1
"ENSG00000165959.5","Clmn",-0.278129984630433,0.439706906410126,1
"unknown.9714","9230110I02Rik",-0.276515444925351,0.42219249420358,1
"ENSG00000088325.2","Tpx2",-0.276329735912841,0.470369738972666,1
"ENSG00000119402.4","Fbxw2",-0.276119109352768,0.368203501991179,1
"ENSG00000169895.1","Syap1",-0.276113373421986,0.406926085610545,1
"ENSG00000241635","Ugt1a1",-0.274224334530598,0.43404370365553,1
"ENSG00000185479","Krt6b",-0.271694180910762,0.59005413905892,1
"unknown.207","Cyp2c29",-0.271471265273425,0.470369738972666,1
"ENSG00000187474","Fpr3",-0.270955779593961,0.538583832280266,1
"ENSG00000153395","Lpcat1",-0.269994846368948,0.583132942516488,1
"unknown.1687","Vmn2r88",-0.269592011317682,0.511843274216545,1
"ENSG00000121281.1","Adcy7",-0.269180166159411,0.43404370365553,1
"ENSG00000171401.2","Krt13",-0.268747813562396,0.406926085610545,1
"ENSG00000179361.1","Arid3b",-0.267493519527237,0.583132942516488,1
"ENSG00000203879","Gdi1",-0.26698390101279,0.463818798256563,1
"ENSG00000260428.1","Scx",-0.266978207796205,0.428208454695303,1
"unknown.4777","Gm10033",-0.266464838968271,0.538583832280266,1
"ENSG00000118260.1","Creb1",-0.266149109670504,0.568173161752631,1
"ENSG00000138135","Ch25h",-0.265770213580846,0.46079406168304,1
"ENSG00000204262.1","Col5a2",-0.265588349410492,0.488684255662722,1
"unknown.315","H2-Q2",-0.265383495378342,0.575850116534898,1
"ENSG00000178694","Nsun3",-0.265198124248111,0.39119258773046,1
"ENSG00000111665.1","Cdca3",-0.264488758207491,0.511843274216545,1
"ENSG00000204116","Chic1",-0.262661697711709,0.403471845791405,1
"ENSG00000171992.1","Synpo",-0.262047887586228,0.421525152892324,1
"ENSG00000176087.3","Slc35a4",-0.262042050283706,0.596642586281995,1
