,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_5,GO:0001568~blood vessel development,48,5.321507760532151,1.028917034141242e-05,"SEMA5A, ITGB1, CCL12, NOTCH4, PDE3B, SERPINE1, PTEN, NRXN3, CLEC14A, ADRB2, HIF3A, HIF1A, LTBP1, PIK3R6, CYR61, RTN4, ZFP36L1, GNA13, C3, SOCS3, FLCN, HHEX, SOX17, PDCD10, KRIT1, CYP1B1, SOX4, JAK1, CCR2, PDGFRA, TCF7L2, SEC24B, EYA1, PRRX1, ERAP1, WNT5A, C1GALT1, VEGFC, ACTA2, COL3A1, SMO, DDAH1, KAT6A, COL4A3, CHIL1, COL8A1, TAB1, TGFBI",647,641,17152,1.9851516780918528,0.0374536117058564,0.0146182315337661,0.0144566823443093
1,GOTERM_BP_5,GO:0072358~cardiovascular system development,69,7.6496674057649665,1.1820672399271784e-05,"SEMA5A, ITGB1, ROBO2, PDE3B, SERPINE1, PTEN, SCX, CLEC14A, HIF3A, CYR61, GLI2, AKAP13, FLCN, HHEX, SOX17, CYP1B1, UTY, SOX4, JAK1, CCR2, DSP, PDGFRA, KDM2A, NPY5R, WNT5A, AW551984, NPY1R, SOX11, ACTA2, CREB1, SMO, DDAH1, MYOD1, TNNT2, KAT6A, COL4A3, CHIL1, COL8A1, WDPCP, CCL12, NOTCH4, NRXN3, ADRB2, HIF1A, LTBP1, PIK3R6, RTN4, ZFP36L1, GNA13, C3, SOCS3, PLN, PDCD10, KRIT1, SMYD1, KCNJ1, TCF7L2, SEC24B, EYA1, PRRX1, ERAP1, C1GALT1, VEGFC, COL3A1, CENPF, TRP53, TGFBI, TAB1, FBN1",647,1062,17152,1.7224041425440322,0.0429072299242269,0.0146182315337661,0.0144566823443093
2,GOTERM_BP_5,GO:0072359~circulatory system development,69,7.6496674057649665,1.1820672399271784e-05,"SEMA5A, ITGB1, ROBO2, PDE3B, SERPINE1, PTEN, SCX, CLEC14A, HIF3A, CYR61, GLI2, AKAP13, FLCN, HHEX, SOX17, CYP1B1, UTY, SOX4, JAK1, CCR2, DSP, PDGFRA, KDM2A, NPY5R, WNT5A, AW551984, NPY1R, SOX11, ACTA2, CREB1, SMO, DDAH1, MYOD1, TNNT2, KAT6A, COL4A3, CHIL1, COL8A1, WDPCP, CCL12, NOTCH4, NRXN3, ADRB2, HIF1A, LTBP1, PIK3R6, RTN4, ZFP36L1, GNA13, C3, SOCS3, PLN, PDCD10, KRIT1, SMYD1, KCNJ1, TCF7L2, SEC24B, EYA1, PRRX1, ERAP1, C1GALT1, VEGFC, COL3A1, CENPF, TRP53, TGFBI, TAB1, FBN1",647,1062,17152,1.7224041425440322,0.0429072299242269,0.0146182315337661,0.0144566823443093
3,GOTERM_BP_5,GO:0030855~epithelial cell differentiation,47,5.210643015521065,1.5834973921841413e-05,"EHF, NOTCH4, PCDH15, SCX, CLDN1, HIF1A, CRHR1, ICAM1, ZFP36L1, SOX3, SCEL, HHEX, ZFP36, LCE1A1, CUX1, LCE1A2, SOX17, ADAMTSL4, SPRR2A1, FLNB, S1PR2, SOX4, KRT6B, SPRR2D, KRT6A, DSP, SEC24B, KDM2A, ANXA1, EYA1, WNT5A, C1GALT1, LCE1I, ATP2B2, SOX11, FNDC3A, USH2A, PRLR, ACTA2, CD24A, CREB1, SMO, NFIB, TAGLN2, WDPCP, EZR, SPRR1A",647,633,17152,1.968360472810468,0.0570558447310042,0.0146869383125079,0.014524629829809
4,GOTERM_BP_5,GO:0030334~regulation of cell migration,52,5.764966740576496,2.4976002494017687e-05,"SEMA5A, ITGB1, IFITM1, TNFAIP6, DOCK7, SERPINE1, PTEN, MIA3, CXCL1, LDLRAD4, MYSM1, CYR61, CCR1L1, ICAM1, PTPRG, DOCK10, FLCN, ARHGDIB, DAG1, CYP1B1, CPNE3, NEO1, CCR2, PDGFRA, EDN2, ANXA1, DDX58, WNT5A, NISCH, SPATA13, WDPCP, IL6ST, CCL12, SDC3, TACSTD2, HIF1A, RTN4, GNA13, MAPK8, PDCD10, NTF3, KRIT1, GCNT2, CLASP1, SLAMF1, VEGFC, BRAF, PPBP, COL3A1, PTPRC, TRP53, LGR6",647,742,17152,1.8578469152672297,0.0884985794800574,0.0185321938505611,0.0183273906301101
5,GOTERM_BP_5,GO:0001944~vasculature development,48,5.321507760532151,4.100475203570232e-05,"SEMA5A, ITGB1, CCL12, NOTCH4, PDE3B, SERPINE1, PTEN, NRXN3, CLEC14A, ADRB2, HIF3A, HIF1A, LTBP1, PIK3R6, CYR61, RTN4, ZFP36L1, GNA13, C3, SOCS3, FLCN, HHEX, SOX17, PDCD10, KRIT1, CYP1B1, SOX4, JAK1, CCR2, PDGFRA, TCF7L2, SEC24B, EYA1, PRRX1, ERAP1, WNT5A, C1GALT1, VEGFC, ACTA2, COL3A1, SMO, DDAH1, KAT6A, COL4A3, CHIL1, COL8A1, TAB1, TGFBI",647,677,17152,1.879589698163778,0.1411240238749292,0.0241388155823563,0.0238720523912844
6,GOTERM_BP_5,GO:2000145~regulation of cell motility,53,5.875831485587583,4.932095975032149e-05,"SEMA5A, ITGB1, IFITM1, TNFAIP6, DOCK7, SERPINE1, PTEN, MIA3, CXCL1, LDLRAD4, MYSM1, CYR61, CCR1L1, ICAM1, PTPRG, DOCK10, FLCN, ARHGDIB, DAG1, CYP1B1, CPNE3, NEO1, CCR2, PDGFRA, EDN2, ANXA1, DDX58, WNT5A, NISCH, SPATA13, WDPCP, IL6ST, CCL12, SDC3, TACSTD2, HIF1A, RTN4, GNA13, MAPK8, EPCAM, PDCD10, NTF3, KRIT1, GCNT2, CLASP1, SLAMF1, VEGFC, BRAF, PPBP, COL3A1, PTPRC, TRP53, LGR6",647,782,17152,1.7967166975653914,0.1672195801753109,0.0241388155823563,0.0238720523912844
7,GOTERM_BP_5,GO:0001655~urogenital system development,31,3.436807095343681,5.284337715829301e-05,"ROBO2, PLAG1, PTEN, TACSTD2, UMOD, GLI2, FLCN, CUX1, SOX17, EPCAM, NEK1, KCNJ1, SOX4, PDGFRA, EPHA7, ANXA1, EYA1, WNT5A, C1GALT1, SOX11, PRLR, SERPINB5, ACTA2, CD24A, CENPF, SMO, COL4A3, WDPCP, FKBP4, CD44, FBN1",647,364,17152,2.257723729130221,0.1780322426936809,0.0241388155823563,0.0238720523912844
8,GOTERM_BP_5,GO:0048513~animal organ development,174,19.290465631929045,5.855777364992101e-05,"SEMA5A, SERPINE1, SCX, OTP, LDLRAD4, IKZF1, CLDN1, ICAM1, SOX3, ZFP36, EDNRB, LCE1A1, SOX1, SOX17, LCE1A2, TNFSF10, DAG1, CYP1B1, NEK1, MACROD2, KRT6B, SOX4, HOXA4, KRT6A, WLS, HERC6, PDGFRA, EPHA7, KDM2A, TMOD3, WNT5A, LCE1I, NPY1R, SOX11, ESCO2, FNDC3A, PRLR, BCAN, SMO, TBL1XR1, KAT6A, AKR1C14, COL4A3, CHIL1, COL8A1, WDPCP, FKBP4, SF1, NOTCH4, IL4RA, RHOBTB3, TACSTD2, PCDH15, UMOD, ADRB2, HIF1A, LTBP1, PIK3R6, CRHR1, RTN4, ZFP36L1, SOCS3, SBNO2, CALCR, SERPINH1, SMYD1, NLRP3, GPM6B, SPRR2D, SLAMF1, PLK4, ZFHX3, CTLA2A, FZD6, PRRC2C, BRAF, TRPV1, EIF2S2, TYR, PTPRC, SERPINB6B, TRP53, COL5A2, COL9A3, TGFBI, TAB1, SPRR1A, FBN1, DDR1, ITGB1, RERE, ROBO2, KDM5A, EDA, PDE3B, DOCK7, PTEN, LPCAT1, SLC40A1, MIA3, CXCL1, CHRDL1, CYR61, GJE1, GLI2, PTPRG, AKAP13, FLCN, HHEX, SPRR2A1, UTY, CCR2, NDEL1, DSP, EDARADD, PCYT1B, EDN2, ANXA1, UGT1A1, NPY5R, AW551984, TEX11, LSR, AVPR1A, GPCPD1, SERPINB5, PTBP3, ACTA2, CREB1, MYOD1, TRAF6, TNNT2, TLR3, CD44, CEBPD, PLAG1, ZBTB46, SEZ6, IL2RG, SCEL, PLN, CUX1, EPCAM, NTF3, IGF2BP1, GCNT2, MFN2, FLNB, BID, KCNJ1, MPZL2, TCF7L2, LIM2, SEC24B, EYA1, PRRX1, C1GALT1, KRT13, VEGFC, ATP2B2, FAM213A, USH2A, P2RX7, CD24A, COL3A1, CENPF, GFI1B, NFIB, TMEM57, POMK, CIAPIN1, ZFP157, CLEC2D, CRYGF",647,3520,17152,1.3104397920472108,0.1952758260291615,0.0241388155823563,0.0238720523912844
9,GOTERM_BP_5,GO:0001525~angiogenesis,35,3.8802660753880263,7.436628232756757e-05,"SEMA5A, ITGB1, CCL12, NOTCH4, PDE3B, SERPINE1, PTEN, NRXN3, CLEC14A, ADRB2, HIF3A, HIF1A, PIK3R6, CYR61, RTN4, GNA13, C3, FLCN, HHEX, SOX17, PDCD10, KRIT1, CYP1B1, JAK1, CCR2, PDGFRA, ERAP1, WNT5A, C1GALT1, VEGFC, DDAH1, COL4A3, CHIL1, COL8A1, TGFBI",647,444,17152,2.089755907375691,0.2411181406500337,0.0252833195880961,0.0250039082395484
