,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_MF_5,GO:0004896~cytokine receptor activity,13,1.441241685144124,0.00016198307436252144,"IFNAR2, IL4RA, CSF2RB, IL17RD, OSMR, IL2RG, PRLR, CCR1L1, CSF2RB2, IL6ST, CD44, CCR2, IL13RA1",499,91,13115,3.754652161465789,0.051747774984918,0.053130448390907,0.053130448390907
1,GOTERM_MF_5,GO:0070330~aromatase activity,7,0.7760532150776054,0.0021471115257743,"CYP4A12A, CYP2C54, CYP3A11, CYP1B1, CYP2B19, CYP2C29, CYP2C38",499,36,13115,5.110498775328435,0.5058962278817503,0.352126290226993,0.352126290226993
2,GOTERM_MF_5,GO:0008823~cupric reductase activity,3,0.3325942350332594,0.0082051279166586,"STEAP4, STEAP1, STEAP2",499,4,13115,19.711923847695388,0.932954506544439,0.6728204891660112,0.6728204891660112
3,GOTERM_MF_5,GO:0052851~ferric-chelate reductase (NADPH) activity,3,0.3325942350332594,0.0082051279166586,"STEAP4, STEAP1, STEAP2",499,4,13115,19.711923847695388,0.932954506544439,0.6728204891660112,0.6728204891660112
4,GOTERM_MF_5,GO:0001105~RNA polymerase II transcription coactivator activity,6,0.6651884700665188,0.0206911160485168,"RERE, CREBBP, PRRX1, MYT1L, SOX11, SOX4",499,42,13115,3.754652161465789,0.998948862020528,0.9460639624935409,0.9460639624935409
5,GOTERM_MF_5,GO:0004866~endopeptidase inhibitor activity,15,1.662971175166297,0.0229108952390223,"SERPINE1, SERPINA3N, TFPI, SERPINB5, C3, C4A, SERPINA1B, SERPINB6B, SERPINB6C, TIMP2, SERPINH1, SERPING1, TIMP3, SPOCK1, WFDC17",499,203,13115,1.942061462827132,0.999500646655468,0.9460639624935409,0.9460639624935409
6,GOTERM_MF_5,"GO:0098811~transcriptional repressor activity, RNA polymerase II activating transcription factor binding",7,0.7760532150776054,0.0239516188602501,"RERE, CREBBP, CREB1, PRRX1, MYT1L, SOX11, SOX4",499,59,13115,3.118270439183452,0.9996479524584048,0.9460639624935409,0.9460639624935409
7,GOTERM_MF_5,GO:0016462~pyrophosphatase activity,42,4.656319290465632,0.0243772041635892,"DDX6, ABCB7, MCM9, ATP10D, RHOBTB3, GNAI3, ATP1A2, KIF11, ABCC10, RAB22A, GNA13, GNA14, FIGNL1, KIF5B, ARHGDIB, EP400, MFN2, ATP6V1H, EIF2S3Y, GBP2, ATF7IP, DDX39, ANXA1, ENTPD4, ABCA6, DDX58, IRGM2, KIF23, ATP2B2, HELZ, TUBG2, RAD51B, MYH1, PSMC1, ATP13A4, IGTP, MCM3, ATP13A5, DYNLRB2, MCM6, ERCC6, ITPA",499,788,13115,1.4008473800392665,0.9996948762111872,0.9460639624935409,0.9460639624935409
8,GOTERM_MF_5,GO:0019901~protein kinase binding,33,3.658536585365853,0.0331853729108922,"ITGB1, TRIM12C, PDE3B, PTEN, KIF11, PLA2G6, HIF1A, ZFP36, RACGAP1, PDCD10, PRKAR2A, KIF5B, GCN1L1, CPNE3, YWHAG, IFNAR2, DSP, TCF7L2, GLRX3, BRAF, PRLR, ACTA2, CD24A, KAT2B, TPX2, PTPRC, TRAF6, TRP53, TAB1, EZR, MS4A2, CACUL1, CD44",499,600,13115,1.4455410821643286,0.9999844197783256,0.9460639624935409,0.9460639624935409
9,GOTERM_MF_5,GO:0046914~transition metal ion binding,67,7.427937915742794,0.0336510877172353,"RERE, KDM5A, KDM5D, MYT1L, CYP3A11, ZDHHC6, PLOD2, CYP2B19, ING1, GLI2, CYP2C38, LASP1, HERC2, RNF114, CYP1B1, CAR8, CAR12, CDADC1, KDM2A, DDX58, PTGR2, 4931406C07RIK, CAR5B, RBX1, CYP27A1, MMP12, CH25H, PPM1A, DDAH1, TRAF6, KAT6A, S100A6, RNF122, SF1, TRIM12C, ZCCHC7, CYP4A12A, ZDHHC20, ADH7, NR2C1, PDLIM1, SCEL, MAN2A2, CYP2C54, NSD1, UBR5, PGGT1B, ZFP185, ZFHX3, SEC24B, CREBBP, TRIM41, DTNA, GCH1, CYP4A31, TXNRD1, ERAP1, TYR, CYP2C29, CP, MARCH3, LACC1, NR6A1, TRP53, CPD, LCN2, RTN4IP1",499,1394,13115,1.2632222838790923,0.9999866973064871,0.9460639624935409,0.9460639624935409
10,GOTERM_MF_5,GO:0008046~axon guidance receptor activity,3,0.3325942350332594,0.034612096188788,"ROBO2, SEMA5A, EPHA7",499,8,13115,9.855961923847694,0.99999040140343,0.9460639624935409,0.9460639624935409
11,GOTERM_MF_5,GO:0070567~cytidylyltransferase activity,3,0.3325942350332594,0.034612096188788,"PCYT1B, PCYT1A, ISPD",499,8,13115,9.855961923847694,0.99999040140343,0.9460639624935409,0.9460639624935409
12,GOTERM_MF_5,GO:0098641~cadherin binding involved in cell-cell adhesion,18,1.9955654101995564,0.0378313223407343,"ITGB1, DDX6, TXNDC9, ANXA1, TMOD3, HDLBP, CAPG, ZC3HAV1, RTN4, PDLIM1, LASP1, VAPB, EPCAM, KIF5B, GCN1L1, TAGLN2, FLNB, EZR",499,279,13115,1.6956493632426144,0.9999967907876084,0.9545133636739124,0.9545133636739124
13,GOTERM_MF_5,GO:0043565~sequence-specific DNA binding,51,5.65410199556541,0.047968357876776,"RERE, EHF, SCX, OTP, IKZF1, TTF1, ETS2, GLI2, PTBP1, SOX3, HHEX, SOX1, SOX17, UTY, SOX7, SOX4, HOXA4, KDM2A, DNMT3A, POT1A, SOX11, KAT2B, CREB1, MYOD1, TOP1, CEBPD, PLAG1, NR2C1, HIF1A, CENPA, CUX1, NSD1, NDN, NLRP3, ZKSCAN4, HSF5, SUZ12, SMARCE1, TCF7L2, ZFHX3, CREBBP, MYPOP, PRRX1, CBX3, ARID3B, SOX30, NR6A1, NFIB, TRP53, FEV, FOSB",499,1040,13115,1.288856559272391,0.9999999005388148,1.0,1.0
14,GOTERM_MF_5,GO:0003690~double-stranded DNA binding,40,4.434589800443459,0.0516144738451506,"EHF, CEBPD, PLAG1, SCX, IKZF1, DDX60, CENPA, NR2C1, ETS2, GLI2, SOX3, HHEX, SOX1, CUX1, NSD1, NDN, UTY, SOX4, SUZ12, SMARCE1, TCF7L2, ZFHX3, CREBBP, MYPOP, CBX3, DDX58, SOX11, ARID3B, IFI202B, RAD51B, KAT2B, NR6A1, CREB1, NFIB, MYOD1, FEV, TRP53, FOSB, ERCC5, TOP1",499,787,13115,1.3358355847654648,0.99999997174776,1.0,1.0
15,GOTERM_MF_5,GO:0016407~acetyltransferase activity,9,0.9977827050997782,0.0530432422188488,"SMARCE1, KAT2B, CREBBP, NAT8, KAT6A, LPCAT1, ESCO2, CRAT, CSRP2BP",499,108,13115,2.1902137608550434,0.9999999827698748,1.0,1.0
16,GOTERM_MF_5,GO:0008528~G-protein coupled peptide receptor activity,10,1.1086474501108647,0.0617180153412617,"EDNRB, CALCR, NPY5R, NPY1R, OPRK1, FPR3, AVPR1A, FPR-RS3, CCR1L1, CCR2",499,131,13115,2.0063026816992764,0.9999999991579306,1.0,1.0
17,GOTERM_MF_5,GO:0003697~single-stranded DNA binding,8,0.8869179600886918,0.0662611732145324,"RAD51B, PRIM2, PTBP1, ANXA1, POT1A, ERCC5, MCM6, SSBP1",499,94,13115,2.236814053639193,0.9999999998286292,1.0,1.0
18,GOTERM_MF_5,GO:0032813~tumor necrosis factor receptor superfamily binding,5,0.5543237250554324,0.0847326215283965,"EDARADD, EDA, TRAF6, ERAP1, TNFSF10",499,44,13115,2.9866551284386955,0.9999999999997558,1.0,1.0
19,GOTERM_MF_5,"GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",16,1.7738359201773837,0.0914629101481284,"TCF7L2, EHF, CEBPD, PLAG1, SOX11, ARID3B, HIF1A, GLI2, NR6A1, SOX1, NFIB, MYOD1, TRP53, NDN, FOSB, SOX4",499,270,13115,1.5574853410524752,0.9999999999999784,1.0,1.0
