,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
0,GOTERM_BP_ALL,GO:0007399~nervous system development,118,13.78504672897196,3.4525090633525603e-11,"CPNE9, RB1, PRRXL1, CLSTN2, MYT1L, STMN2, KNDC1, SOX3, HERC1, TUBB3, SALL4, HOXA3, NRTN, SOX4, UNC13B, DSCAM, ISLR2, POU3F2, FOXP2, RUNX1, FOXP1, OLFM1, ADCYAP1, ISL2, SMO, RFX4, NSMF, TNIK, HOXB1, CHRNA3, NRN1, UGT8A, HPCA, SLC1A2, TWIST1, CEND1, THY1, GATA3, KALRN, AK7, TTBK1, RAP1GAP, NEU1, APOD, TSPAN2, HOXC8, 2610042L04RIK, ZFHX3, TFAP2D, ANKRD27, SYT2, HMGA2, L1CAM, DCLK1, SCRT1, PHOX2B, PTPRD, CYP26A1, GRIN3A, LRFN4, C77370, NODAL, PCSK2, ONECUT2, ELAVL4, HSPB1, PTPRJ, HAPLN4, HAPLN1, 2410089E03RIK, UCHL1, LRRTM1, NEFL, NEFM, PHGDH, NEFH, KDM6A, TMC1, ARHGEF15, APOA1, SHROOM3, PAX3, OPRM1, ASPM, VCAN, TUBB2B, NRG3, TRAF6, INA, NRXN1, SEMA3A, SATB2, WNT8B, SEMA3E, NR2C2, HOXD10, TTN, SLITRK4, TBX20, SLITRK5, NCAM1, NCAM2, LGI1, LINGO2, RRM1, GABRA5, IRX6, MBOAT7, LHFPL5, KLHL1, LAMB1, MIAT, KLF4, GRHL2, POU4F1, POU4F2, COLQ, FKBP1B",513,2261,18082,1.8395455442872748,1.937890840020273e-07,1.937893337259792e-07,1.8926654685298737e-07
1,GOTERM_BP_ALL,GO:0048731~system development,193,22.54672897196262,8.199581964192245e-10,"RB1, PRRXL1, CPNE9, INS1, SLC46A2, PGLYRP2, MYT1L, STMN2, DMP1, SOX3, HERC1, SOX15, HOXA3, TNFSF11, IL12A, HOXA5, SOX4, UNC13B, ISLR2, EREG, RUNX1, AR, ISL2, RFX4, MYL3, SIK3, NSMF, HOXB1, NRN1, UGT8A, TWIST1, CEND1, GATA3, THY1, KALRN, TTBK1, CD79A, NEU1, APOD, TSPAN2, HOXC9, HOXC8, SETDB1, L1CAM, DCLK1, CYP26A1, GRIN3A, KITL, NOX4, NANOG, C77370, GPR18, NODAL, PCSK2, TOP2A, HNF4G, PTPRJ, HOXC13, UCHL1, SH3PXD2B, NEFL, NEFM, PHGDH, NEFH, TMC1, SYK, PAX3, PAX1, PLSCR1, CEACAM1, TUBB2B, PAX9, VAMP5, SATB1, SATB2, WNT8B, IL6RA, HOXD10, PROKR1, LMNA, GCNT2, DMTN, GABRA5, STAT1, LHFPL5, KLHL1, MIAT, GRHL2, POU4F1, POU4F2, COLQ, FKBP1B, CLSTN2, NRK, KNDC1, UBE3A, FGF1, HOXA10, NPPC, TUBB3, SALL4, NRTN, SPINK2, DSCAM, POU3F2, PRLR, FOXP2, FOXP1, ADCYAP1, OLFM1, SMO, PGR, TNIK, XIST, FBN2, CHRNA3, HPCA, SLC1A2, REG3G, LTBP1, AK7, RAP1GAP, MTM1, CCNB1, MYH11, 2610042L04RIK, CD164, ZFHX3, TFAP2D, ANKRD27, SYT2, HMGA2, DHCR24, SCRT1, AICDA, PHOX2B, PTPRD, KIF18A, TMIE, PTPRB, LRFN4, BNC2, ONECUT2, ONECUT1, ELAVL4, HSPB1, IFNZ, HAPLN4, CYR61, HAPLN1, PIK3CG, 2410089E03RIK, LRRTM1, KDM6A, ARHGEF15, APOA1, SHROOM3, OPRM1, UTF1, DCN, GREM1, ASPM, VCAN, NRG3, LCK, TRAF6, DPPA2, MYO3A, INA, NRXN1, SEMA3A, SEMA3E, NR2C2, TTN, SLITRK4, TBX20, SLITRK5, NCAM1, NCAM2, LGI1, LINGO2, POLQ, RRM1, IRX6, MBOAT7, IRX4, FBXL15, LAMB1, KLF4, P2RX7, CD4, PAGR1A, DNAJA3",513,4610,18082,1.4756572076129102,4.602414857113324e-06,2.301212678250554e-06,2.247505416385095e-06
2,GOTERM_BP_ALL,GO:0044707~single-multicellular organism process,240,28.03738317757009,1.5175391910678782e-09,"RB1, PRRXL1, CPNE9, INS1, SLC46A2, PGLYRP2, MYT1L, STMN2, DMP1, SOX3, SPIC, HERC1, SOX15, DHX58, HOXA3, TNFSF11, IL12A, HOXA5, SOX4, SCN1A, UNC13B, EBF1, ISLR2, EREG, RUNX1, AR, ISL2, RFX4, KCNQ2, MAP1A, MYL3, SIK3, NSMF, HOXB1, ATF4, NRN1, UGT8A, TWIST1, CEND1, GATA3, THY1, KALRN, TTBK1, CD79A, TSPAN8, NEU1, APOD, TSPAN2, HOXC9, HOXC8, SETDB1, POU6F2, L1CAM, DCLK1, CYP26A1, GRIN3A, KITL, NOX4, NANOG, C77370, GPR18, NODAL, PCSK2, TOP2A, HNF4G, PTPRJ, HOXC13, UCHL1, SLC22A16, SH3PXD2B, NEFL, NEFM, PHGDH, NEFH, TMC1, ZHX3, KCND2, SYK, GP1BB, PAX3, DIEXF, PAX1, PLSCR1, CEACAM1, TUBB2B, PAX9, VAMP5, SATB1, SATB2, AKR1D1, WNT8B, IL6RA, NOL3, HOXD10, PROKR1, LMNA, GCNT2, ADAD1, RAD54L, ATAD1, DMTN, GABRA5, STAT1, LHFPL5, KLHL1, MIAT, GRHL2, POU4F1, POU4F2, COLQ, NLRP14, FKBP1B, CLSTN2, NRK, WWC1, KNDC1, UBE3A, FGF1, HOXA10, NPPC, TUBB3, SALL4, SCN9A, ADORA1, NRTN, SPINK2, DSCAM, ADAM10, POU3F2, PRLR, MR1, FOXP2, FOXP1, ADCYAP1, OLFM1, SMO, PGR, TNIK, XIST, FBN2, CALCA, CHRNA3, HPCA, SLC1A2, REG3G, RASGRP2, LTBP1, AK7, RAP1GAP, CACNA1G, MTM1, CCNB1, MYH11, TAC1, 2610042L04RIK, CD164, ZFHX3, TFAP2D, ANKRD27, SYT2, HMGA2, DHCR24, SCRT1, AICDA, PHOX2B, PTPRD, SELP, KIF18A, TMIE, PTPRB, LRFN4, CNOT2, BNC2, ONECUT2, ONECUT1, ELAVL4, HSPB1, IFNZ, HAPLN4, CYR61, HAPLN1, PIK3CG, AFF2, 2410089E03RIK, LRRTM1, KDM6A, ARHGEF15, APOA1, SHROOM3, OPRM1, UTF1, ADRA2A, DCN, GREM1, FGR, ASPM, VCAN, NRG3, LCK, DPPA3, TRAF6, DPPA2, MYO3A, MYH8, SCN4B, INA, NFAT5, NRXN1, SEMA3A, OPRL1, SEMA3E, RRBP1, NR2C2, TTN, ACVR1C, SLITRK4, TBX20, SNCG, SLITRK5, NCAM1, NCAM2, BUB1, SNCA, LGI1, LINGO2, ARFGEF2, POLQ, RRM1, TXNRD3, IRX6, MBOAT7, IRX4, FBXL15, LAMB1, KLF4, P2RX7, CD4, PAGR1A, DNAJA3, CD244",513,6161,18082,1.3730587899169553,8.517911288863367e-06,2.8393158264880003e-06,2.7730499484780365e-06
3,GOTERM_BP_ALL,GO:0007275~multicellular organism development,209,24.415887850467293,3.298611961850753e-09,"RB1, PRRXL1, CPNE9, INS1, SLC46A2, PGLYRP2, MYT1L, STMN2, DMP1, SOX3, SPIC, HERC1, SOX15, HOXA3, TNFSF11, IL12A, HOXA5, SOX4, UNC13B, EBF1, ISLR2, EREG, RUNX1, AR, ISL2, RFX4, MYL3, SIK3, NSMF, HOXB1, NRN1, UGT8A, TWIST1, CEND1, GATA3, THY1, KALRN, TTBK1, CD79A, NEU1, APOD, TSPAN2, HOXC9, HOXC8, SETDB1, POU6F2, L1CAM, DCLK1, CYP26A1, GRIN3A, KITL, NOX4, NANOG, C77370, GPR18, NODAL, PCSK2, TOP2A, HNF4G, PTPRJ, HOXC13, UCHL1, SLC22A16, SH3PXD2B, NEFL, NEFM, PHGDH, NEFH, TMC1, SYK, PAX3, DIEXF, PAX1, PLSCR1, CEACAM1, TUBB2B, PAX9, VAMP5, SATB1, SATB2, WNT8B, IL6RA, HOXD10, PROKR1, LMNA, GCNT2, ADAD1, RAD54L, DMTN, GABRA5, STAT1, LHFPL5, KLHL1, MIAT, GRHL2, POU4F1, POU4F2, COLQ, NLRP14, FKBP1B, CLSTN2, NRK, KNDC1, UBE3A, FGF1, HOXA10, NPPC, TUBB3, SALL4, SCN9A, NRTN, SPINK2, DSCAM, ADAM10, POU3F2, PRLR, FOXP2, FOXP1, ADCYAP1, OLFM1, SMO, PGR, TNIK, XIST, FBN2, CALCA, CHRNA3, HPCA, SLC1A2, REG3G, LTBP1, AK7, RAP1GAP, MTM1, CCNB1, MYH11, 2610042L04RIK, CD164, ZFHX3, TFAP2D, ANKRD27, SYT2, HMGA2, DHCR24, SCRT1, AICDA, PHOX2B, PTPRD, KIF18A, TMIE, PTPRB, LRFN4, CNOT2, BNC2, ONECUT2, ONECUT1, ELAVL4, HSPB1, IFNZ, HAPLN4, CYR61, HAPLN1, PIK3CG, 2410089E03RIK, LRRTM1, KDM6A, ARHGEF15, APOA1, SHROOM3, OPRM1, UTF1, DCN, GREM1, ASPM, VCAN, NRG3, LCK, DPPA3, TRAF6, DPPA2, MYO3A, INA, NRXN1, SEMA3A, SEMA3E, NR2C2, TTN, ACVR1C, SLITRK4, TBX20, SLITRK5, NCAM1, NCAM2, BUB1, LGI1, LINGO2, POLQ, RRM1, TXNRD3, IRX6, MBOAT7, IRX4, FBXL15, LAMB1, KLF4, P2RX7, CD4, PAGR1A, DNAJA3",513,5195,18082,1.4180444159269954,1.8514937441427293e-05,4.628777235467069e-06,4.520747693716458e-06
4,GOTERM_BP_ALL,GO:0048699~generation of neurons,82,9.579439252336448,2.3107639099656e-08,"CPNE9, RB1, PRRXL1, ONECUT2, STMN2, ELAVL4, HSPB1, KNDC1, SOX3, UCHL1, HERC1, TUBB3, NEFL, NRTN, PHGDH, NEFM, NEFH, SOX4, TMC1, DSCAM, APOA1, ISLR2, PAX3, OPRM1, POU3F2, RUNX1, FOXP1, ASPM, OLFM1, ADCYAP1, ISL2, TUBB2B, NRG3, SMO, NSMF, TNIK, CHRNA3, NRN1, UGT8A, NRXN1, SATB2, SEMA3A, TWIST1, WNT8B, CEND1, SEMA3E, THY1, GATA3, KALRN, HOXD10, RAP1GAP, SLITRK4, TBX20, NEU1, SLITRK5, APOD, NCAM1, TSPAN2, NCAM2, HOXC8, LGI1, ZFHX3, SYT2, ANKRD27, GABRA5, IRX6, LHFPL5, KLHL1, HMGA2, LAMB1, MIAT, KLF4, L1CAM, POU4F1, POU4F2, SCRT1, PHOX2B, DCLK1, PTPRD, GRIN3A, LRFN4, FKBP1B",513,1526,18082,1.894036824988056,0.00012969476887225717,2.241347177203497e-05,2.1890370969944005e-05
5,GOTERM_BP_ALL,GO:0048666~neuron development,65,7.593457943925233,2.395881536294492e-08,"CPNE9, RB1, PRRXL1, ONECUT2, STMN2, ELAVL4, HSPB1, KNDC1, SOX3, UCHL1, HERC1, TUBB3, NEFL, NRTN, PHGDH, NEFM, NEFH, TMC1, DSCAM, APOA1, ISLR2, POU3F2, RUNX1, FOXP1, OLFM1, ADCYAP1, ISL2, SMO, NSMF, TNIK, CHRNA3, NRN1, UGT8A, NRXN1, SEMA3A, SEMA3E, THY1, GATA3, KALRN, HOXD10, SLITRK4, NEU1, SLITRK5, APOD, NCAM1, TSPAN2, NCAM2, LGI1, SYT2, ANKRD27, GABRA5, LHFPL5, KLHL1, LAMB1, MIAT, KLF4, L1CAM, POU4F1, POU4F2, PHOX2B, DCLK1, PTPRD, GRIN3A, LRFN4, FKBP1B",513,1092,18082,2.098069247192054,0.00013447179017522792,2.241347177203497e-05,2.1890370969944005e-05
6,GOTERM_BP_ALL,GO:0006928~movement of cell or subcellular component,89,10.397196261682245,3.163996429551566e-08,"PRRXL1, ONECUT2, DOCK8, WWC1, ONECUT1, HSPB1, PTPRJ, KIF11, FGF1, CYR61, KIF15, UCHL1, SLC22A16, TUBB3, ADORA1, TNFSF11, NEFL, NRTN, IL12A, NEFM, NEFH, HOXA5, DSCAM, SYK, MATK, KIFC5B, APOA1, PAX3, ADAM10, POU3F2, AP3B2, ADRA2A, DCN, FOXP1, GREM1, FGR, ASPM, OLFM1, ISL2, TMEFF2, TUBB2B, CEACAM1, NRG3, SMO, MYH8, NSMF, PGR, SCN4B, KPNB1, CALCA, SATB2, SEMA3A, TWIST1, CEND1, SEMA3E, THY1, GATA3, AKAP4, KALRN, AK7, ACVR1C, LMNA, TBX20, GCNT2, APOD, NCAM1, TAC1, SRGAP1, LGI1, DMTN, MBOAT7, LAMB1, KLF4, L1CAM, POU4F1, POU4F2, SCRT1, PHOX2B, DCLK1, KTN1, SELP, CXCL11, KIF18A, MYO1B, KITL, NOX4, CEACAM10, NODAL, GPR18",513,1724,18082,1.819624790256125,0.00017757935343054587,2.53707313701042e-05,2.477861203828812e-05
7,GOTERM_BP_ALL,GO:0048856~anatomical structure development,223,26.05140186915888,3.774307053595212e-08,"RB1, PRRXL1, CPNE9, INS1, SLC46A2, PGLYRP2, MYT1L, STMN2, DMP1, SOX3, SPIC, HERC1, SOX15, HOXA3, TNFSF11, IL12A, HOXA5, SOX4, UNC13B, EBF1, ISLR2, EREG, RUNX1, AR, ISL2, RFX4, MYL3, SIK3, NSMF, HOXB1, NRN1, UGT8A, TWIST1, CEND1, GATA3, THY1, KALRN, TTBK1, CD79A, NEU1, APOD, TSPAN2, HOXC9, HOXC8, S100A10, SETDB1, POU6F2, L1CAM, DCLK1, CYP26A1, GRIN3A, KITL, NOX4, NANOG, C77370, GPR18, NODAL, PCSK2, TOP2A, HNF4G, PTPRJ, HOXC13, UCHL1, SLC22A16, SH3PXD2B, NEFL, NEFM, PHGDH, NEFH, TMC1, SYK, PAX3, DIEXF, PAX1, PLSCR1, TMEFF2, CEACAM1, TUBB2B, PAX9, VAMP5, SATB1, SATB2, WNT8B, IL6RA, NOL3, AKAP4, HOXD10, PROKR1, LMNA, GCNT2, ADAD1, RAD54L, DMTN, GABRA5, STAT1, LHFPL5, KLHL1, MIAT, GRHL2, POU4F1, POU4F2, COLQ, NLRP14, FKBP1B, CLSTN2, NRK, KNDC1, UBE3A, FGF1, HOXA10, NPPC, TUBB3, SALL4, SCN9A, NRTN, SPINK2, DSCAM, GM10058, ADAM10, POU3F2, PRLR, FOXP2, FOXP1, ADCYAP1, OLFM1, SMO, PGR, TNIK, XIST, FBN2, CALCA, CHRNA3, HPCA, SLC1A2, REG3G, LTBP1, AK7, RAP1GAP, MTM1, CCNB1, MYH11, 2610042L04RIK, CD164, ZFHX3, TFAP2D, ANKRD27, SYT2, HMGA2, DHCR24, SCRT1, AICDA, PHOX2B, PTPRD, KIF18A, TMIE, PTPRB, LRFN4, CNOT2, BNC2, ONECUT2, CPQ, SYCP1, ONECUT1, ELAVL4, HSPB1, IFNZ, HAPLN4, CYR61, HAPLN1, PIK3CG, TNFSF13B, 2410089E03RIK, LRRTM1, KDM6A, ARHGEF15, APOA1, SHROOM3, OPRM1, UTF1, DCN, GREM1, FGR, ASPM, VCAN, NRG3, LCK, DPPA3, TRAF6, DPPA2, MYO3A, RBM24, INA, NRXN1, PALM2, SEMA3A, SEMA3E, NR2C2, COCH, TTN, ACVR1C, SLITRK4, TBX20, SLITRK5, NCAM1, NCAM2, BUB1, LGI1, LINGO2, POLQ, RRM1, TXNRD3, IRX6, MBOAT7, IRX4, GM14590, FBXL15, LAMB1, KLF4, P2RX7, XLR5A, CD4, PAGR1A, DNAJA3",513,5799,18082,1.355441736106279,0.00021182942001851668,2.6481481864787403e-05,2.5863439084761188e-05
8,GOTERM_BP_ALL,GO:0044767~single-organism developmental process,225,26.285046728971963,4.6903443213743145e-08,"RB1, PRRXL1, CPNE9, INS1, SLC46A2, PGLYRP2, MYT1L, STMN2, DMP1, SOX3, SPIC, HERC1, SOX15, HOXA3, TNFSF11, IL12A, HOXA5, SOX4, UNC13B, EBF1, ISLR2, EREG, RUNX1, AR, ISL2, RFX4, MYL3, SIK3, NSMF, HOXB1, NRN1, UGT8A, TWIST1, CEND1, GATA3, THY1, KALRN, TTBK1, CD79A, NEU1, APOD, TSPAN2, HOXC9, HOXC8, S100A10, SETDB1, POU6F2, L1CAM, DCLK1, CYP26A1, GRIN3A, KITL, NOX4, NANOG, C77370, GPR18, NODAL, PCSK2, TOP2A, HNF4G, PTPRJ, HOXC13, UCHL1, SLC22A16, SH3PXD2B, NEFL, NEFM, PHGDH, NEFH, TMC1, SYK, PAX3, DIEXF, PAX1, PLSCR1, TMEFF2, CEACAM1, TUBB2B, PAX9, VAMP5, SATB1, SATB2, WNT8B, IL6RA, NOL3, AKAP4, HOXD10, PROKR1, LMNA, GCNT2, ADAD1, RAD54L, DMTN, GABRA5, STAT1, LHFPL5, KLHL1, MIAT, GRHL2, POU4F1, POU4F2, COLQ, NLRP14, FKBP1B, CLSTN2, NRK, WWC1, KNDC1, UBE3A, FGF1, HOXA10, NPPC, TUBB3, SALL4, SCN9A, NRTN, SPINK2, DSCAM, GM10058, ADAM10, POU3F2, PRLR, FOXP2, FOXP1, ADCYAP1, OLFM1, SMO, PGR, TNIK, XIST, FBN2, CALCA, CHRNA3, HPCA, SLC1A2, REG3G, LTBP1, AK7, RAP1GAP, MTM1, CCNB1, MYH11, 2610042L04RIK, CD164, ZFHX3, TFAP2D, ANKRD27, SYT2, HMGA2, DHCR24, SCRT1, AICDA, PHOX2B, PTPRD, KIF18A, TMIE, PTPRB, LRFN4, CNOT2, BNC2, ONECUT2, CPQ, SYCP1, ONECUT1, ELAVL4, HSPB1, IFNZ, HAPLN4, CYR61, HAPLN1, PIK3CG, 2410089E03RIK, LRRTM1, KDM6A, ARHGEF15, APOA1, SHROOM3, POT1B, OPRM1, UTF1, DCN, GREM1, FGR, ASPM, VCAN, NRG3, LCK, DPPA3, TRAF6, DPPA2, MYO3A, RBM24, INA, NRXN1, PALM2, SEMA3A, SEMA3E, NR2C2, COCH, TTN, ACVR1C, SLITRK4, TBX20, SLITRK5, NCAM1, NCAM2, BUB1, SNCA, LGI1, LINGO2, POLQ, RRM1, TXNRD3, IRX6, MBOAT7, IRX4, GM14590, FBXL15, LAMB1, KLF4, P2RX7, XLR5A, CD4, PAGR1A, DNAJA3",513,5879,18082,1.3489882215318871,0.0002632343808317561,2.925211408430447e-05,2.8569408410859985e-05
9,GOTERM_BP_ALL,GO:0030182~neuron differentiation,75,8.761682242990654,6.68324474876862e-08,"CPNE9, RB1, PRRXL1, ONECUT2, STMN2, ELAVL4, HSPB1, KNDC1, SOX3, UCHL1, HERC1, TUBB3, NEFL, NRTN, PHGDH, NEFM, NEFH, SOX4, TMC1, DSCAM, APOA1, ISLR2, PAX3, POU3F2, RUNX1, FOXP1, ASPM, OLFM1, ADCYAP1, ISL2, SMO, NSMF, TNIK, CHRNA3, NRN1, UGT8A, NRXN1, SATB2, SEMA3A, WNT8B, CEND1, SEMA3E, THY1, GATA3, KALRN, HOXD10, RAP1GAP, SLITRK4, TBX20, NEU1, SLITRK5, APOD, NCAM1, TSPAN2, NCAM2, HOXC8, LGI1, SYT2, ANKRD27, GABRA5, IRX6, LHFPL5, KLHL1, LAMB1, MIAT, KLF4, L1CAM, POU4F1, POU4F2, PHOX2B, DCLK1, PTPRD, GRIN3A, LRFN4, FKBP1B",513,1379,18082,1.9170175862668517,0.0003750601874933368,3.568279395203448e-05,3.485000471139374e-05
