,0
0,No or early 1 OHN
1,No or early 1 OHN
2,No or early 1 OHN
3,No or early 1 OHN
4,No or early 1 OHN
5,No or early 1 OHN
6,No or early 1 OHN
7,No or early 1 OHN
8,No or early 1 OHN
9,No or early 1 OHN
10,No or early 2 OHN
11,No or early 2 OHN
12,No or early 2 OHN
13,No or early 2 OHN
14,No or early 2 OHN
15,No or early 2 OHN
16,No or early 2 OHN
17,No or early 2 OHN
18,No or early 2 OHN
19,No or early 2 OHN
20,No or early 2 OHN
21,Moderate OHN
22,Moderate OHN
23,Moderate OHN
24,Moderate OHN
25,Moderate OHN
26,Moderate OHN
27,Moderate OHN
28,Moderate OHN
29,Moderate OHN
30,Severe OHN
31,Severe OHN
32,Severe OHN
33,Severe OHN
34,Severe OHN
35,Severe OHN
36,Severe OHN
37,Severe OHN
38,Severe OHN
39,Severe OHN
40,Preglaucoma control OHN
41,Preglaucoma control OHN
42,Preglaucoma control OHN
43,Preglaucoma control OHN
44,Preglaucoma control OHN
45,Preglaucoma control OHN
46,Preglaucoma control OHN
47,Preglaucoma control OHN
48,Preglaucoma control OHN
49,Preglaucoma control OHN
50,D2-Gpnmb+ control OHN
51,D2-Gpnmb+ control OHN
52,D2-Gpnmb+ control OHN
53,D2-Gpnmb+ control OHN
54,D2-Gpnmb+ control OHN
55,D2-Gpnmb+ control OHN
56,D2-Gpnmb+ control OHN
57,D2-Gpnmb+ control OHN
58,D2-Gpnmb+ control OHN
59,D2-Gpnmb+ control OHN
60,No or early 1 retina
61,No or early 1 retina
62,No or early 1 retina
63,No or early 1 retina
64,No or early 1 retina
65,No or early 1 retina
66,No or early 1 retina
67,No or early 1 retina
68,No or early 1 retina
69,No or early 1 retina
70,No or early 2 retina
71,No or early 2 retina
72,No or early 2 retina
73,No or early 2 retina
74,No or early 2 retina
75,No or early 2 retina
76,No or early 2 retina
77,No or early 2 retina
78,No or early 2 retina
79,No or early 2 retina
80,Moderate retina
81,Moderate retina
82,Moderate retina
83,Moderate retina
84,Moderate retina
85,Moderate retina
86,Moderate retina
87,Moderate retina
88,Severe retina
89,Severe retina
90,Severe retina
91,Severe retina
92,Severe retina
93,Severe retina
94,Severe retina
95,Severe retina
96,Severe retina
97,Severe retina
98,D2-Gpnmb+ control retina
99,D2-Gpnmb+ control retina
100,D2-Gpnmb+ control retina
101,D2-Gpnmb+ control retina
102,D2-Gpnmb+ control retina
103,D2-Gpnmb+ control retina
104,D2-Gpnmb+ control retina
105,D2-Gpnmb+ control retina
106,D2-Gpnmb+ control retina
107,D2-Gpnmb+ control retina
